,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg)_x,"Tocotrienol, alpha (mg)_x",Alanine (g)_x,Menaquinone-4 (µg)_y,"Tocotrienol, alpha (mg)_y",Alanine (g)_y,Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ)_x,"Fatty acids, total trans-monoenoic (g)_x",14:0 (g)_x,Energy (kJ)_y,"Fatty acids, total trans-monoenoic (g)_y",14:0 (g)_y,"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
98,"""15055""","Fish, mullet, striped, raw",28.35,1.0 oz,0.316,0.203,,0.0,0.026,0.446,0.000,,3,,,,0.504,,,,,,,,,,,,,,0,,,,,,,10,,0,,,,1.474,0.014,,0.028,0.007,,,,,,,,0.24,,,139,,0.069,139,,0.069,,,,,,,,,,0.023,0.062,0.06,0.306,0.0,10,0.001,0.120,,0.34,,0.009,0.4,,,,,,,,,0.025,101.0,,0.194,1.07,0.160,,,,35.0,33.0,,0.062,,14.0,0.185,,10.3,0,0.005,3,0.253,0.212,63.0,0.0,19.9,0.224,0.0,19.9,0.224,0.0,,,0.0,17,,,,,0.328,,0.000,0.4,0.283,8.0,0.083,0.162,,,,,0.0,,0.3,,,,,
99,"""15058""","Fish, ocean perch, Atlantic, cooked, dry heat",50.0,1.0 fillet,0.165,0.184,0.00,0.0,0.023,0.749,0.000,0.000,5,,,,0.885,,,0.0,,0.092,0.0,1.458,0.942,0.007,,0.003,,,0,0.1,0.00,0.544,0.1,0.00,0.544,8,,0,,,,0.608,0.013,0.002,0.028,0.009,0.00,0.001,5,0.004,0.001,5,0.004,0.425,,0.00,200,,0.036,200,,0.036,,,,0.0,0.408,17.0,,,,0.029,0.037,0.86,0.287,0.1,8,0.001,0.042,0.000,0.8,0.00,0.018,0.7,0.000,,,,,,0.006,0.0,0.019,113.0,,0.318,0.94,0.047,,,,22.0,48.0,0.009,0.113,0.00,32.0,0.329,0.001,17.3,0,0.007,5,0.437,0.093,150.0,0.0,39.3,0.380,0.0,39.3,0.380,0.0,,,0.0,29,,,,,0.613,,0.000,0.7,0.449,14.0,0.114,0.193,0.0,,,,0.0,,,0.0,0.295,,0.0,
100,"""15057""","Fish, ocean perch, Atlantic, raw",28.35,"1.0 oz, boneless",0.077,0.086,0.00,0.0,0.011,0.351,0.000,0.000,3,0.004,0.22,0.181,0.415,0.008,,0.0,0.001,0.043,0.0,0.684,0.442,0.003,,0.001,,0.001,0,0.1,0.00,0.255,0.1,0.00,0.255,3,,0,,,,0.285,0.006,0.001,0.013,0.005,0.00,0.001,3,0.002,0.001,3,0.002,0.2,0.000,0.00,94,0.001,0.017,94,0.001,0.017,0.001,23.55,0,0.0,0.192,8.0,0.001,0,0.001,0.014,0.018,0.43,0.135,0.0,3,0.001,0.021,0.000,0.34,0.00,0.008,0.3,0.000,,0.021,81.0,0.000,,0.003,0.0,0.009,53.0,,0.149,0.44,0.022,0.001,,,11.0,22.0,0.004,0.053,0.00,15.0,0.154,0.001,8.1,0,0.003,3,0.205,0.044,70.0,0.0,18.4,0.178,0.0,18.4,0.178,0.0,,,0.0,14,0.052,0.008,,0.077,0.287,,0.000,0.3,0.210,7.0,0.053,0.090,0.0,0.001,,0.003,0.0,,,0.0,0.138,,0.0,0.001
101,"""15061""","Fish, perch, mixed species, cooked, dry heat",46.0,1.0 fillet,0.109,0.217,,,,,,,,,,,1.05,,,,,,,,,,,,0.0,,,,,,,,,5,,,,,,0.874,0.088,,0.018,0.007,,,,,,,,0.501,,,225,,0.008,225,,0.008,,,,,,,,,,0.055,0.046,1.01,0.09,,5,,,,0.73,,,,,,,,,,,,0.006,158.0,,0.404,0.54,0.034,,,,15.0,54.0,,0.128,,53.0,0.386,,7.4,0,0.414,3,0.527,0.082,118.0,,,,,,,0.0,,,,,,,,,0.684,,,,,,0.041,0.337,,,,,,,,,,,,
102,"""15060""","Fish, perch, mixed species, raw",60.0,1.0 fillet,0.111,0.221,,0.0,0.042,0.946,0.000,,3,,,,1.069,,,,,,,,,,,,,,0,,,,,,,5,,0,,,,0.912,0.09,,0.019,0.007,,,,,,,,0.51,,,229,,0.008,229,,0.008,,,,,,,,,,0.06,0.047,1.14,0.091,0.1,5,0.0,0.072,,0.74,,0.000,1.8,,,,,,,,,0.007,161.0,,0.412,0.55,0.034,,,,18.0,55.0,,0.13,,54.0,0.393,,7.6,0,0.420,3,0.536,0.084,120.0,0.0,39.0,0.475,0.0,39.0,0.475,0.0,,,0.0,71,,,,,0.696,,0.000,1.8,0.599,18.0,0.042,0.343,,,,,0.0,,1.0,,,,,
103,"""15063""","Fish, pike, northern, cooked, dry heat",85.0,3.0 oz,0.128,0.22,,,,,,,,,,,1.927,,,,,,,,,,,,0.0,,,,,,,,,20,,,,,,2.38,0.055,,0.02,0.023,,,,,,,,0.92,,,402,,0.020,402,,0.020,,,,,,,,,,0.065,0.036,1.95,0.171,,20,0.001,0.115,,1.31,,0.005,,,,,,,,,,0.035,281.0,,0.742,0.75,0.061,,,,69.0,96.0,,0.235,,42.0,0.708,,13.8,0,0.264,14,0.967,0.085,240.0,,,,,,,0.0,,,,,,,,,1.255,,,,,,0.086,0.618,,,,,,,,,,,,
104,"""15062""","Fish, pike, northern, raw",85.0,3.0 oz,0.1,0.172,,0.0,0.049,1.330,0.000,,13,,,,1.503,,,,,,,,,,,,,,0,,,,,,,18,,0,,,,1.955,0.043,,0.015,0.018,,,,,,,,0.717,,,313,,0.015,313,,0.015,,,,,,,,,,0.054,0.028,1.7,0.133,0.1,18,0.001,0.099,,1.02,,0.004,2.1,,,,,,,,,0.027,220.0,,0.579,0.59,0.048,,,,60.0,75.0,,0.184,,33.0,0.552,,10.7,0,0.204,13,0.754,0.066,187.0,0.0,55.2,0.668,0.0,55.2,0.668,0.0,,,0.0,84,,,,,0.979,,0.000,2.1,0.843,26.0,0.067,0.482,,,,,0.0,,3.2,,,,,
105,"""15204""","Fish, pike, walleye, cooked, dry heat",124.0,1.0 fillet,0.396,0.711,,,,,,,,,,,2.795,,,,,,,,,,,,0.0,,,,,,,,,30,,,,,,3.473,0.283,,0.055,0.022,,,,,,,,1.334,,,618,,0.029,618,,0.029,,,,,,,,,,0.242,0.136,2.86,0.467,,30,,,,1.91,,,,,,,,,,,,0.041,619.0,,1.076,1.93,0.156,,,,100.0,148.0,,0.341,,136.0,1.027,,20.1,0,1.272,21,1.402,0.312,334.0,,,,,,,0.0,,,,,,,,,1.82,,,,,,0.311,0.895,,,,,,,,,,,,
106,"""15064""","Fish, pike, walleye, raw",85.0,3.0 oz,0.212,0.38,,,,,0.000,,13,,,,1.494,,,,,,,,,,,,0.0,,,,,,,,,18,,,,,,1.955,0.151,,0.029,0.012,,,,,,,,0.713,,,331,,0.015,331,,0.015,,,,,,,,,,0.136,0.073,1.7,0.25,,18,0.0,0.102,,1.02,,0.000,,,,,,,,,,0.022,331.0,,0.575,1.04,0.083,,,,60.0,79.0,,0.182,,73.0,0.549,,10.7,0,0.680,13,0.75,0.167,178.0,,,,,,,0.0,,,,,,,,,0.973,,0.000,,,,0.167,0.479,,,,,,,,,,,,
107,"""15267""","Fish, pollock, Alaska, cooked",85.0,3.0 oz,0.172,0.308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026,,,,,,,,,,,,308,0.028,0.096,308,0.028,0.096,,,,,,,0.000,,0.001,,,,0.111,,,,,,1.21,,0.001,,,,0.009,141.0,,,,,0.005,309.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.005,,,,,,,,,0.071,,,0.002,0.005,0.003,,,,,,,,
