,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g)_x,"Tocopherol, delta (mg)_x",22:1 undifferentiated (g)_x,Ash (g)_y,"Tocopherol, delta (mg)_y",22:1 undifferentiated (g)_y,16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
15,"""02003""","Spices, basil, dried",0.7,"1.0 tsp, leaves",0.015,0.003,0.01,0.01,0.001,0.013,0.000,,2.0,0.002,0.07,0.009,0.008,,,0.0,,,0.0,0.018,0.021,,,0.0,0.3,,8,,,,,,0.0,,,0,0.000,0.16,3.0,0.034,0.015,0.000,0.008,0.002,0.01,0.0,2.0,,0.0,2.0,,0.005,0.000,0.00,7,0.000,0.000,1.0,0.63,0.001,,,,0.01,0.009,16.0,,,,0.008,,0.0,0.009,12.0,0.0,0.000,0.009,,0.1,0.00,,0.1,0.00,,,,,0.00,,0.0,0.001,18.0,0.1,0.019,0.03,0.001,,,,5,2,0.000,0.002,,0.0,0.005,0.000,0.0,0,0.069,2.0,0.007,0.007,2.0,0.00,0.4,0.004,0.00,0.4,0.004,0.33,,,1.0,0,0.007,,,,0.009,,0.000,0.0,0.010,5.0,0.007,0.003,0.0,,,,0.0,,0.0,0.0,0.002,,0.0,
16,"""02004""","Spices, bay leaf",0.6,"1.0 tsp, crumbled",0.014,0.014,,,,,0.000,,1.0,,,,,,,,,,,,,,,,0.2,,,,,,,,,0,,,,,,0.012,0.002,,0.001,0.006,,,,,,,,,,,8,,0.001,,,,,,,,,,,,,0.003,,0.0,0.010,,2.0,0.003,0.01,,0.02,,0.000,0.02,,0.000,,,,,,,0.007,3.0,,,,,,,,37,2,,,,,,,,0,0.049,1.0,,,,,,,,,,0.45,,,,,,,,,,,,0.0,,1.0,0.009,,,,,,,,,,,,,
17,"""02005""","Spices, caraway seed",2.1,1.0 tsp,0.013,0.069,,0.01,0.008,0.026,0.000,,0.0,,,,0.022,,,,,,,,,,,,0.8,,10,,,,,,,,,0,,,,0.076,0.019,,0.002,0.003,,,,,,,,0.016,,,29,,0.001,2.0,0.34,0.007,,,,,,,,,,0.008,,0.0,0.150,0.0,0.0,0.000,0.008,,0.12,,0.000,0.12,,0.000,,,,,,,0.066,28.0,,0.019,0.31,0.002,,,,8,7,,0.005,,0.0,0.013,,0.3,0,0.027,0.0,0.017,0.008,12.0,0.00,0.5,0.020,0.00,0.5,0.020,1.05,,,0.0,0,,,,,0.026,,0.000,0.0,0.022,5.0,0.148,0.012,,,,,0.0,,0.4,,,,,
18,"""02006""","Spices, cardamom",2.0,"1.0 tsp, ground",0.014,0.009,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,0,,,,,,0.022,0.008,,0.001,0.002,,,,,,,,,,,26,,0.001,1.0,0.28,,,,,,,,,,,0.004,,0.0,0.017,,0.0,0.000,0.005,,0.12,,,0.12,,,,,,,,,0.006,22.0,,,,,,,,0,6,,,,,,,,,,,,,,,,,,,,1.37,,,,,,,,,,,,0.0,,5.0,0.017,,,,,,,,,,,,,
19,"""02007""","Spices, celery seed",2.0,1.0 tsp,0.044,0.074,,0.01,0.007,,0.000,,0.0,,,,,,,,,,,,,,,,0.2,,0,,,,,,,,,0,,,,0.061,0.027,,0.008,0.004,,,,,,,,,,,33,,0.000,1.0,0.9,,,,,0.0,,35.0,,,,0.006,,0.0,0.319,0.0,0.0,0.000,0.018,,0.19,0.00,,0.19,0.00,,,,,,,,0.070,28.0,,,,,,,,1,8,,,,,,,,0,0.151,0.0,,,,0.00,0.5,,0.00,0.5,,0.83,,,0.0,,,,,,,,,0.0,,9.0,0.309,,,,,,0.0,,0.3,,,,,
20,"""02008""","Spices, chervil, dried",0.6,1.0 tsp,0.001,0.011,,,,,0.000,,2.0,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,0,,,,0.032,0.003,,0.0,,,,,,,,,,,,6,,0.000,,,,,,,,,,,,,0.004,,0.0,0.008,,2.0,0.000,0.006,,0.1,,0.000,0.1,,0.000,,,,,,,0.011,28.0,,,,,,,,35,1,,,,,,,,0,0.013,2.0,,,,,,,,,,0.29,,,,,,,,,,,,0.0,,1.0,0.008,,,,,,0.0,,0.3,,,,,
21,"""02009""","Spices, chili powder",2.7,1.0 tsp,0.066,0.216,0.12,0.19,0.007,0.017,0.000,,1.0,0.014,1.03,0.01,0.01,,,0.0,,0.000,0.0,0.043,0.046,,,0.0,0.9,,8,,,,0.001,,0.0,,,0,0.000,0.36,1.0,0.313,0.027,0.000,0.011,0.014,0.06,0.0,1.0,,0.0,1.0,,0.007,0.000,0.00,32,0.000,0.005,2.0,0.47,0.005,,,,0.09,0.016,9.0,,,,0.025,,0.0,0.087,2.9,40.0,0.002,0.057,0.001,0.32,0.00,,0.32,0.00,,,,,,,0.0,0.202,53.0,0.1,0.034,0.39,0.002,,,,801,8,0.000,0.002,,0.0,0.005,0.001,0.6,0,0.046,1.0,0.011,0.044,8.0,0.00,1.8,0.006,0.00,1.8,0.006,1.34,,,56.0,0,0.084,,,,0.013,,0.000,0.0,0.015,4.0,0.084,0.005,0.0,,,,0.0,,0.0,0.08,0.004,0.000,0.0,
22,"""02010""","Spices, cinnamon, ground",2.6,1.0 tsp,0.009,0.002,0.03,0.06,0.001,0.007,0.000,,0.0,0.0,0.06,0.004,0.006,,,0.0,,,0.0,0.010,0.011,,,0.0,1.4,,6,,,,,,0.0,,,0,0.000,0.1,0.0,0.035,0.009,0.004,0.002,0.000,0.03,0.0,0.0,,0.0,0.0,,0.004,,0.00,27,0.000,0.000,1.0,0.22,0.002,,,,0.27,0.005,26.0,,,,0.001,,0.0,0.006,0.8,0.0,0.000,0.004,0.000,0.09,0.01,0.000,0.09,0.01,0.000,,,,,,0.0,0.001,11.0,0.1,0.011,0.03,0.000,,,,8,6,0.000,0.001,,0.0,0.004,0.000,0.1,0,0.454,0.0,0.004,0.003,2.0,0.00,0.3,0.005,0.00,0.3,0.005,2.1,,,0.0,0,0.006,,,,0.004,,0.000,0.0,0.006,2.0,0.006,0.003,0.0,,,,0.0,,0.1,0.0,0.002,,0.0,
23,"""02011""","Spices, cloves, ground",2.1,1.0 tsp,0.083,0.076,0.02,0.05,0.003,0.008,0.000,0.001,1.0,0.012,0.19,0.005,0.008,0.000,,0.0,0.004,0.008,,,,,,,0.7,,0,,,,,,,,,0,,0.13,0.0,0.033,0.008,0.001,0.014,0.012,0.02,,,,,,,0.004,,0.00,24,0.004,0.006,5.0,0.25,0.001,0.001,0.21,2.0,0.0,0.006,13.0,,,,0.005,0.000,0.0,0.029,3.0,0.0,0.001,0.008,0.004,0.12,0.00,0.000,0.12,0.00,0.000,0.001,6.0,0.0,0.00,0.004,0.0,0.056,21.0,0.0,0.008,0.27,0.001,0.001,,0.0,3,6,0.000,0.001,,0.0,0.004,0.004,0.2,0,1.263,1.0,0.005,0.039,2.0,0.00,0.8,0.005,0.00,0.8,0.005,1.38,,,0.0,,0.016,0.054,,0.011,0.007,,0.003,0.0,0.007,5.0,0.021,0.003,0.0,0.000,0.002,0.005,0.0,,0.0,0.0,0.002,0.001,0.0,0.001
24,"""02012""","Spices, coriander leaf, dried",0.6,1.0 tsp,0.001,0.002,,0.04,0.008,,0.000,,2.0,,,,,,,,,,,,,,,,0.1,,15,,,,,,,,,0,,,,0.064,0.011,,0.0,0.000,,,,,,,,,,,7,,0.000,,,,,,,,,,,,,0.009,,0.0,0.013,8.2,2.0,0.000,0.004,,0.08,,0.000,0.08,,0.000,,,,,,,0.002,27.0,,,,,,,,35,2,,,,,,,,0,0.038,2.0,,,,0.00,0.6,,0.00,0.6,,0.31,,,0.0,0,,,,,,,,0.0,,4.0,0.013,,,,,,0.0,,3.4,,,,,
