,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
26,"""14536""","Alcoholic beverage, wine, dessert, dry",29.5,1.0 fl oz,0.000,,0.14,0.32,0.005,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0.063,0.013,,0.000,,0.17,,,,,,,,,,188,,0.000,,,,,,,,,,,,,0.005,,0.00,,,0,,0.0,,0.09,,0.000,,,,,,,,,,0.000,27.0,,,,,,,,0,45.0,,,,,,,,,0.035,0.0,,,,0.00,,,0.00,,,3.44,,,0.0,,,,,,,,,,,,0.000,,,,,,0.0,,,,,,,
27,"""14057""","Alcoholic beverage, wine, dessert, sweet",29.5,1.0 fl oz,0.000,,1.52,2.3,0.005,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0.063,0.013,,0.000,,0.77,,,,,,,,,,198,,0.000,,,,,,,,,,,,,0.005,,0.00,,,0,,0.0,,0.09,,0.000,,,,,,,,,,0.000,27.0,,,,,,,,0,47.0,,,,,,,,,0.035,0.0,,,,0.00,1.5,,0.00,1.5,,4.04,,,0.0,,,,,,,,,0.0,,3.0,0.000,,,,,,0.0,,,,,,,
28,"""43155""","Alcoholic beverage, wine, light",29.5,1.0 fl oz,0.000,,,0.34,0.000,,0.000,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0.030,0.003,,0.000,,,,,,,,,,,,61,,0.000,,,,,,,,,,,,,0.003,,0.00,,,0,0.000,0.006,,0.04,,0.000,,,,,,,,,,0.000,26.0,,,,,,,,0,14.0,,,,,,,,0,,0.0,,,,0.00,1.5,,0.00,1.5,,0.35,,,0.0,,,,,,,,,0.0,,3.0,0.000,,,,,,0.0,,,,,,,
29,"""14084""","Alcoholic beverage, wine, table, all",148.0,1.0 serving (5 fl oz),0.000,,,1.17,0.007,,0.000,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0.246,0.010,,0.000,,,,,,,,,,,,514,,0.000,,,,,,,,,,,,,0.034,,0.00,,,0,0.000,0.08,,0.36,,0.000,,,,,,,,,,0.000,147.0,,,,,,,,0,123.0,,,,,,,,0,0.184,1.0,,,,0.00,7.4,,0.00,7.4,,4.03,,,0.0,,,,,,,,,0.0,,16.0,0.000,,,,,,0.0,,,,,,,
30,"""14096""","Alcoholic beverage, wine, table, red",29.4,1.0 fl oz,0.000,,,0.18,0.001,,0.000,,0,,,,,,,,,,,,,,,,0.0,,2,,,,,,,,,0,,,,0.066,0.003,,0.000,,,,,,,,,,,,105,,0.000,,,,,,,,,,,,,0.009,,0.00,,0.1,0,0.000,0.017,,0.08,,0.000,,,,,,,,,,0.000,37.0,0.1,,,,,,,1,25.0,,,,,,,,0,0.039,0.0,,,,0.00,1.7,,0.00,1.7,,0.77,,,0.0,,,,,,,,,0.0,,4.0,0.000,,,,,,0.0,,,,,,,
31,"""14106""","Alcoholic beverage, wine, table, white",29.4,1.0 fl oz,0.000,,,0.28,0.001,,0.000,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0.032,0.001,,0.000,,,,,,,,,,,,101,,0.000,,,,,,,,,,,,,0.004,,0.00,,0.1,0,0.000,0.015,,0.06,,0.000,,,,,,,,,,0.000,21.0,,,,,,,,0,24.0,,,,,,,,0,0.034,0.0,,,,0.00,1.3,,0.00,1.3,,0.76,,,0.0,,,,,,,,,0.0,,3.0,0.000,,,,,,0.0,,,,,,,
32,"""14251""","Alcoholic beverages, beer, higher alcohol",30.6,1.0 fl oz,,,0.00,0.0,0.009,,0.000,,6,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0.337,0.002,,,,0.00,,,,,,,,,,74,,0.000,,,,,,,,,,,,,0.028,0.000,0.01,,,0,0.000,0.028,,0.04,,0.000,,,,,,,0.00,,2.4,0.000,19.0,,,,,,,,0,18.0,,,,,,,,0,0.007,6.0,,,,0.00,3.1,,0.00,3.1,,0.08,,,0.0,,,,,,,,,0.0,,4.0,0.000,,,,,,0.0,,,,,,0.0,
33,"""14253""","Alcoholic beverages, wine, rose",30.3,1.0 fl oz,0.000,,0.64,1.15,0.006,,0.000,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0.027,0.002,,0.000,,0.52,,,,,,,,,,105,,0.000,,,,,,,,,,,,,0.005,0.000,0.00,,,0,0.000,0.011,,0.05,,0.000,,,,,,,0.00,,2.9,0.000,18.0,,,,,,,,0,25.0,,,,,,,,0,0.040,0.0,,,,,0.0,,,0.0,,1.15,,,0.0,,,,,,,,,0.0,,3.0,0.000,,,,,,0.0,,,,,,0.0,
34,"""14021""","Beverages,  Energy drink, Citrus",240.0,8.0 fl oz,0.000,,,25.01,0.000,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,0,,31,,,,,0.000,,0.000,,,,,,,,,,,,454,,0.000,,,,,,,0.00,,19.0,,,,,,0.00,,,0,,0.0,,0.67,0.00,,,,,,,,,,,,10.0,0.0,,,,,,,0,108.0,,,,,,,,,,0.0,,,,,0.0,,,0.0,,27.05,,,0.0,,,,,,,,,,,0.0,0.000,,,,,,0.0,,60.0,,,,,
35,"""14035""","Beverages, ABBOTT, EAS soy protein powder",44.0,1.0 scoop,0.000,0.861,,17.81,0.044,,0.000,,44,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0.359,0.440,,0.000,0.100,,,,,,,,,,,745,,0.000,,,,,,,,,,,,,0.025,,0.00,0.283,1.2,0,0.000,0.025,,0.89,,0.000,,,,,,,,,,0.761,314.0,,,,,,,,0,178.0,,,,,,,,0,0.374,44.0,,,,0.00,50.0,,0.00,50.0,,19.33,,,0.0,,,,,,,,,0.0,,10.0,0.278,,,,,,0.0,,,,,,,
