,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg)_x,"Tocotrienol, alpha (mg)_x",Alanine (g)_x,Menaquinone-4 (µg)_y,"Tocotrienol, alpha (mg)_y",Alanine (g)_y,Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ)_x,"Fatty acids, total trans-monoenoic (g)_x",14:0 (g)_x,Energy (kJ)_y,"Fatty acids, total trans-monoenoic (g)_y",14:0 (g)_y,"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
53,"""36618""","Restaurant, Chinese, general tso's chicken",535.0,1.0 order,14.766,40.13,2.73,62.06,0.144,5.489,0.0,0.080,32,4.494,6.47,3.012,5.826,0.021,,0.0,0.155,0.385,0.0,12.835,6.431,0.070,,0.059,4.8,0.005,530,38.5,0.11,4.023,38.5,0.11,4.023,37,,0,,,,15.264,0.246,0.086,3.643,4.521,3.32,0.032,80,0.059,0.032,80,0.059,2.953,0.027,0.00,6597,0.182,0.155,6597,0.182,0.155,0.3,241.55,48,32.85,3.242,64.0,0.011,198,0.027,0.631,0.027,1.18,20.753,204.4,59,0.016,1.081,0.209,8.56,14.71,0.037,1.1,0.07,,0.990,2327.0,0.037,,0.032,0.0,34.994,1075,29.4,2.638,87.53,1.0,0.3,,55.96,503,1578.0,0.016,0.76,63.29,284,2.081,0.203,77.0,27.0,0.401,59.0,3.017,10.272,679.0,0.0,222.0,2.830,0.0,222.0,2.830,128.35,0.016,,11.0,32,19.057,34.614,,3.301,3.681,,0.005,1.1,3.247,96.0,19.212,1.782,,0.054,0.321,0.481,0.0,,8.6,0.11,1.776,0.043,0.0,0.086
54,"""36619""","Restaurant, Chinese, kung pao chicken",604.0,1.0 order,8.166,18.241,3.26,18.3,0.193,4.681,0.0,0.048,97,1.474,6.16,2.428,2.712,0.012,,0.0,0.072,0.242,0.0,10.769,5.841,0.036,,0.03,9.1,0.000,1365,13.3,0.00,3.461,13.3,0.00,3.461,,,0,,,,16.652,0.441,0.042,1.782,1.486,3.81,0.018,97,0.030,0.018,97,0.030,2.458,0.012,0.00,3268,,0.085,3268,,0.085,0.121,451.67,97,11.9,2.392,121.0,0.006,3630,0.012,0.332,0.018,0.66,13.125,82.1,393,0.012,1.468,0.338,9.72,3.68,0.018,,,,0.459,2428.0,0.018,,0.024,0.0,16.393,1317,22.3,2.06,42.16,0.465,0.121,,11.23,7846,779.0,0.006,0.713,15.28,157,2.096,0.242,48.9,0.0,1.546,97.0,2.603,5.46,568.0,0.0,225.9,2.386,0.0,225.9,2.386,41.49,0.006,,2060.0,0,12.273,16.236,,3.020,3.866,,0.006,0.0,2.839,145.0,12.346,1.601,,0.030,0.187,0.205,0.0,,42.9,0.06,1.450,0.012,0.0,0.030
55,"""36617""","Restaurant, Chinese, lemon chicken",623.0,1.0 order,12.666,37.916,9.47,50.96,0.33,6.093,0.0,0.050,56,4.13,7.97,2.978,5.968,0.019,,0.06,0.150,0.318,0.0,14.111,6.865,0.056,,0.05,6.2,0.006,224,16.2,0.06,4.180,16.2,0.06,4.180,12,,0,,,,23.524,0.249,0.075,3.177,4.168,9.84,0.012,56,0.037,0.012,56,0.037,3.196,0.037,0.19,6566,0.162,0.131,6566,0.162,0.131,0.255,328.26,6,37.07,3.152,249.0,0.000,6,0.019,0.436,0.019,0.69,17.126,152.0,19,0.012,1.558,0.193,7.97,14.45,0.031,0.6,0.069,,0.430,1570.0,0.019,,0.019,0.0,33.349,1003,46.7,3.265,84.42,0.436,0.255,,31.46,69,1570.0,0.019,0.878,63.98,199,2.299,0.206,81.0,0.0,0.554,56.0,3.346,8.734,847.0,0.0,178.2,3.196,0.0,178.2,3.196,128.4,0.012,,0.0,31,16.105,33.025,,3.240,3.246,,0.006,0.6,3.551,100.0,16.254,2.274,,0.037,0.199,0.424,0.0,,14.3,0.06,2.056,0.025,0.0,0.062
56,"""36629""","Restaurant, Chinese, orange chicken",648.0,1.0 order,15.695,39.437,4.34,88.13,0.279,6.486,0.0,0.104,65,4.011,6.93,3.305,6.856,0.000,,0.0,0.117,0.279,0.0,16.038,8.081,0.045,,0.052,5.2,0.000,525,,,,,,,480,,0,0.648,93.7,162,23.263,0.272,0.078,4.393,4.193,4.08,0.026,65,0.065,0.026,65,0.065,3.732,0.181,0.00,7102,0.123,0.143,7102,0.123,0.143,0.22,313.83,19,25.66,3.979,91.0,0.000,58,0.026,1.426,0.006,1.30,22.512,158.1,486,0.019,1.490,0.246,12.7,11.02,0.000,,,,0.881,3583.0,0.000,,0.019,0.0,34.532,1354,51.2,3.914,82.17,0.881,0.22,,79.70,1711,1698.0,0.000,0.732,68.04,395,2.08,0.253,110.8,0.0,0.564,65.0,3.732,10.381,842.0,0.0,428.3,3.551,0.0,428.3,3.551,145.54,0.000,,0.0,32,21.164,34.24,,6.480,5.203,,0.032,0.6,3.979,130.0,21.28,2.326,,0.065,0.434,0.343,0.0,,5.8,0.0,2.203,0.032,0.0,0.071
57,"""36633""","Restaurant, Chinese, sesame chicken",547.0,1.0 order,13.183,37.661,10.99,87.41,0.219,,0.0,0.077,44,4.234,7.17,,,,,0.0,0.077,0.416,0.0,,,0.038,,0.049,3.8,0.005,492,,,,,,,449,,0,,,,21.661,0.279,0.071,3.457,4.442,11.92,0.016,44,0.055,0.016,44,0.055,,,,6706,0.093,0.115,6706,0.093,0.115,0.153,234.12,16,35.45,,66.0,0.005,55,0.027,1.231,0.016,1.37,19.397,148.2,454,0.011,1.460,0.197,9.52,14.50,0.027,,,,0.613,2637.0,0.000,,0.033,0.0,32.634,1116,25.2,,,,0.153,,64.49,,1603.0,0.005,,,,,,,0.0,0.454,44.0,,,,0.0,334.2,,0.0,334.2,,147.03,0.016,,0.0,27,18.204,32.41,,,,,,0.5,,120.0,18.281,,,0.049,0.328,0.246,0.0,,5.5,0.0,,0.005,0.0,0.071
58,"""36620""","Restaurant, Chinese, shrimp and vegetables",601.0,1.0 order,3.804,11.924,3.31,12.98,0.18,2.404,0.0,,,1.533,5.95,1.274,2.614,0.006,,0.0,0.048,0.108,0.0,7.254,3.540,0.018,,0.024,8.4,0.000,1983,13.8,0.06,1.863,13.8,0.06,1.863,0,,,,,,5.619,0.505,0.036,0.908,1.533,4.27,0.0,,,0.0,,,1.238,,0.00,1965,0.054,0.042,1965,0.054,0.042,0.072,505.2,0,10.04,1.773,216.0,0.006,3762,0.018,0.198,0.126,1.26,4.91,312.5,397,0.006,0.751,0.060,8.83,3.25,0.012,,,,0.120,2254.0,0.024,0.00,0.012,,10.067,1154,168.3,1.496,24.34,0.126,0.072,,5.41,7933,469.0,0.006,0.355,9.20,216,1.064,0.06,33.7,,,,1.298,2.596,445.0,,,,,,,27.17,0.006,,1989.0,,4.598,9.959,,1.941,2.819,,0.018,,,,4.64,0.715,,0.000,0.042,0.126,,,,0.0,0.914,0.012,0.0,0.036
59,"""36621""","Restaurant, Chinese, sweet and sour chicken",706.0,1.0 order,13.647,45.318,21.39,80.98,0.374,5.182,0.0,0.049,42,5.443,5.79,2.626,4.878,0.028,,0.0,0.233,0.381,0.0,13.365,5.704,0.064,,0.049,7.1,0.007,261,16.9,0.07,3.452,16.9,0.07,3.452,21,,0,,,,25.818,0.275,0.085,3.579,5.45,23.02,0.014,106,0.035,0.014,106,0.035,2.782,0.007,0.00,7378,0.254,0.092,7378,0.254,0.092,0.282,368.32,0,41.8,2.782,318.0,0.000,974,0.021,0.304,0.021,0.64,19.182,158.8,127,0.007,1.814,0.226,8.54,16.87,0.049,,,,0.346,1737.0,0.014,,0.021,0.0,39.501,1115,58.6,3.304,89.31,0.346,0.282,,36.57,2238,1765.0,0.021,0.748,80.48,191,1.8,0.233,81.2,35.0,1.073,78.0,2.852,9.263,953.0,0.0,170.9,2.704,0.0,170.9,2.704,168.45,0.021,,657.0,49,18.081,39.148,,3.954,3.904,,0.007,1.4,3.001,106.0,18.314,2.026,,0.035,0.169,0.544,0.0,,16.9,0.07,1.652,0.028,0.0,0.071
60,"""36622""","Restaurant, Chinese, sweet and sour pork",609.0,1.0 order,16.321,43.336,17.36,62.97,1.431,4.385,0.0,0.030,,4.781,5.42,2.131,4.111,0.024,,0.0,0.183,0.438,0.0,11.699,4.756,0.091,,0.079,6.1,0.012,134,12.2,0.00,2.935,12.2,0.00,2.935,12,,,,,,12.862,0.365,0.11,4.379,4.793,18.33,0.012,,0.037,0.012,,0.037,2.314,0.006,0.00,6876,0.207,0.256,6876,0.207,0.256,0.317,309.62,0,19.91,2.473,280.0,0.006,1577,0.024,0.627,0.024,1.16,21.479,169.9,177,0.018,1.035,0.213,7.61,7.80,0.043,,,,0.451,1851.0,0.018,0.00,0.018,,38.19,926,45.1,2.783,95.37,0.451,0.317,,27.22,3368,1644.0,0.018,0.633,71.56,146,1.571,0.238,59.1,,,,2.339,10.925,810.0,,,,,,,142.14,0.018,,847.0,,20.237,37.788,,2.698,3.343,,0.030,,,,20.426,1.784,,0.024,0.152,0.53,,,,0.06,1.285,0.037,0.0,0.085
61,"""36624""","Restaurant, Chinese, vegetable chow mein, without meat or noodles",777.0,1.0 order,2.277,7.156,5.44,20.44,0.155,,0.0,,311,1.002,3.88,,,,,0.0,0.008,0.031,0.0,,,0.008,,0.0,9.3,0.000,1383,,,,,,,,,0,,,,3.939,0.249,0.016,0.637,1.033,5.44,0.0,311,,0.0,311,,,,,1414,0.008,0.016,1414,0.008,0.016,0.031,699.92,0,6.68,,194.0,0.000,1150,0.008,0.761,,0.00,3.193,146.9,101,0.0,0.668,0.047,9.01,2.25,0.000,,,,0.023,2673.0,0.000,,,0.0,6.123,1057,10.1,,,,0.031,,9.56,2098,334.0,0.000,,,,,,,0.0,0.87,311.0,,,,0.0,122.8,,0.0,122.8,,44.6,0.000,,218.0,0,3.116,6.084,,1.787,,,,0.0,,70.0,3.124,,,,0.0,0.039,0.0,,55.9,0.0,,,0.0,0.008
62,"""36625""","Restaurant, Chinese, vegetable lo mein, without meat",741.0,1.0 order,3.438,9.566,2.45,19.49,0.348,,0.0,0.007,207,1.045,2.22,,,,,0.52,0.015,0.059,0.0,,,,,0.007,9.6,0.000,830,,,,,,,,,0,,,,6.002,0.474,0.015,0.823,1.074,2.74,0.0,207,,0.0,207,,,,,3749,0.015,0.022,3749,0.015,0.022,0.044,528.56,0,5.93,,156.0,0.000,719,0.007,0.919,,0.00,4.387,94.1,67,0.0,0.504,0.059,10.3,2.22,0.000,,,,0.052,3186.0,0.000,,,0.0,8.462,778,69.7,,,,0.044,,12.08,1326,897.0,0.000,,,,,,,0.0,1.778,207.0,,,,0.0,65.9,,0.0,65.9,,149.39,0.000,,156.0,30,4.246,8.403,,2.001,,,,0.7,,104.0,4.261,,,0.000,0.015,0.059,0.0,,12.6,0.0,,,0.0,0.015
63,"""36015""","Restaurant, family style, chicken fingers, from kid's menu",114.0,1.0 serving,3.647,10.275,0.00,0.38,0.112,1.817,0.0,0.016,8,1.105,1.68,0.887,2.102,0.001,,0.11,0.041,0.104,0.0,3.870,1.805,0.011,,0.014,1.3,0.001,66,7.9,0.01,1.199,7.9,0.01,1.199,5,,,0.025,21.3,2,8.696,0.078,0.022,1.206,1.183,0.27,0.001,,0.013,0.001,,0.013,0.686,0.079,0.01,1464,0.041,0.024,1464,0.041,0.024,0.108,48.07,5,9.39,0.983,24.0,0.000,10,0.006,0.189,0.001,0.15,4.517,31.9,6,0.003,0.516,0.065,3.34,3.12,0.001,,,,0.059,922.0,0.000,0.00,0.003,,8.995,367,,1.373,19.89,0.059,0.108,,0.03,35,350.0,0.000,0.243,20.53,52,0.609,0.065,22.8,,,,1.064,2.218,349.0,,,,,,,21.4,0.000,,0.0,,4.299,8.864,,1.776,1.449,,0.006,,,,4.34,0.836,0.2,0.011,0.049,0.149,,,,0.95,0.592,0.009,0.0,0.023
64,"""36034""","Restaurant, family style, chicken tenders",201.0,1.0 serving,5.921,15.949,0.00,0.48,0.195,3.089,0.0,0.024,22,1.276,2.79,1.497,3.825,0.000,,0.26,0.078,0.601,0.0,6.488,2.961,0.018,,0.02,1.8,0.002,137,,,,,,,12,,,0.024,37.95,2,15.598,0.135,0.034,1.93,1.415,0.34,0.002,,0.022,0.002,,0.022,1.196,0.139,0.06,2543,0.080,0.044,2543,0.080,0.044,0.187,85.02,14,15.42,1.664,36.0,0.000,22,0.01,0.334,0.000,0.26,7.769,,14,0.012,0.963,0.105,5.83,6.27,0.000,,,,0.096,1608.0,0.000,0.00,0.006,,14.376,651,,2.368,33.43,0.096,0.187,,0.10,88,607.0,0.000,0.42,36.16,92,1.059,0.103,39.6,,,,1.761,3.618,597.0,,,,,,,38.77,0.000,,0.0,,6.969,14.146,,3.037,2.484,,0.012,,,,7.049,1.419,,0.020,0.082,0.267,,,,0.14,1.019,0.014,0.0,0.042
65,"""36037""","Restaurant, family style, chili with meat and beans",136.0,1.0 cup,5.471,0.85,1.33,3.09,0.05,1.261,0.0,0.007,30,0.048,1.56,0.645,1.148,0.000,,0.14,0.622,0.045,0.0,2.815,1.625,0.110,,0.005,1.9,0.000,499,,,,,,,126,,0,0.326,17.08,6309,4.838,0.117,0.147,1.724,0.05,1.46,0.129,30,0.020,0.129,30,0.020,0.547,0.001,0.00,892,0.670,0.405,892,0.670,0.405,0.09,96.98,272,0.11,1.134,46.0,0.049,785,0.064,0.282,0.003,1.71,6.34,4.2,203,0.015,0.437,0.008,2.39,0.00,,,,,0.456,518.0,0.000,,0.010,0.0,0.715,435,,1.163,13.31,0.503,0.088,,0.30,1953,214.0,0.000,0.196,0.58,61,0.462,0.015,17.8,0.0,0.114,30.0,0.756,3.072,141.0,0.0,43.9,0.505,0.0,43.9,0.505,6.22,0.000,,0.0,,4.931,0.541,,0.551,1.05,,0.015,0.0,0.869,24.0,5.553,0.505,,0.020,0.038,0.759,0.0,,1.5,0.0,0.378,,0.0,0.087
66,"""36035""","Restaurant, family style, coleslaw",108.0,1.0 serving,2.062,7.466,3.18,10.3,0.031,,0.0,,27,0.904,0.86,,,,,0.0,0.009,0.054,0.0,,,,,0.008,2.1,0.000,72,0.0,,,0.0,,,5,,0,,,,0.303,0.019,0.013,0.558,0.946,3.79,0.0,27,0.001,0.0,27,0.001,,,,718,0.009,0.013,718,0.009,0.013,0.054,79.95,2,7.46,,37.0,0.000,492,0.003,0.063,,0.00,2.789,85.3,58,0.002,0.129,0.043,1.03,2.57,0.008,,,,0.018,239.0,0.000,,,0.0,6.498,165,0.3,,,,0.054,,3.14,1076,172.0,0.000,,,,,,,0.0,0.16,27.0,,,,0.0,8.9,,0.0,8.9,,13.34,0.000,,283.0,0,2.692,6.434,,0.279,,,,0.0,,11.0,2.701,,0.0,0.000,0.012,0.063,0.0,,14.8,0.02,,0.000,0.0,0.012
67,"""36033""","Restaurant, family style, fish fillet, battered or breaded, fried",226.0,1.0 serving,4.240,12.055,0.00,1.02,0.136,2.540,0.0,0.002,38,1.259,2.12,1.196,2.741,0.002,,0.14,0.063,0.113,0.0,4.986,2.886,0.016,,0.014,2.0,0.000,167,,,,,,,5,,0,0.009,30.49,2,5.594,0.099,0.025,1.295,1.363,0.56,0.0,38,,0.0,38,,1.035,0.104,0.23,2068,0.066,0.041,2068,0.066,0.041,0.147,128.23,9,10.03,1.464,32.0,0.002,7,0.009,0.217,0.120,2.64,5.223,0.2,7,0.011,0.522,0.075,4.72,3.80,0.002,,,,0.052,1268.0,0.000,,0.009,0.0,10.263,567,,1.668,24.39,0.054,0.147,,0.23,36,495.0,0.000,0.337,36.21,81,0.958,0.075,39.5,0.0,0.292,38.0,1.451,2.655,468.0,0.0,121.4,1.162,0.0,121.4,1.162,38.17,0.000,,0.0,34,4.974,10.086,,0.809,1.901,,0.014,0.9,1.636,52.0,5.038,0.739,,0.000,0.029,0.215,0.0,,,0.18,0.911,0.014,0.0,0.032
68,"""36014""","Restaurant, family style, french fries",170.0,1.0 serving,4.231,11.234,0.15,0.48,0.187,0.304,0.0,0.002,26,1.346,1.70,0.258,0.24,0.003,,0.0,0.058,0.117,0.0,0.899,1.287,0.014,,0.009,6.6,0.000,,0.0,0.07,0.185,0.0,0.07,0.185,0,,,,,,4.359,0.19,0.025,1.362,1.426,0.24,0.0,,,0.0,,,0.185,0.078,0.00,2057,0.061,0.036,2057,0.061,0.036,0.116,73.42,,11.0,0.167,29.0,0.000,,0.007,0.097,0.000,,5.709,61.0,0,0.012,0.401,0.070,3.54,4.22,0.005,,,,0.032,607.0,0.000,0.00,,,9.787,926,,0.185,23.87,0.032,0.116,,0.10,0,491.0,,0.083,57.14,2,0.167,0.082,0.7,,,,0.204,2.591,211.0,,,,,,,63.24,0.002,,,,,9.649,12,0.927,0.325,,0.012,,,,5.54,0.093,0.0,0.000,0.01,0.177,,,,0.14,0.075,0.010,0.0,0.022
69,"""36012""","Restaurant, family style, fried mozzarella sticks",245.0,1.0 serving,16.778,12.206,0.17,5.78,0.252,3.773,0.358,0.012,29,1.318,1.89,2.085,2.879,0.002,,0.34,0.546,0.186,0.0,9.611,2.617,0.056,,0.017,4.9,0.002,105,5.6,0.05,1.205,5.6,0.05,1.205,238,,0,,36.14,0,1.913,0.162,0.157,3.545,1.409,1.57,0.216,88,0.032,0.216,88,0.032,1.053,0.088,1.42,3327,0.620,2.136,3327,0.620,2.136,0.26,94.18,5,10.27,0.897,818.0,0.073,61,0.228,0.639,0.010,2.35,10.604,56.1,243,0.664,0.181,0.083,8.18,3.99,0.002,,,,0.323,2109.0,0.443,0.73,0.015,0.0,10.648,265,,5.361,44.91,0.397,0.255,,0.10,897,796.0,0.000,0.448,50.13,88,1.553,0.103,46.3,34.0,0.72,64.0,1.94,8.21,779.0,0.0,24.3,1.690,0.0,24.3,1.690,61.59,0.000,,0.0,17,9.202,10.258,,1.017,1.561,,0.573,0.5,2.538,51.0,9.749,1.161,0.0,0.029,0.056,0.88,0.0,,,0.07,1.056,0.238,1.81,0.137
70,"""36039""","Restaurant, family style, hash browns",94.0,1.0 cup,1.588,4.727,0.48,1.3,0.007,,0.0,,22,0.586,0.52,,,,,0.11,0.013,0.022,0.0,,,0.005,,0.003,2.5,0.000,,,,,,,,,,,,,,2.04,0.062,0.01,0.581,0.612,0.55,0.0,,,0.0,,,,,,776,0.014,0.009,776,0.014,0.009,0.031,56.26,,4.72,,16.0,0.000,,0.003,0.045,0.000,,1.913,30.6,,0.0,0.191,0.027,1.96,1.69,0.004,,,,0.009,440.0,0.001,0.00,,,4.11,391,,,,,0.031,,0.28,,,,,,,,,,,,,,,,,,,,,,24.99,0.001,,,,,4.071,,0.428,,,,,,,1.873,,0.0,0.000,0.003,0.045,,,,0.0,,0.003,0.0,0.008
71,"""36017""","Restaurant, family style, macaroni  &  cheese, from kids' menu",136.0,1.0 cup,2.920,2.262,0.00,4.2,0.129,0.741,0.063,0.001,30,0.326,1.02,0.438,0.428,0.001,,0.31,0.099,0.050,0.0,2.395,0.532,0.011,,0.004,1.5,0.000,105,,,,,,,41,,0,,7.37,0,1.065,0.087,0.029,0.586,0.341,0.00,0.037,57,0.005,0.037,57,0.005,0.224,0.015,0.10,862,0.114,0.363,862,0.114,0.363,0.045,92.81,0,2.34,0.226,135.0,0.014,12,0.042,0.345,0.000,0.24,2.657,0.7,42,0.112,0.078,0.019,2.01,0.56,0.001,,,,0.056,491.0,0.080,0.01,0.001,0.0,1.897,184,,0.917,8.24,0.069,0.045,,0.00,160,205.0,0.000,0.107,18.54,14,0.299,0.026,26.4,16.0,0.264,46.0,0.397,1.451,186.0,0.0,5.3,0.439,0.0,5.3,0.439,25.57,0.000,,1.0,4,2.388,1.828,,0.645,0.318,,0.099,0.1,0.645,26.0,2.489,0.216,,0.005,0.011,0.159,0.0,0.01,,0.12,0.165,0.039,4.11,0.024
72,"""36036""","Restaurant, family style, onion rings",259.0,1.0 serving,8.845,25.46,2.95,12.12,0.303,0.860,0.0,0.003,36,2.792,3.29,0.585,0.287,0.010,,0.39,0.168,0.153,0.0,3.906,0.570,0.028,,0.023,6.7,0.003,109,0.0,0.10,0.386,0.0,0.10,0.386,3,,,,12.67,0,2.119,0.228,0.054,2.901,3.002,3.24,0.0,,0.003,0.0,,0.003,0.272,0.210,2.90,3857,0.176,0.06,3857,0.176,0.06,0.295,85.21,10,21.7,0.464,54.0,0.003,16,0.013,0.202,0.000,,10.922,110.3,3,0.016,0.215,0.153,5.72,8.78,0.018,,,,0.078,1792.0,0.000,0.00,,,22.409,368,,1.616,49.94,0.08,0.295,,3.03,44,922.0,0.000,0.119,86.22,,0.267,0.161,12.9,,,,0.422,5.39,243.0,,,,,,,105.46,0.008,,3.0,,10.471,22.041,,0.984,0.596,,0.021,,,,10.64,0.282,0.0,0.000,0.021,0.474,,,,0.13,0.189,0.021,0.0,0.070
73,"""36016""","Restaurant, family style, shrimp, breaded and fried",169.0,1.0 serving,5.680,15.736,0.24,1.54,0.189,1.678,0.002,,25,1.545,3.62,0.945,1.458,0.000,,0.08,0.101,0.193,0.0,4.355,1.945,0.017,,0.019,2.5,0.002,17,0.0,,1.109,0.0,,1.109,5,,0,,,,2.111,0.24,0.039,2.016,1.685,0.24,0.0,105,0.002,0.0,105,0.002,0.762,0.140,0.49,2177,0.103,0.037,2177,0.103,0.037,0.128,72.7,0,12.24,0.979,71.0,0.003,0,0.008,0.218,0.076,0.74,7.257,54.4,5,0.003,0.125,0.103,5.64,5.27,0.000,,,,0.052,1901.0,0.000,,0.005,0.0,13.828,183,,1.168,31.55,0.056,0.128,,0.59,19,521.0,0.000,0.245,33.80,147,0.652,0.108,38.2,47.0,0.502,73.0,0.924,3.306,509.0,0.0,84.7,0.864,0.0,84.7,0.864,37.67,0.000,,0.0,2,6.89,13.659,,0.592,1.558,,0.008,0.0,1.137,35.0,6.992,0.436,0.0,0.000,0.042,0.233,0.0,0.42,,0.0,0.522,0.012,0.0,0.041
74,"""36013""","Restaurant, family style, sirloin steak",166.0,1.0 serving,5.217,1.117,0.00,0.91,0.128,4.228,0.0,0.018,,0.05,0.88,2.102,4.231,0.000,,0.2,0.476,0.042,0.0,7.910,4.802,0.118,,0.007,,,,,,,,,,13,,,,,,9.434,0.166,0.153,1.594,0.053,0.91,0.103,,0.042,0.103,,0.042,2.342,0.003,0.00,1358,0.515,0.344,1358,0.515,0.344,0.073,99.9,,0.25,2.394,17.0,0.038,,0.056,0.576,0.012,4.22,6.066,,13,0.012,1.109,0.008,2.97,0.08,0.000,,,,0.435,563.0,0.000,0.00,0.032,,0.833,629,,2.065,14.08,0.473,0.073,,0.00,45,324.0,0.000,0.652,,144,1.78,0.013,48.1,,,,2.462,3.02,382.0,,,,,,,0.0,,,,,,0.707,,0.984,3.456,,0.013,,,,5.332,1.821,,0.042,0.121,0.588,,,,0.03,1.272,0.000,0.0,0.053
75,"""36038""","Restaurant, family style, spaghetti and meatballs",134.0,1.0 cup,4.159,1.625,0.94,2.72,0.143,0.951,0.008,0.011,,0.109,1.00,0.536,0.75,0.003,,0.36,0.226,0.071,0.0,3.002,0.925,0.054,,0.036,2.0,0.005,213,,,,,,,24,,,0.080,10.51,3672,2.68,0.142,0.074,1.227,0.114,0.84,0.055,,0.019,0.055,,0.019,0.442,0.005,0.27,954,0.248,0.267,954,0.248,0.267,0.043,89.3,0,0.48,0.616,60.0,0.021,161,0.034,0.224,0.000,0.52,4.824,,38,0.029,0.192,0.008,2.0,0.08,0.003,,,,0.261,470.0,0.009,0.00,0.007,,1.412,276,,1.059,11.42,0.281,0.043,,0.67,346,228.0,0.000,0.121,15.24,25,0.335,0.02,24.7,,,,0.496,2.444,119.0,,,,,,,20.78,0.000,,0.0,,4.134,1.332,,0.590,0.67,,0.027,,,,4.36,0.362,,0.013,0.027,0.291,,,,0.11,0.255,0.007,0.0,0.038
76,"""36055""","Restaurant, Italian, cheese ravioli with marinara sauce",427.0,1.0 serving serving size varied by diameter and count of raviloi,10.914,2.391,3.84,19.21,0.436,2.852,0.286,0.000,,0.235,2.01,1.516,2.161,0.000,,0.56,0.363,0.051,0.0,8.207,2.353,0.038,,0.004,5.1,0.004,448,,,,,,,167,,,0.000,30.19,8049,5.671,0.367,0.111,1.836,0.239,4.36,0.158,,0.026,0.158,,0.026,1.2,0.004,1.02,2741,0.418,1.648,2741,0.418,1.648,0.111,287.33,0,2.01,0.807,512.0,0.056,726,0.179,0.867,0.004,1.54,7.4,,226,0.508,0.384,0.017,6.19,0.00,,,,,0.282,1307.0,0.359,0.00,0.013,,1.904,833,,5.086,24.34,0.333,0.111,,0.00,1764,658.0,0.000,0.559,54.10,111,1.025,0.038,87.1,,,,1.375,5.273,517.0,,,,,,,79.0,0.000,,0.0,,5.713,1.712,,2.007,1.243,,0.470,,,,6.076,0.687,,0.017,0.043,0.525,,,,0.0,0.709,0.184,9.99,0.085
