,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg)_x,"Tocotrienol, alpha (mg)_x",Alanine (g)_x,Menaquinone-4 (µg)_y,"Tocotrienol, alpha (mg)_y",Alanine (g)_y,Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ)_x,"Fatty acids, total trans-monoenoic (g)_x",14:0 (g)_x,Energy (kJ)_y,"Fatty acids, total trans-monoenoic (g)_y",14:0 (g)_y,"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
43,"""36049""","ON THE BORDER, cheese enchilada",250.0,1.0 serving serving size varied from 1 to 3 enchiladas,18.800,5.268,2.08,7.22,0.163,,0.475,0.010,,0.482,2.23,,,,,0.0,0.743,0.087,0.0,,,0.070,,0.01,4.5,0.000,145,,,,,,,,,,,,,1.95,0.17,0.2,3.788,0.512,2.42,0.263,,0.033,0.263,,0.033,,,,2835,0.835,2.695,2835,0.835,2.695,0.217,129.55,28,4.28,,732.0,0.092,280,0.29,0.55,0.007,1.80,10.22,,25,0.825,0.312,0.037,6.42,0.88,0.000,,,,0.427,1402.0,0.575,0.00,0.015,,4.62,440,,,,,0.217,,0.62,488,678.0,0.000,,,,,,,,,,,,,,,,,,,40.5,0.000,,0.0,,8.535,4.247,,0.925,,,,,,,9.277,,,0.033,0.055,1.052,,,,0.0,,0.300,1.65,0.155
44,"""36051""","ON THE BORDER, cheese quesadilla",203.0,1.0 serving 1 quesadilla,26.341,4.793,0.37,4.14,0.467,,0.668,0.010,,0.404,1.38,,,,,0.12,0.891,0.095,0.0,,,0.071,,0.012,4.5,0.002,,,,,,,,,,,,,,4.03,0.124,0.24,5.211,0.422,1.34,0.327,,0.047,0.327,,0.047,,,,3345,1.011,3.674,3345,1.011,3.674,0.278,61.53,,2.88,,877.0,0.118,,0.386,0.69,0.008,1.66,12.807,,,1.179,0.122,0.039,6.21,0.71,0.002,,,,0.516,1374.0,0.798,0.14,0.020,,4.206,193,,,,,0.276,,0.00,,,,,,,,,,,,,,,,,,,,,,49.23,0.000,,,,,3.739,,0.792,,,,,,,11.677,,,0.045,0.067,1.289,,,,0.0,,0.426,0.37,0.191
45,"""36044""","ON THE BORDER, Mexican rice",114.0,1.0 cup,1.010,2.62,0.38,1.57,0.319,,0.0,,,0.266,0.67,,,,,0.0,0.021,0.015,0.0,,,,,0.001,1.3,0.000,114,0.0,0.16,,0.0,0.16,,,,,,,,3.135,0.083,0.002,0.333,0.276,0.42,0.0,,,0.0,,,,,,928,0.021,0.011,928,0.021,0.011,0.008,62.93,0,3.21,,44.0,0.000,42,0.001,0.098,0.000,0.10,1.317,14.0,3,0.0,,0.011,2.54,1.04,0.000,,,,,772.0,0.002,0.00,,,2.343,149,22.7,,,,0.008,,0.78,70,222.0,0.000,,,,,,,,,,,,,,,,,,,38.93,0.000,,0.0,,1.278,2.332,,0.581,,,,,,,1.298,,0.2,0.000,0.001,0.029,,,,0.23,,0.000,0.0,0.001
46,"""36045""","ON THE BORDER, refried beans",135.0,1.0 cup,2.456,1.396,0.00,1.13,0.196,,0.023,0.004,49,0.305,0.14,,,,,0.0,0.047,0.034,0.0,,,0.014,,0.03,11.1,0.005,,1.4,0.00,,1.4,0.00,,,,,,,,0.702,0.275,0.023,0.606,0.306,0.00,0.012,,0.009,0.012,,0.009,,,,815,0.051,0.185,815,0.051,0.185,0.009,92.03,,2.11,,77.0,0.004,,0.019,0.142,0.000,0.14,2.225,2.8,,0.049,,0.005,2.71,0.07,0.000,,,,0.103,510.0,0.038,0.00,0.001,,1.031,571,18.8,,,,0.009,,1.13,,,,,,,,,,,,,,,,,,,,,,23.65,0.000,,,,,1.014,,0.378,,,,,,,2.059,,0.0,0.004,0.015,0.061,,,,0.0,,0.019,0.0,0.009
47,"""36060""","ON THE BORDER, soft taco with ground beef, cheese and lettuce",324.0,1.0 serving varied from 2-3 tacos per serving,15.708,3.289,1.78,5.96,0.518,,0.188,0.016,,0.178,1.43,,,,,0.0,2.129,0.087,0.0,,,0.146,,0.01,5.8,0.000,91,,,,,,,,,,,,,9.023,0.421,0.259,4.617,0.188,2.11,0.217,,0.029,0.217,,0.029,,,,3107,2.213,1.545,3107,2.213,1.545,0.428,174.41,0,3.76,,399.0,0.084,172,0.188,0.713,0.003,3.73,14.463,,13,0.356,0.405,0.045,8.59,0.87,0.003,,,,0.625,2093.0,0.259,0.23,0.016,,2.965,888,,,,,0.424,,0.00,288,742.0,0.000,,,,,,,,,,,,,,,,,,,62.47,0.000,,0.0,,11.172,2.404,,1.490,,,,,,,13.3,,,0.029,0.062,2.641,,,,0.0,,0.117,0.58,0.139
48,"""36603""","Restaurant, Chinese, beef and vegetables",574.0,1.0 order,5.614,12.226,3.16,13.83,0.189,3.014,0.046,0.011,258,1.515,4.71,1.820,3.168,0.006,,0.0,0.184,0.115,0.0,7.720,3.834,0.057,,0.011,8.6,0.000,1538,11.5,0.00,2.187,11.5,0.00,2.187,,,0,,,,7.577,0.281,0.075,1.452,1.515,3.96,0.034,258,0.023,0.034,258,0.023,1.797,0.006,0.00,2526,0.212,0.161,2526,0.212,0.161,0.115,452.43,6,10.27,1.584,126.0,0.023,3415,0.029,0.316,0.023,2.76,6.986,294.5,362,0.011,0.924,0.069,8.61,3.73,0.011,,,,0.281,2348.0,0.017,,0.029,0.0,10.527,1171,17.8,1.51,30.42,0.304,0.115,,6.72,7244,603.0,0.006,0.476,10.45,80,1.573,0.069,38.5,0.0,0.844,258.0,1.802,3.639,436.0,0.0,198.0,1.670,0.0,198.0,1.670,41.84,0.006,,1854.0,17,6.268,10.349,,2.543,2.979,,0.011,0.6,1.877,86.0,6.457,1.188,,0.023,0.08,0.333,0.0,,66.6,0.06,0.907,0.011,0.0,0.063
49,"""36626""","Restaurant, Chinese, chicken and vegetables",693.0,1.0 order,5.336,14.414,3.46,20.3,0.208,3.583,0.0,0.042,277,1.781,5.34,1.830,3.146,0.000,,0.0,0.035,0.125,0.0,11.227,4.858,0.014,,0.021,6.2,0.000,2086,,,,,,,208,,0,0.049,56.69,0,11.712,0.305,0.028,1.538,1.816,3.26,0.007,277,0.028,0.007,277,0.028,2.121,0.035,0.00,2765,0.035,0.049,2765,0.035,0.049,0.062,556.06,0,10.67,1.830,139.0,0.000,1982,0.014,0.832,0.000,0.49,7.533,379.1,388,0.0,1.608,0.083,11.43,3.67,0.000,0.0,0.035,,0.201,2862.0,0.000,,0.014,0.0,12.342,1282,18.0,1.788,31.6,0.201,0.062,,13.65,4366,658.0,0.000,0.513,11.30,146,1.421,0.097,56.1,0.0,0.873,277.0,2.121,3.486,506.0,0.0,289.7,2.044,0.0,289.7,2.044,37.28,0.000,,457.0,0,7.152,12.259,,3.049,2.924,0.0,,0.0,2.231,104.0,7.186,1.240,,0.028,0.139,0.097,0.0,,56.1,0.0,1.130,,0.0,0.021
50,"""36623""","Restaurant, Chinese, chicken chow mein",604.0,1.0 order,,7.405,2.96,10.51,0.187,3.032,0.0,0.024,,0.773,2.60,1.522,2.869,0.000,,0.0,0.054,0.060,0.0,8.335,3.648,0.018,,0.012,6.0,0.000,399,7.2,0.06,2.150,7.2,0.06,2.150,6,,,,,,8.867,0.175,0.018,0.664,0.779,3.93,0.006,,0.018,0.006,,0.018,1.619,0.006,0.00,2156,0.060,0.042,2156,0.060,0.042,0.042,489.3,6,5.62,1.431,127.0,0.000,1003,0.006,0.139,0.012,0.42,3.703,132.9,115,0.006,1.057,0.036,6.83,1.51,0.006,,,,0.175,1878.0,0.018,0.00,0.012,,6.439,749,4.8,2.144,16.91,0.181,0.042,,3.62,2186,513.0,0.006,0.501,24.10,97,1.317,0.036,36.8,,,,1.691,2.096,326.0,,,,,,,50.07,0.000,,598.0,,3.382,6.384,,1.570,2.561,,0.012,,,,3.437,1.111,,0.018,0.097,0.103,,,,0.0,0.985,0.006,0.0,0.012
51,"""36601""","Restaurant, Chinese, egg rolls, assorted",89.0,1.0 piece,1.883,4.985,0.65,,,,,,,0.566,,0.320,0.328,,,,,,0.0,2.445,0.502,0.000,,0.006,2.3,,,2.9,,0.263,2.9,,0.263,,,,0.000,7.37,,2.425,0.132,0.014,0.476,0.584,1.25,0.006,,0.000,0.006,,0.000,0.302,0.018,1.01,930,0.041,0.026,930,0.041,0.026,0.051,45.03,,,,,,,,0.069,,0.39,2.702,52.4,,0.0,0.149,0.032,1.68,,,,,,,,,,,,4.386,147,19.5,0.692,10.63,0.083,,,,,,,0.059,17.62,14,0.222,0.03,0.0,,,,0.263,1.299,76.0,,,,,,,24.29,,0.051,,,,4.335,,0.338,0.367,,0.000,,,,2.571,0.163,0.0,,,,,,,,,,0.0,
52,"""36602""","Restaurant, Chinese, fried rice, without meat",137.0,1.0 cup,0.740,1.522,0.07,0.77,0.021,0.459,0.0,,8,0.152,0.18,0.308,0.237,0.000,,0.0,0.007,0.012,0.0,1.470,0.558,,,0.001,1.5,0.000,141,0.0,0.42,0.330,0.0,0.42,0.330,14,,0,,,,0.873,0.13,0.003,0.166,0.155,0.18,0.0,8,,0.0,8,,0.237,0.003,0.00,997,0.007,0.016,997,0.007,0.016,0.01,80.95,0,1.78,0.244,16.0,,175,0.0,0.036,,0.00,0.889,3.8,30,0.0,0.044,0.008,1.53,0.38,0.000,0.0,0.005,,0.018,530.0,0.000,,,0.0,1.355,104,0.3,0.258,4.06,0.018,0.01,,0.51,382,238.0,0.001,0.071,42.20,25,0.211,0.01,11.4,0.0,0.593,8.0,0.237,0.529,70.0,0.0,7.5,0.288,0.0,7.5,0.288,44.92,0.000,,52.0,0,0.851,1.344,,,0.459,0.0,,0.0,0.344,14.0,0.856,0.129,0.0,0.000,0.008,0.015,0.0,,5.2,0.22,0.156,0.000,0.0,0.001
