,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
10,"""19076""","Candies, caramels, chocolate-flavor roll",6.6,1.0 piece,0.064,0.018,,3.72,0.004,,0.000,,0,0.001,0.04,,,,,,,,0.0,,,,,0.000,0.0,,0,,,,,,0.000,0,,0,,,,0.014,0.009,0.000,0.032,0.000,,0.0,1,,0.0,1,,,,,107,,0.000,,,,,,,0.49,,2.0,,,,0.005,,0.00,0.127,0.6,0,0.000,0.001,0.001,0.04,,0.000,,,,,,,,,,0.016,8.0,,,,,,,,0,26.0,,,,,,,,0,0.003,1,,,,0.00,1.2,,0.00,1.2,,5.79,,,0.0,,0.078,,,,,,,0.0,,1.0,0.127,,,,,,5.0,,0.0,,,,,
11,"""19071""","Candies, carob, unsweetened",28.35,1.0 oz,8.227,0.084,,9.67,0.028,,0.015,,6,,,,,,,,,,,,,,,,1.1,,0,,,,,,,,,0,,,,0.295,0.052,,0.179,0.009,,,,,,,,,,,640,,1.774,,,,,,,,,,,,,0.050,0.000,0.08,0.137,2.2,0,5.003,0.037,,0.75,,0.000,,,,,,,,,,0.075,179.0,,,,,,,,3,153.0,,,,,,,,0,0.040,6,,,,0.00,5.4,,0.00,5.4,,15.96,,,0.0,,,,,,,,,0.0,,10.0,0.137,,,,,,0.0,,0.1,,,,,
12,"""43031""","Candies, chocolate covered, caramel with nuts",14.0,1.0 piece,0.652,0.817,,5.79,0.006,,0.001,,13,,,,,,,,,,,,,,,,0.6,,0,,,,,,,6,,3,,,,0.666,0.081,,0.077,0.000,,,,,,,,,,,275,,0.057,,,,,,,,,,,,,0.022,,0.00,1.322,0.4,6,0.160,0.022,,0.38,,0.000,,,,,,,,,,0.817,62.0,,,,,,,,21,66.0,,,,,,,,0,,13,,,,0.00,4.7,,0.00,4.7,,8.49,,,0.0,,,,,,,,,0.0,,11.0,1.287,,,,,,16.0,,0.2,,,,,
13,"""43059""","Candies, chocolate covered, low sugar or low calorie",36.0,1.0 serving,7.820,1.566,,5.27,0.072,,0.052,0.000,9,,,,,,,,,,0.0,,,0.001,,0.000,1.3,,2,,,,,,0.000,19,,3,,,,0.814,0.306,0.013,1.933,0.071,,0.0,9,,0.0,9,,,,,888,,0.869,,,,,,,,,,,,,0.173,0.000,0.31,3.918,2.7,20,1.828,0.065,0.025,0.96,,0.001,0.0,0.013,,,,,,,,1.494,218.0,,,,,,,,73,212.0,,,,,,,,0,0.320,9,,,,0.00,18.0,,0.00,18.0,,13.56,,,0.0,1,,,,,,,,0.0,,46.0,3.832,,,,,,54.0,,0.5,,,,,
14,"""19905""","Candies, chocolate, dark, NFS (45-59% cacao solids 90%; 60-69% cacao solids 5%; 70-85% cacao solids 5%)",28.35,1.0 oz,5.385,0.314,0.00,13.08,0.007,,0.012,0.001,0,0.024,0.16,,,,,0.0,0.021,0.005,0.0,,,0.000,,0.000,2.0,0.000,9,0.0,0.00,,,,,0,,13,,,,0.212,0.305,0.021,2.872,0.024,0.00,0.005,0,,0.005,0,,,,,652,0.024,0.070,,,,0.007,,0.0,1.88,,16.0,0.003,7.0,0.009,0.014,0.000,0.07,2.779,2.3,1,0.021,0.012,0.016,0.49,0.10,0.000,,,,0.029,7.0,0.015,,,0.0,0.288,161.0,,,,,0.007,,12.66,14,156.0,0.000,,,,,,,,0.408,0,,,,0.00,7.8,,0.00,7.8,,17.0,0.000,,2.0,0,2.716,0.274,7,0.086,,,,0.0,,43.0,2.737,,0.0,0.000,0.001,0.03,146.0,,0.0,0.02,,0.008,0.43,0.007
15,"""19922""","Candies, coconut bar, not chocolate covered",47.0,1.0 bar,12.004,0.039,,17.0,0.032,,0.077,,10,,,,,,,0.0,,,,,,,,,3.0,,0,,,,,,,,,0,,,,0.209,0.169,,0.701,0.000,,,,,,,,,,,946,,2.371,18.0,0.36,,,,,0.21,,20.0,,,,0.010,,0.00,0.154,0.0,0,6.006,0.021,,0.52,0.00,,,,,,,,,,,0.039,138.0,0.3,,,,,,,0,226.0,,,,,,,,0,0.582,10,,,,0.00,4.7,,0.00,4.7,,26.26,,,0.0,,,,,,,,,0.0,,13.0,0.154,,,,,,0.0,,1.3,,,,,
16,"""19085""","Candies, confectioner's coating, butterscotch",170.0,1.0 cup chips,40.970,1.770,,114.07,0.025,,0.102,,2,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0.083,0.005,,2.927,0.058,,,,,,,,,,,3832,,7.946,,,,,,,0.05,,58.0,,,,0.128,0.000,0.17,3.861,11.1,0,23.443,0.027,,1.53,,0.000,,,,,,,,,,1.656,109.0,,,,,,,,2,916.0,,,,,,,,0,0.003,2,,,,0.00,18.5,,0.00,18.5,,114.07,,,0.0,,,,,,,,,0.0,,8.0,3.825,,,,,,0.0,,0.2,,,,,
17,"""19086""","Candies, confectioner's coating, peanut butter",168.0,1.0 cup chips,22.042,3.449,,64.34,0.390,,0.037,,129,,,,,,,,,,,,,,,,8.4,,0,,,,,,,,,0,,,,13.776,0.672,0.007,1.080,0.054,,,,,,,,,,,3718,,4.496,,,,,,,0.0,,185.0,,,,,0.000,0.34,21.553,12.3,0,12.667,0.286,0.018,3.95,,0.000,,,,,,,,,,3.274,848.0,,,,,,,,2,889.0,,,,,,,,0,2.352,129,,,,0.00,50.4,,0.00,50.4,,78.76,,,0.0,,,,,,,,,0.0,,185.0,21.506,,,,,,0.0,,0.5,,,,,
18,"""19079""","Candies, confectioner's coating, yogurt",170.0,1.0 cup chips,40.977,0.891,,106.01,0.109,,0.075,,14,,,,,,,,,,,,,,,,,,0,,,,,,,2,,0,,,,0.262,0.014,,0.971,0.078,,,,,,,,,,,3714,,8.760,,,,,,,,,,,,,0.444,0.000,1.10,0.894,16.0,2,24.659,0.095,,2.18,,0.000,,,,,,,,,,0.813,493.0,,,,,,,,7,887.0,,,,,,,,0,0.005,14,,,,0.00,42.2,,0.00,42.2,,108.7,,,0.0,,,,,,,,,0.0,,31.0,0.889,,,,,,0.0,,0.8,,,,,
19,"""19910""","Candies, crispy bar with peanut butter filling",42.0,1.0 serving 1.5 oz,5.443,1.966,,16.94,0.055,,0.018,,0,,,,,,,,,,0.0,,,0.002,,0.000,1.4,,19,,,,,,0.000,6,,0,,,,1.529,0.084,0.006,2.585,0.021,,0.005,29,0.000,0.005,29,0.000,,,,953,,0.099,,,,,,,,,,,,,0.042,0.000,0.06,4.544,2.5,6,0.093,0.034,0.002,0.84,,0.000,,,,,,,,,,1.929,124.0,,,,,,,,24,228.0,0.000,,,,,,,,0.000,17,,,,0.00,11.8,,0.00,11.8,,23.32,,,0.0,,,,,,,,,0.0,,21.0,3.916,,,,,,20.0,,0.3,,,,,
