,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
99,"""01206""","Cream substitute, flavored, powdered",12.0,4.0 tsp,2.334,0.027,,6.96,0.000,0.005,0.000,,0,,,,0.004,,0.1,,,,,,,,,,0.1,,0,,,,,,,0,,0,,,,0.010,0.016,,0.569,0.000,,,,,,,,0.003,,,242,,0.363,2.0,0.08,0.001,,,,,,,,,,0.003,,0.00,0.074,1.1,0,0.902,0.0,,0.09,,0.000,0.0,,,,,,,,,0.027,11.0,0.0,0.004,2.58,0.000,,,,0.0,58.0,,0.001,,0,0.003,,0.2,0,0.017,0.0,0.003,0.285,3.0,0.00,0.1,0.003,0.00,0.1,0.003,9.05,,,0.0,,,,,,0.005,,0.108,0.0,0.005,2.0,0.074,0.001,,,,,11.0,,0.0,,,,,
100,"""42141""","Cream substitute, liquid, light",30.0,1.0 fl oz,0.269,0.126,,2.73,0.000,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,0.0,,0.127,0.006,,,,,,,,,,,89,,0.005,,,,,,,,,,,,,,,0.00,0.609,0.3,0,,0.0,,0.12,,0.000,,,,,,,,,,0.12,53.0,,,,,,,,2.0,21.0,,,,,,,,,,0.0,,,,,0.0,,,0.0,,2.73,,,0.0,,,,,,,,,,,0.0,0.609,,,,,,0.0,,,,,,,
101,"""01067""","Cream substitute, liquid, with hydrogenated vegetable oil and soy protein",15.0,"1.0 container, individual",0.291,0.004,,1.71,0.000,0.013,,,0,,,,0.01,,,,,,,,,,,,,,0,,,,,,,,,0,,,,,0.0,,0.146,0.000,,,,,,,,0.006,,,85,,0.003,2.0,0.0,0.003,,,,,,,,,,,,0.00,1.133,0.4,0,0.009,0.0,,0.06,,0.000,,,,,,,,,,0.003,29.0,,0.009,1.5,0.000,,,,2.0,20.0,,0.002,,0,0.006,,0.2,,,0.0,0.008,0.133,10.0,,0.0,0.009,,0.0,0.009,1.71,,,0.0,,,,,,0.012,,0.002,,0.008,0.0,1.134,0.004,,,,,0.0,,,,,,,
102,"""01068""","Cream substitute, liquid, with lauric acid oil and sodium caseinate",15.0,"1.0 container, individual",1.396,0.000,,,,,,,0,,,,0.012,,,,,,,,,,,,0.0,,,,,,,,,0,,,,,,0.000,0.004,,0.09,0.000,,,,,,,,0.006,,,86,,0.150,1.0,0.0,0.001,,,,,,,,,,,,0.00,0.016,,1,0.992,0.0,,0.06,,,,,,,,,,,,0.0,29.0,,0.017,1.5,0.000,,,,13.0,20.0,,0.002,,0,0.009,,0.2,,0.006,0.0,0.009,0.065,10.0,,,,,,,1.71,,,,,,,,,0.006,,0.042,,,,0.016,0.004,,,,,,,,,,,,
103,"""01069""","Cream substitute, powdered",94.0,1.0 cup,17.997,0.384,0.54,7.3,0.000,0.445,0.088,,0,0.018,1.18,0.242,0.362,0.000,105.3,0.0,5.036,0.018,0.0,1.023,0.319,0.003,,0.000,,,0,0.0,,0.141,,,,,,0,,,,0.000,0.017,0.019,4.033,0.024,3.31,,0,,,0,,0.191,0.005,3.45,2082,5.037,2.506,30.0,0.24,0.020,0.171,2.8,0,9.67,0.090,2.0,0.002,0,0.007,,,0.00,9.208,1.6,0,6.358,0.0,0.049,2.2,3.34,0.000,,,,0.004,117.0,0.006,,,0.0,0.359,629.0,0.1,0.508,30.94,0.006,0.168,,0.00,0.0,497.0,,0.062,,0,0.258,0.076,0.0,,0.010,0.0,0.276,2.957,271.0,0.00,2.2,0.277,0.00,2.2,0.277,55.73,0.000,,0.0,,4.146,0.188,,0.11,0.179,,0.826,0.0,0.322,1.0,9.182,0.133,64.1,,0.000,5.209,0.0,,,0.0,0.136,1.051,0.0,0.003
104,"""42136""","Cream substitute, powdered, light",94.0,1.0 cup,3.572,0.186,,69.0,0.000,,0.000,,1,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0.000,0.009,,2.529,0.000,,,,,,,,,,,1695,,0.000,,,,,,,,,,,,,,,0.00,10.810,3.7,1,,0.0,,2.63,,0.000,,,,,,,,,,0.186,848.0,,,,,,,,14.0,405.0,,,,,,,,0,,1.0,,,,0.00,2.2,,0.00,2.2,,69.0,,,0.0,,,,,,,,,,,0.0,10.810,,,,,,0.0,,,,,,,
105,"""01049""","Cream, fluid, half and half",30.2,1.0 fl oz,2.124,0.167,0.00,1.25,0.009,0.078,0.061,0.001,1,0.012,0.08,0.043,0.041,0.000,0.9,0.0,0.102,0.006,0.0,0.190,0.069,0.008,,0.001,,,0,,,,,,,29,,0,,,,0.033,0.003,0.023,0.369,0.012,0.00,0.037,1,0.004,0.037,1,0.004,0.042,,0.00,165,0.115,0.347,,,,0.025,24.33,0,0.0,0.022,32.0,0.012,7,0.038,0.059,0.001,0.06,1.003,0.4,29,0.106,0.015,0.001,0.15,0.00,,0.0,0.001,,0.062,18.0,0.075,,0.002,0.0,0.141,40.0,0.2,0.1,3.47,0.074,0.025,,0.00,107.0,40.0,0.000,0.022,,11,0.044,0.005,1.0,0,0.002,1.0,0.048,0.969,29.0,0.00,5.6,0.031,0.00,5.6,0.031,1.3,0.000,,0.0,1,0.775,0.095,,0.163,0.022,0.0,0.092,0.0,0.056,3.0,0.877,0.022,,0.004,0.005,0.140,0.0,,0.3,0.0,0.022,0.038,1.25,0.021
106,"""01053""","Cream, fluid, heavy whipping",120.0,"1.0 cup, whipped",27.638,1.884,0.00,3.5,0.024,0.281,0.731,0.012,5,0.146,1.10,0.156,0.149,0.004,3.6,0.0,1.069,0.078,0.0,0.686,0.251,0.078,,0.010,,0.002,0,,,,,,,486,,0,,,,0.077,0.013,0.252,4.286,0.154,0.00,0.413,5,0.049,0.413,5,0.049,0.151,0.002,0.00,1709,1.200,3.997,,,,0.283,69.25,0,0.29,0.079,79.0,0.131,86,0.424,0.226,0.011,0.19,10.921,3.8,493,1.260,0.042,0.018,0.64,0.00,0.004,1.9,0.011,,0.656,32.0,0.878,,0.024,0.0,1.553,114.0,,0.362,43.3,0.787,0.278,,0.00,1764.0,408.0,0.000,0.079,,136,0.161,0.056,3.6,0,0.007,5.0,0.175,11.158,70.0,0.00,20.2,0.113,0.00,20.2,0.113,3.41,0.000,,0.0,76,8.494,1.049,,0.594,0.079,0.0,1.086,1.9,0.204,8.0,9.562,0.079,,0.047,0.070,1.483,0.0,,0.7,0.0,0.079,0.461,3.5,0.226
107,"""01050""","Cream, fluid, light (coffee cream or table cream)",30.0,1.0 fl oz,3.053,0.237,0.00,1.1,0.007,0.073,0.094,0.001,1,0.019,0.04,0.041,0.039,0.001,,0.0,0.133,0.009,0.0,0.178,0.065,0.010,,0.001,,0.000,0,,,,,,,35,,0,,,,0.027,0.004,0.031,0.516,0.019,0.00,0.052,1,0.006,0.052,1,0.006,0.039,,0.00,244,0.149,0.505,,,,0.038,22.12,0,0.0,0.021,27.0,0.016,11,0.052,0.057,0.002,0.04,1.357,0.5,36,0.158,0.013,0.002,0.18,0.00,0.001,0.3,0.001,,0.084,22.0,0.116,,0.003,0.0,0.196,41.0,0.2,0.094,5.73,0.100,0.038,,0.00,136.0,58.0,0.000,0.021,,18,0.042,0.007,1.4,0,0.002,1.0,0.045,1.376,28.0,0.00,5.2,0.029,0.00,5.2,0.029,1.1,0.000,,0.0,13,1.053,0.13,,0.132,0.021,0.0,0.137,0.3,0.053,3.0,1.186,0.021,,0.005,0.008,0.188,0.0,,0.2,0.0,0.021,0.058,1.1,0.029
108,"""01052""","Cream, fluid, light whipping",120.0,"1.0 cup, whipped",23.204,1.061,,3.55,0.029,0.256,0.362,,5,,,,0.206,,3.6,,,,,,,,,,,,0,,,,,,,329,,0,,,,0.050,0.008,,4.044,0.319,,,,,,,,0.118,,,1468,,3.948,,,,,,,,,,,,,0.150,0.000,0.24,10.912,3.2,335,0.439,0.034,,0.55,,0.000,0.7,,,,,,,,,0.742,116.0,,0.252,37.09,1.212,,,,1216.0,350.0,,0.037,,133,0.126,,0.6,0,0.001,5.0,0.157,10.608,73.0,0.00,20.2,0.142,0.00,20.2,0.142,3.55,,,0.0,28,,,,,0.095,,0.755,0.7,0.174,8.0,9.190,0.071,,,,,0.0,,0.7,,,,,
