,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
150,"""08316""","Cereals, QUAKER, hominy grits, white, regular, dry",41.0,0.25 cup (1 NLEA serving),0.061,0.213,,0.26,0.25,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,2.181,,,,,,,,,,,,,,,619,,,,,,,,,,,,,,,0.148,,0.00,0.123,,0,,,,0.17,,,,,,,,,,,,,,,,,,,,,1,148.0,,,,,,,,,,,,,,,,,,,,32.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,"""08449""","Cereals, QUAKER, Instant Grits Product with American Cheese Flavor, dry",28.0,1.0 packet (1 NLEA serving),0.302,0.311,,0.57,0.213,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,2.279,,,,,,,,,,,,,,,421,,,,,,,,,,,,,,,0.193,,0.09,0.641,,0,,,,1.56,,,,,,,,,,,,,,,,,,,,,3,101.0,,,,,,,,,,,,,,,,,,,,20.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,"""08221""","Cereals, QUAKER, Instant Grits, Butter flavor, dry",28.0,1.0 packet (1 NLEA serving),0.722,0.137,,0.25,0.224,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,2.366,,,,,,,,,,,,,,,432,,,,,,,,,,,,,,,0.193,,0.00,0.263,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,188,103.0,,,,,,,,,,,,,,,,,,,,20.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,"""08096""","Cereals, QUAKER, Instant Grits, Country Bacon flavor, dry",28.0,1.0 packet (1 NLEA serving),0.067,0.244,,0.11,0.218,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,0,,,,,,2.344,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,0.199,,0.00,0.112,,,,,,1.57,,,,,,,,,,,,,,,,,,,,,0,95.0,,,,,,,,,,,,,,,,,,,,21.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,"""08450""","Cereals, QUAKER, Instant Grits, Ham 'n' Cheese flavor, dry",28.0,1.0 packet (1 NLEA serving),0.297,0.294,,0.75,0.224,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,2.316,,,,,,,,,,,,,,,416,,,,,,,,,,,,,,,0.19,,0.12,0.633,,0,,,,1.87,,,,,,,,,,,,,,,,,,,,,4,99.0,,,,,,,,,,,,,,,,,,,,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,"""08444""","Cereals, QUAKER, Instant Grits, Redeye Gravy  &  Country Ham flavor, dry",28.0,1.0 packet (1 NLEA serving),0.064,0.204,,0.2,0.238,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,2.512,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,0.207,,0.00,0.115,,0,,,,1.59,,,,,,,,,,,,,,,,,,,,,0,96.0,,,,,,,,,,,,,,,,,,,,21.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,"""08640""","Cereals, QUAKER, Instant Oatmeal Organic, Regular",41.0,1.0 packet,0.455,0.943,,0.41,0.299,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,630,,,,,,,,,,,,,,,0.057,,0.00,0.812,,,,,,0.78,,,,,,,,,,,,,,,,,,,,,0,150.0,,,,,,,,,,,,,,,,,,,,27.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,"""08642""","Cereals, QUAKER, Instant Oatmeal, Apple and Cinnamon, reduced sugar",31.0,1.0 packet (1 NLEA serving),0.318,0.508,,5.51,0.33,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,464,,,,,,,,,,,,,,,0.374,,0.00,0.607,,,,,,1.22,,,,,,,,,,,,,,,,,,,,,1100,111.0,,,,,,,,,,,,,,,,,,,,22.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,"""08124""","Cereals, QUAKER, Instant Oatmeal, apples and cinnamon, dry",43.0,1.0 packet (1 NLEA serving),0.378,0.585,,12.41,0.314,,,,,,,,,,,,,,,,,,,,3.6,,,,,,,,,,,,,,,5.25,,,,,,,,,,,,,,,659,,,,,,,,,,,,,,,0.447,,0.00,0.705,,,,,,1.46,,,,,,,,,,,,,,,,,,,,,1055,157.0,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.5,,,,,
159,"""08417""","Cereals, QUAKER, Instant Oatmeal, Banana Bread, dry",41.0,1.0 packet (1 NLEA serving),0.369,0.586,,12.07,0.402,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,4.637,,,,,,,,,,,,,,,632,,,,,,,,,,,,,,,0.41,,0.00,0.709,,,,,,1.53,,,,,,,,,,,,,,,,,,,,,1100,151.0,,,,,,,,,,,,,,,,,,,,31.04,,,,,,,,,,,,0.0,,38.0,,,,,,,,,,,,,,
