,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg)_x,"Tocotrienol, alpha (mg)_x",Alanine (g)_x,Menaquinone-4 (µg)_y,"Tocotrienol, alpha (mg)_y",Alanine (g)_y,Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ)_x,"Fatty acids, total trans-monoenoic (g)_x",14:0 (g)_x,Energy (kJ)_y,"Fatty acids, total trans-monoenoic (g)_y",14:0 (g)_y,"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
64,"""05021""","Chicken, broilers or fryers, giblets, cooked, fried",145.0,"1.0 cup, chopped or diced",5.51,4.901,,,,,,,,,,,3.405,,,,,,,,,,,,0.0,,,,,,,,,5194,,,,,,15.931,0.612,,2.059,0.189,,,,,,,,2.127,,,1681,,0.087,1681,,0.087,,,,,,,,,,2.21,0.014,19.3,6.409,,5194,0.0,0.885,,2.57,,0.000,,,,,,,,,,3.901,478,,2.459,19.52,0.420,,,,17297.0,402.0,,0.541,,647.0,1.547,,151.1,0.0,0.322,550,2.364,3.059,415,,,,,,,6.31,,,,,,,,,3.131,,0.000,,,,5.974,1.101,,,,,,,,,,,,
65,"""05022""","Chicken, broilers or fryers, giblets, cooked, simmered",85.0,3.0 oz,1.124,0.690,,0.0,0.122,0.796,0.0,,218,0.008,0.39,0.433,0.701,,,0.0,,0.013,0.0,1.102,0.839,0.000,,0.016,0.0,,31,,,,,,,1488,,0,0.016,23.08,10.0,5.631,0.281,0.002,0.47,0.01,,0.0,218,0.001,0.0,218,0.001,0.382,0.005,,557,,0.006,557,,0.006,,,,0.19,0.447,12.0,,,,0.894,0.000,8.02,0.818,0.0,1490,0.0,0.337,0.009,0.95,0.00,,0.0,,,,,,,,,0.411,190,5.8,0.383,3.83,0.085,,,,4989.0,133.0,,0.093,,376.0,0.343,0.003,50.7,0.0,0.169,218,0.428,0.633,246,0.0,151.4,0.387,0.0,151.4,0.387,0.0,,,4.0,0,,0.269,,2.783,0.575,,0.001,0.0,0.525,12.0,0.72,0.267,0.0,,,,0.0,,10.6,0.0,0.228,,,
66,"""05020""","Chicken, broilers or fryers, giblets, raw",23.0,1.0 unit (yield from 1 lb ready-to-cook chicken),0.313,0.251,,,,,0.0,,79,,,,0.3,,,,,,,,,,,,0.0,,,,,,,,,611,,,,,,1.532,0.056,,0.108,0.007,,,,,,,,0.187,,,119,,0.005,119,,0.005,,,,,,,,,,0.227,0.002,2.62,0.258,,611,0.0,0.097,,0.23,,0.000,,,,,,,,,,0.172,52,,0.209,1.03,0.037,,,,2035.0,29.0,,0.047,,60.0,0.135,,12.7,0.0,0.034,79,0.206,0.172,45,,,,,,,0.41,,,,,,,,,0.275,,0.000,,,,0.218,0.096,,,,,,,,,,,,
67,"""05076""","Chicken, broilers or fryers, leg, meat and skin, cooked, fried, batter",95.0,1.0 unit (yield from 1 lb ready-to-cook chicken),4.066,3.658,,,,,,,,,,,1.632,,,,,,,,,,,,0.3,,,,,,,,,26,,,,,,5.161,0.076,,1.188,0.18,,,,,,,,0.849,,,1085,,0.085,1085,,0.085,,,,,,,,,,0.21,0.010,0.27,6.251,,26,0.019,0.257,,1.2,,0.000,,,,,,,,,,3.277,180,,1.056,15.36,0.485,,,,86.0,259.0,,0.237,,86.0,0.675,,25.3,9.0,0.051,17,1.04,2.698,144,,,,,,,8.28,,,,,,,,,1.26,,0.000,,,,5.652,0.606,,,,,,,,,,,,
68,"""05077""","Chicken, broilers or fryers, leg, meat and skin, cooked, fried, flour",67.0,1.0 unit (yield from 1 lb ready-to-cook chicken),2.613,2.231,,,,,,,,,,,1.467,,,,,,,,,,,,0.1,,,,,,,,,19,,,,,,4.386,0.057,,0.636,0.094,,,,,,,,0.745,,,712,,0.067,712,,0.067,,,,,,,,,,0.157,0.007,0.21,3.806,,19,0.02,0.228,,0.64,,0.000,,,,,,,,,,1.95,156,,0.856,9.67,0.429,,,,62.0,170.0,,0.204,,63.0,0.586,,13.9,2.0,0.021,7,0.909,1.829,122,,,,,,,1.68,,,,,,,,,1.112,,0.000,,,,3.263,0.534,,,,,,,,,,,,
69,"""05078""","Chicken, broilers or fryers, leg, meat and skin, cooked, roasted",85.0,3.0 oz,2.079,1.577,,0.0,0.076,1.700,0.001,0.015,4,0.037,0.16,0.812,1.883,0.000,,0.01,0.017,0.042,0.0,3.288,1.981,0.004,,0.008,,,0,,,,,,,17,,0,,,,5.129,0.052,0.006,0.431,0.065,,0.009,4,0.014,0.009,4,0.014,0.947,0.009,,654,0.020,0.045,654,0.020,0.045,0.008,56.73,0.0,0.06,1.018,10.0,0.003,0.0,0.004,0.159,0.006,0.32,3.029,3.3,17,0.007,0.351,0.005,0.87,0.00,,0.1,0.000,,0.308,83.0,0.001,,,,1.354,224,6.1,0.86,7.64,0.441,0.008,,,58.0,156.0,0.002,0.23,,108.0,0.749,0.003,21.8,0.0,0.017,4,0.977,1.556,172,0.0,59.5,0.836,0.0,59.5,0.836,0.0,,,0.0,3,1.722,0.881,,1.012,1.408,,0.000,0.1,0.991,20.0,2.519,0.605,0.0,0.014,0.081,0.027,0.0,,,0.03,0.576,0.002,,
70,"""05079""","Chicken, broilers or fryers, leg, meat and skin, cooked, stewed",140.0,"1.0 cup, chopped or diced",4.998,4.018,,0.0,0.076,2.472,0.0,,8,,,,2.771,,,,,,,,,,,,,,0,,,,,,,52,,0,,,,6.426,0.099,,1.036,0.154,,,,,,,,1.403,,,1288,,0.140,1288,,0.140,,,,,,,,,,0.267,0.014,0.28,7.056,4.9,52,0.042,0.252,,1.11,,0.000,0.1,,,,,,,,,3.486,246,6.7,1.606,18.09,0.980,,,,174.0,308.0,,0.379,,118.0,1.098,,26.5,0.0,0.027,8,1.702,3.640,195,0.0,79.0,1.190,0.0,79.0,1.190,0.0,,,0.0,7,,,,,2.11,,0.000,0.1,1.648,28.0,5.824,1.001,0.0,,,,0.0,,,,,,,
71,"""05075""","Chicken, broilers or fryers, leg, meat and skin, raw",113.0,4.0 oz,4.934,3.788,,0.0,0.082,1.476,0.0,0.023,5,,,,1.625,,,0.02,,0.107,0.0,2.881,1.745,0.011,,0.018,0.0,,103,,,,,,,32,,0,,,,5.348,0.061,0.015,0.954,0.175,,0.026,5,0.029,0.026,5,0.029,0.824,,,1014,,0.112,1014,,0.112,,,,0.09,1.109,10.0,,,,0.159,0.005,0.63,7.479,2.6,32,0.011,0.359,,0.92,0.00,0.001,0.1,0.001,,,,,,,,3.375,229,9.2,0.86,18.02,1.043,,,,104.0,242.0,0.000,0.193,,105.0,0.649,0.009,20.3,0.0,0.018,5,0.838,3.757,175,0.0,47.0,0.749,0.0,47.0,0.749,0.19,,,0.0,2,,,,,1.284,,0.001,0.1,0.868,21.0,6.264,0.527,0.0,,,,0.0,,0.2,0.03,0.496,0.001,,
72,"""05081""","Chicken, broilers or fryers, leg, meat only, cooked, fried",56.0,1.0 unit (yield from 1 lb ready-to-cook chicken),1.394,1.243,,,,,,,,,,,1.347,,,,,,,,,,,,0.0,,,,,,,,,11,,,,,,3.745,0.048,,0.364,0.05,,,,,,,,0.671,,,487,,0.034,487,,0.034,,,,,,,,,,0.138,0.006,0.19,1.921,,11,0.017,0.218,,0.59,,0.000,,,,,,,,,,1.042,142,,0.657,5.22,0.224,,,,37.0,116.0,,0.186,,55.0,0.536,,10.5,0.0,0.014,5,0.838,0.941,108,,,,,,,0.36,,,,,,,,,0.958,,0.000,,,,1.658,0.493,,,,,,,,,,,,
73,"""05082""","Chicken, broilers or fryers, leg, meat only, cooked, roasted",85.0,3.0 oz,1.792,1.364,,0.0,0.077,1.727,0.001,0.015,4,0.037,0.14,0.822,1.918,0.000,,0.01,0.017,0.025,0.0,3.335,2.000,0.004,,0.008,,,0,,,,,,,6,,0,,,,5.145,0.052,0.006,0.383,0.058,,0.01,4,0.014,0.01,4,0.014,0.961,0.009,,618,0.020,0.037,618,0.020,0.037,0.008,57.54,0.0,0.06,0.953,10.0,0.003,0.0,0.004,0.161,0.005,0.33,2.594,3.1,6,0.007,0.361,0.005,0.88,0.00,,0.1,0.000,,0.316,84.0,0.001,,,,1.155,229,5.7,0.833,6.63,0.381,0.008,,,19.0,148.0,0.002,0.233,,109.0,0.764,0.003,21.4,0.0,0.016,4,0.996,1.333,174,0.0,53.9,0.842,0.0,53.9,0.842,0.0,,,0.0,4,1.771,0.906,,1.028,1.412,,0.000,0.1,1.004,20.0,2.164,0.618,0.0,0.014,0.081,0.028,0.0,,,0.03,0.587,0.002,,
