,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)_x",20:3 n-3 (g)_x,Lutein + zeaxanthin (µg)_x,"Fiber, total dietary (g)_y",20:3 n-3 (g)_y,Lutein + zeaxanthin (µg)_y,"Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g),"Folate, DFE (µg)",20:3 undifferentiated (g),20:4 n-6 (g),"Vitamin E, added (mg)",22:6 n-3 (DHA) (g),Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
0,"""17148""","Bison, ground, grass-fed, cooked",85.0,3.0 oz,2.966,0.342,,0.0,0.118,1.856,0.000,,14,,,,2.008,,,,,,,,,,,,,,0,,,0,,,0,,,0,0.27,21.63,0.0,5.071,0.128,,1.505,0.038,,,,,,,,0.982,,,638,,0.132,,,,,,,,,,,,,0.224,0.000,2.07,2.799,1.1,0,0.003,0.341,,0.87,,0.000,0.0,,,,,,,,,0.266,300,10.9,1.108,7.33,0.146,,,,0.0,152.0,,0.163,,60,0.736,,26.4,0,,14,1.045,1.320,181,0.0,82.6,0.900,0.0,82.6,0.900,0.0,,,0.0,,,,,,1.473,,0.003,0.0,1.165,20.0,2.63,0.793,,,,,0.0,,,,,,,
1,"""17149""","Bison, ground, grass-fed, raw",85.0,1.0 patty (cooked from 4 oz raw),2.479,0.286,,0.0,0.120,1.476,0.000,,10,,,,1.595,,,,,,,,,,,,,,0,,,0,,,0,,,0,0.215,17.2,0.0,4.524,0.119,,1.259,0.032,,,,,,,,0.78,,,519,,0.110,,,,,,,,,,,,,0.209,0.000,1.65,2.34,1.0,0,0.003,0.326,,0.77,,0.000,0.0,,,,,,,,,0.222,279,10.7,0.881,6.13,0.122,,,,0.0,124.0,,0.13,,47,0.585,,17.0,0,,10,0.83,1.103,165,0.0,72.9,0.716,0.0,72.9,0.716,0.04,,,0.0,,,,,,1.17,,0.003,0.0,0.926,18.0,2.198,0.631,,,,,0.0,,,,,,,
2,"""17330""","Game meat , bison, ground, raw",85.0,1.0 serving ( 3 oz ),5.782,0.637,,0.0,0.111,1.361,0.000,,9,,,,1.472,,,,,,0.0,2.584,1.550,0.097,,0.000,,,0,,,0,,,0,,,0,0.198,15.87,0.0,4.174,0.111,0.205,2.781,0.071,,0.02,9,0.006,,,,0.72,0.000,,795,,0.243,,,,,,,,,,,,,0.193,0.000,1.52,5.289,,0,0.006,0.300,0.000,0.75,,0.000,,,,,,,,,,0.491,261,,0.813,13.54,0.270,,,,0.0,190.0,,0.12,,60,0.54,0.025,15.9,0,0.008,9,0.766,2.439,154,,,,,,,0.0,,,0.0,,,,,,1.08,,0.006,,,,4.859,0.581,,,,,0.0,,,,,,,
3,"""17332""","Game meat , bison, top sirloin, separable lean only, 1"" steak, cooked, broiled",85.0,1.0 serving ( 3 oz ),2.05,0.226,,0.0,0.193,2.045,,,,,,,2.213,,,,,,0.0,3.884,2.330,0.034,,,,,0,,,0,,,0,,,0,0.298,23.84,0.0,4.735,0.179,0.073,0.986,0.025,,0.007,15,0.002,,,,1.082,0.000,,607,,0.086,,,,,,,,,,,,,0.38,,2.41,1.875,,0,0.002,0.473,0.000,0.99,,,,,,,,,,,,0.174,329,,1.221,4.8,0.096,,,,0.0,145.0,,0.18,,73,0.811,0.009,35.0,0,0.011,15,1.151,0.864,215,,,,,,,0.0,,,0.0,,,,,,1.623,,0.002,,,,1.723,0.874,,,,,0.0,,,,,,,
4,"""17145""","Game meat, antelope, cooked, roasted",85.0,3.0 oz,0.825,0.493,,,,,,,,,,,2.093,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,0.416,0.085,,,,,,,,1.158,,,534,,0.025,,,,,,,,,,,,,0.62,,,0.535,,,0.000,,,1.23,,,,,,,,,,,,0.281,316,,1.147,2.27,0.009,,,,0.0,128.0,,,,,0.869,,11.0,0,0.019,8,0.957,0.383,178,,,,,,,0.0,,,,,,,,,1.647,,0.000,,,,0.535,1.191,,,,,,,,,,,,
5,"""17144""","Game meat, antelope, raw",28.35,1.0 oz,0.21,0.125,,,,,,,,,,,0.53,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0,,,,,,,,,0.105,0.02,,,,,,,,0.293,,,135,,0.006,,,,,,,,,,,,,0.164,,,0.136,,0,0.000,,,0.31,,,,,,,,,,,,0.071,100,,0.291,0.58,0.003,,,,0.0,32.0,,,,,0.22,,2.7,,,,0.243,0.096,53,,,,,,,0.0,,,,,,,,,0.418,,0.000,,,,0.136,0.302,,,,,,,,,,,,
6,"""17147""","Game meat, bear, cooked, simmered",85.0,3.0 oz,3.009,2.04,,0.0,0.085,,0.000,,5,,,,,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,2.848,0.126,,0.654,0.042,,,,,,,,,,,921,,0.160,,,,,,,,,,,,,0.697,0.000,2.10,4.811,1.5,0,0.000,0.246,,0.96,,0.000,0.0,,,,,,,,,1.336,224,13.7,,,,,,,0.0,220.0,,,,,,,,0,,5,,,,0.0,104.0,,0.0,104.0,,0.0,,,0.0,,,,,,,,,0.0,,20.0,3.51,,0.0,,,,0.0,,,,,,,
7,"""17151""","Game meat, beaver, cooked, roasted",85.0,3.0 oz,1.759,1.148,,0.0,0.043,2.337,0.000,,9,,,,2.754,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,1.87,0.161,,0.272,0.238,,,,,,,,1.128,,,754,,0.153,,,,,,,,,,,,,0.264,0.000,7.06,1.607,1.4,0,0.000,0.399,,1.23,,0.000,0.0,,,,,,,,,0.909,343,14.5,1.062,5.92,0.204,,,,0.0,180.0,,,,,0.924,,36.6,0,,9,1.266,1.335,248,0.0,110.4,0.981,0.0,110.4,0.981,0.0,,,0.0,,,,,,1.82,,0.000,0.0,1.209,25.0,1.369,1.166,0.0,,,,0.0,,2.5,,,,,
8,"""17153""","Game meat, beefalo, composite of cuts, cooked, roasted",85.0,3.0 oz,2.278,0.17,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0,,,,,,4.156,,,1.02,0.051,,,,,,,,,,,669,,0.111,,,,,,,,,,,,,0.093,,2.17,2.278,,0,0.009,,,1.03,,,,,,,,,,,,0.128,390,,,,,,,,0.0,160.0,,,,,,,,0,,15,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.04,,,,,,,,,,,,,
9,"""17152""","Game meat, beefalo, composite of cuts, raw",28.35,1.0 oz,0.578,0.043,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0,,,,,,1.315,,,0.261,0.011,,,,,,,,,,,170,,0.028,,,,,,,,,,,,,0.026,,0.69,0.578,,0,0.000,,,0.26,,,,,,,,,,,,0.031,124,,,,,,,,0.0,41.0,,,,,,,,0,,4,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.516,,,,,,,,,,,,,
10,"""17333""","Game meat, bison, chuck, shoulder clod, separable lean only, cooked, braised",85.0,1.0 serving ( 3 oz ),1.972,0.217,,0.0,0.102,2.463,,,,,,,2.664,,,,,,0.0,4.677,2.806,0.033,,0.000,,,0,,,0,,,0,,,0,0.359,28.71,0.0,4.057,0.177,0.070,0.949,0.025,,0.007,18,0.002,,,,1.303,0.000,,688,,0.083,,,,,,,,,,,,,0.399,,2.02,1.804,,0,0.002,0.389,0.000,0.92,,,,,,,,,,,,0.167,269,,1.471,4.62,0.092,,,,0.0,164.0,,0.217,,94,0.977,0.009,35.4,0,0.014,18,1.386,0.831,203,,,,,,,0.0,,,0.0,,,,,,1.955,,0.002,,,,1.657,1.052,,,,,0.0,,,,,,,
11,"""17334""","Game meat, bison, chuck, shoulder clod, separable lean only, raw",85.0,1.0 serving ( 3 oz ),1.143,0.126,,0.0,0.193,1.540,,,,,,,1.665,,,,,,0.0,2.923,1.754,0.020,,0.000,,,0,,,0,,,0,,,0,0.224,17.95,0.0,3.777,0.172,0.041,0.55,0.014,,0.004,11,0.001,,,,0.814,0.000,,422,,0.048,,,,,,,,,,,,,0.295,,2.09,1.045,,0,0.001,0.401,0.000,0.83,,,,,,,,,,,,0.097,300,,0.919,2.68,0.054,,,,0.0,101.0,,0.136,,54,0.61,0.005,24.4,0,0.011,11,0.866,0.482,181,,,,,,,0.0,,,0.0,,,,,,1.221,,0.001,,,,0.961,0.658,,,,,0.0,,,,,,,
12,"""17331""","Game meat, bison, ground, cooked, pan-broiled",87.0,1.0 patty ( yield from 112.7 g raw meat ),5.621,0.619,,0.0,0.113,1.774,0.000,,13,,,,1.918,,,,,,0.0,3.368,2.021,0.094,,0.000,,,0,,,0,,,0,,,0,0.258,20.68,0.0,4.846,0.127,0.199,2.704,0.07,,0.019,13,0.005,,,,0.938,0.000,,867,,0.237,,,,,,,,,,,,,0.215,0.000,1.98,5.141,,0,0.005,0.326,0.000,0.89,,0.000,,,,,,,,,,0.478,297,,1.059,13.16,0.263,,,,0.0,207.0,,0.157,,72,0.704,0.025,26.1,0,0.009,13,0.998,2.371,178,,,,,,,0.0,,,0.0,,,,,,1.408,,0.005,,,,4.723,0.758,,,,,0.0,,,,,,,
13,"""17335""","Game meat, bison, ribeye, separable lean only, 1"" steak, cooked, broiled",85.0,1.0 serving ( 3 oz ),2.056,0.226,,0.0,0.116,2.148,,,,,,,2.322,,,,,,0.0,4.077,2.446,0.035,,0.000,,,0,,,0,,,0,,,0,0.313,25.03,0.0,5.684,0.171,0.073,0.989,0.025,,0.007,15,0.002,,,,1.136,0.000,,629,,0.087,,,,,,,,,,,,,0.261,,1.10,1.881,,0,0.002,0.404,0.000,0.87,,,,,,,,,,,,0.174,315,,1.282,4.82,0.096,,,,0.0,150.0,,0.19,,67,0.852,0.009,35.8,0,0.010,15,1.209,0.867,202,,,,,,,0.0,,,0.0,,,,,,1.704,,0.002,,,,1.728,0.917,,,,,0.0,,,,,,,
14,"""17268""","Game meat, bison, ribeye, separable lean only, trimmed to 0"" fat, raw",28.35,1.0 oz,0.255,0.054,,,,,,,,,,,0.488,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.521,0.037,0.008,0.112,0.002,,0.001,,,,,,0.258,,,137,,0.007,,,,,,,0.0,0.301,2.0,,,,0.026,,0.62,0.282,,0,,,,0.34,,0.006,,,,,,,,,,0.052,98,,0.25,0.68,0.014,,,,1.0,33.0,,0.0,,18,0.201,,6.6,,,,0.264,0.102,56,,,,,,,0.0,,,,,,,,,0.371,,,,,,0.261,0.166,,,,,,,,,,,,
15,"""17157""","Game meat, bison, separable lean only, cooked, roasted",85.0,3.0 oz,0.774,0.204,,0.0,0.085,1.878,0.000,,7,,,,1.886,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,3.154,0.091,,0.383,0.034,,,,,,,,0.995,,,508,,0.025,,,,,,,,,,,,,0.23,0.000,2.43,0.807,1.1,0,0.000,0.340,,1.34,,0.000,0.0,,,,,,,,,0.119,307,12.8,0.966,2.06,0.051,,,,0.0,122.0,,,,,0.777,,30.2,0,0.007,7,1.018,0.365,178,0.0,97.6,0.921,0.0,97.6,0.921,0.0,,,0.0,,,,,,1.433,,0.000,0.0,1.094,22.0,0.748,0.641,0.0,,,,0.0,,,,,,,
16,"""17156""","Game meat, bison, separable lean only, raw",28.35,1.0 oz,0.196,0.054,,,,,,,,,,,0.478,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0,,,,,,0.541,0.026,,0.099,0.009,,,,,,,,0.252,,,129,,0.006,,,,,,,,,,,,,0.027,,,0.204,,0,,,,0.34,,,,,,,,,,,,0.031,97,,0.245,0.52,0.011,,,,0.0,31.0,,,,,0.197,,7.7,,,,0.258,0.094,53,,,,,,,0.0,,,,,,,,,0.363,,,,,,0.19,0.162,,,,,,,,,,,,
17,"""17269""","Game meat, bison, shoulder clod, separable lean only, trimmed to 0"" fat, raw",28.35,1.0 oz,0.212,0.062,,,,,,,,,,,0.466,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.533,0.042,0.006,0.093,0.003,,0.001,,,,,,0.246,,,129,,0.005,,,,,,,0.0,0.287,1.0,,,,0.027,,0.62,0.244,,0,,,,0.34,,0.006,,,,,,,,,,0.059,91,,0.239,0.6,0.012,,,,1.0,31.0,,0.0,,19,0.192,,7.5,,,,0.252,0.080,54,,,,,,,0.0,,,,,,,,,0.355,,,,,,0.223,0.158,,,,,,,,,,,,
18,"""17336""","Game meat, bison, top round, separable lean only, 1"" steak, cooked, broiled",85.0,1.0 serving ( 3 oz ),1.663,0.183,,0.0,0.140,2.201,,,,,,,2.38,,,,,,0.0,4.178,2.507,0.028,,0.000,,,0,,,0,,,0,,,0,0.32,25.65,0.0,5.504,0.178,0.059,0.8,0.02,,0.006,16,0.002,,,,1.164,0.000,,617,,0.070,,,,,,,,,,,,,0.31,,1.54,1.522,,0,0.002,0.558,0.000,1.02,,,,,,,,,,,,0.141,325,,1.313,4.22,0.077,,,,0.0,148.0,,0.194,,72,0.873,0.008,34.9,0,0.009,16,1.238,0.701,218,,,,,,,0.0,,,0.0,,,,,,1.746,,0.002,,,,1.397,0.940,,,,,0.0,,,,,,,
19,"""17337""","Game meat, bison, top round, separable lean only, 1"" steak, raw",85.0,1.0 serving ( 3 oz ),0.883,0.097,,0.0,0.184,1.700,,,,,,,1.839,,,,,,0.0,3.228,1.937,0.014,,0.000,,,0,,,0,,,0,,,0,0.247,19.82,0.0,5.256,0.111,0.031,0.425,0.011,,0.003,12,0.001,,,,0.899,0.000,,432,,0.037,,,,,,,,,,,,,0.286,,1.32,0.807,,0,0.001,0.478,0.000,1.0,,,,,,,,,,,,0.075,332,,1.015,2.07,0.041,,,,0.0,104.0,,0.15,,55,0.674,0.004,30.0,0,0.040,12,0.957,0.372,201,,,,,,,0.0,,,0.0,,,,,,1.349,,0.001,,,,0.742,0.726,,,,,0.0,,,,,,,
20,"""17267""","Game meat, bison, top sirloin, separable lean only, trimmed to 0"" fat, raw",28.35,1.0 oz,0.251,0.062,,,,,,,,,,,0.473,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.572,0.044,0.007,0.113,0.002,,0.001,,,,,,0.25,,,134,,0.007,,,,,,,0.0,0.291,1.0,,,,0.027,,0.65,0.28,,0,,,,0.34,,0.007,,,,,,,,,,0.059,95,,0.242,0.68,0.014,,,,1.0,32.0,,0.0,,20,0.195,,7.1,,,,0.256,0.097,58,,,,,,,0.0,,,,,,,,,0.36,,,,,,0.256,0.161,,,,,,,,,,,,
21,"""17159""","Game meat, boar, wild, cooked, roasted",85.0,3.0 oz,1.105,0.544,,0.0,0.264,1.955,0.000,,5,,,,2.371,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,3.579,0.048,,0.374,0.025,,,,,,,,1.131,,,569,,0.043,,,,,,,,,,,,,0.119,0.000,0.59,1.454,1.2,0,0.000,0.355,,1.08,,0.000,0.0,,,,,,,,,0.425,337,13.1,0.912,3.72,0.187,,,,0.0,136.0,,0.323,,65,0.858,,11.1,0,,5,1.162,0.655,114,0.0,99.8,0.989,0.0,99.8,0.989,0.0,,,0.0,,,,,,1.67,,0.000,0.0,1.289,23.0,1.266,1.220,0.0,,,,0.0,,,,,,,
22,"""17158""","Game meat, boar, wild, raw",28.35,1.0 oz,0.281,0.136,,,,,,,,,,,0.601,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0,,,,,,1.134,,,0.094,0.006,,,,,,,,0.287,,,145,,0.011,,,,,,,,,,,,,0.031,,,0.369,,0,,,,0.27,,,,,,,,,,,,0.108,,,0.231,0.94,0.048,,,,0.0,35.0,,0.082,,,0.217,,2.8,,,,0.295,0.164,34,,,,,,,0.0,,,,,,,,,0.423,,,,,,0.32,0.309,,,,,,,,,,,,
23,"""17161""","Game meat, buffalo, water, cooked, roasted",85.0,3.0 oz,0.51,0.306,,,,,,,,,,,1.8,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0,,,,,,5.346,0.151,,0.212,0.043,,,,,,,,1.091,,,466,,0.017,,,,,,,,,,,,,0.212,,1.49,0.468,,0,,,,1.18,,,,,,,,,,,,0.178,266,,0.873,1.53,0.034,,,,0.0,111.0,,0.278,,52,0.915,,10.2,0,,8,1.144,0.281,187,,,,,,,0.0,,,,,,,,,1.429,,,,,,0.416,0.755,,,,,,,,,,,,
24,"""17160""","Game meat, buffalo, water, raw",28.35,1.0 oz,0.13,0.077,,,,,,,,,,,0.456,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0,,,,,,1.692,0.043,,0.054,0.011,,,,,,,,0.277,,,117,,0.003,,,,,,,,,,,,,0.057,,0.47,0.119,,0,,,,0.3,,,,,,,,,,,,0.045,84,,0.221,0.39,0.009,,,,0.0,28.0,,0.071,,13,0.232,,2.6,0,,2,0.29,0.071,56,,,,,,,0.0,,,,,,,,,0.362,,,,,,0.105,0.191,,,,,,,,,,,,
25,"""17163""","Game meat, caribou, cooked, roasted",85.0,3.0 oz,1.445,0.527,,0.0,0.212,2.088,0.000,,4,,,,2.292,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,4.921,0.224,,0.501,0.025,,,,,,,,1.082,,,594,,0.102,,,,,,,,,,,,,0.765,0.000,5.64,1.131,1.2,0,0.000,0.272,,1.27,,0.000,0.0,,,,,,,,,0.264,264,13.7,0.786,3.76,0.093,,,,0.0,142.0,,0.389,,93,0.83,,11.6,0,0.074,4,1.145,0.757,198,0.0,104.2,0.890,0.0,104.2,0.890,0.0,,,0.0,,,,,,1.505,,0.000,0.0,1.189,23.0,1.037,1.002,0.0,,,,0.0,,2.5,,,,,
26,"""17162""","Game meat, caribou, raw",28.35,1.0 oz,0.366,0.133,,,,,,,,,,,0.581,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0,,,,,,1.559,0.063,,0.128,0.009,,,,,,,,0.274,,,151,,0.026,,,,,,,,,,,,,0.204,,1.79,0.286,,0,,,,0.32,,,,,,,,,,,,0.065,84,,0.199,0.95,0.023,,,,0.0,36.0,,0.099,,24,0.21,,2.9,0,0.022,1,0.29,0.193,59,,,,,,,0.0,,,,,,,,,0.382,,,,,,0.264,0.254,,,,,,,,,,,,
27,"""17165""","Game meat, deer, cooked, roasted",85.0,3.0 oz,1.062,0.527,,,,,,,,,,,2.243,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,0,,,,,,5.704,0.255,,0.57,0.076,,,,,,,,1.208,,,562,,0.025,,,,,,,,,,,,,0.51,,,0.748,,0,0.000,,,1.29,,,,,,,,,,,,0.34,285,,1.323,2.71,0.034,,,,0.0,134.0,,,,,0.909,,11.0,,,,1.015,0.459,192,,,,,,,0.0,,,,,,,,,1.849,,0.000,,,,0.706,1.270,,,,,,,,,,,,
28,"""17344""","Game meat, deer, ground, cooked, pan-broiled",93.0,1.0 patty,3.713,0.413,,0.0,0.468,1.867,0.000,,7,,,,1.993,,,,,,0.0,3.482,2.131,0.029,,0.000,,,0,,,0,,,0,,,0,0.355,24.6,0.0,8.609,0.093,0.089,1.573,0.091,,0.06,7,0.000,,,,0.928,0.004,,728,,0.298,,,,,,,,,,,,,0.304,0.000,2.16,1.803,1.3,0,0.010,0.435,0.002,1.0,,0.000,0.0,,,,,,,,,0.244,339,12.5,1.077,7.64,0.271,,,,0.0,174.0,,0.218,,91,0.767,0.018,9.6,0,0.012,7,1.054,1.645,212,0.0,94.8,0.847,0.0,94.8,0.847,0.0,,,0.0,,,,,,1.466,,0.000,0.0,1.191,22.0,1.437,0.733,,,,,0.0,,,,,,,
29,"""17343""","Game meat, deer, ground, raw",85.0,1.0 patty (cooked from 4 oz raw),2.857,0.335,,0.0,0.465,1.398,0.000,,3,,,,1.493,,,,,,0.0,2.609,1.595,0.020,,0.000,,,0,,,0,,,0,,,0,0.266,18.51,0.0,4.845,0.119,0.082,1.369,0.088,,0.014,3,0.000,,,,0.695,0.000,,559,,0.183,,,,,,,,,,,,,0.244,0.000,1.59,1.142,1.0,0,0.004,0.394,0.003,0.75,,0.000,0.0,,,,,,,,,0.191,280,11.0,0.807,6.06,0.091,,,,0.0,133.0,,0.163,,68,0.575,0.016,8.5,0,0.012,3,0.79,1.127,171,0.0,74.7,0.635,0.0,74.7,0.635,0.0,,,0.0,,,,,,1.098,,0.000,0.0,0.892,18.0,1.017,0.549,,,,,0.0,,,,,,,
30,"""17345""","Game meat, deer, loin, separable lean only, 1"" steak, cooked, broiled",54.0,1.0 steak,0.73,0.085,,0.0,0.151,1.248,0.000,,5,,,,1.332,,,,,,0.0,2.327,1.424,0.005,,0.000,,,0,,,0,,,0,,,0,0.238,16.31,0.0,5.809,0.123,0.021,0.349,0.023,,0.003,5,0.000,,,,0.62,0.000,,340,,0.046,,,,,,,,,,,,,0.277,0.000,0.99,0.292,0.6,0,0.001,0.408,0.001,0.68,,0.000,0.0,,,,,,,,,0.049,215,8.0,0.72,1.29,0.023,,,,0.0,81.0,,0.145,,43,0.513,0.004,7.2,0,0.016,5,0.704,0.288,150,0.0,61.0,0.566,0.0,61.0,0.566,0.0,,,0.0,,,,,,0.98,,0.000,0.0,0.797,16.0,0.26,0.490,,,,,0.0,,,,,,,
31,"""17164""","Game meat, deer, raw",28.35,1.0 oz,0.269,0.133,,0.0,0.062,0.553,0.000,,1,,,,0.569,,,,,,,,,,,,,,0,,,0,,,0,,,0,,,,1.806,0.072,,0.145,0.02,,,,,,,,0.306,,,142,,0.006,,,,,,,,,,,,,0.136,0.000,1.79,0.19,0.3,0,0.000,0.105,,0.33,,0.000,,,,,,,,,,0.088,90,,0.335,0.69,0.009,,,,0.0,34.0,,,,,0.23,,2.7,0,0.012,1,0.257,0.116,57,,,,,,,0.0,,,0.0,,,,,,0.469,,0.000,,,,0.179,0.322,0.0,,,,0.0,,,,,,,
32,"""17346""","Game meat, deer, shoulder clod, separable lean only, cooked, braised",85.0,1.0 serving ( 3 oz ),1.903,0.223,,0.0,0.130,2.320,0.000,,9,,,,2.477,,,,,,0.0,4.326,2.648,0.014,,0.000,,,0,,,0,,,0,,,0,0.441,30.84,0.0,6.315,0.242,0.054,0.912,0.06,,0.009,9,0.000,,,,1.153,0.000,,677,,0.122,,,,,,,,,,,,,0.558,0.000,2.60,0.761,1.3,0,0.003,0.409,0.002,0.95,,0.000,0.0,,,,,,,,,0.128,266,15.0,1.338,3.36,0.060,,,,0.0,162.0,,0.27,,96,0.954,0.011,15.0,0,0.022,9,1.31,0.751,222,0.0,114.0,1.053,0.0,114.0,1.053,0.0,,,0.0,,,,,,1.822,,0.000,0.0,1.480,24.0,0.678,0.911,,,,,0.0,,,,,,,
33,"""17347""","Game meat, deer, tenderloin, separable lean only, cooked, broiled",85.0,1.0 serving ( 3 oz ),0.971,0.108,,0.0,0.221,1.938,0.000,,8,,,,2.069,,,,,,0.0,3.615,2.212,0.008,,0.000,,,0,,,0,,,0,,,0,0.369,25.41,0.0,7.463,0.216,0.023,0.411,0.024,,0.015,8,0.000,,,,0.963,0.001,,530,,0.078,,,,,,,,,,,,,0.479,0.000,3.08,0.471,,0,0.003,0.522,0.001,1.08,,0.000,,,,,,,,,,0.064,369,,1.118,2.0,0.071,,,,0.0,127.0,,0.226,,75,0.796,0.004,9.3,0,0.019,8,1.094,0.430,254,,,,,,,0.0,,,0.0,,,,,,1.522,,0.000,,,,0.376,0.761,,,,,0.0,,,,,,,
34,"""17348""","Game meat, deer, top round, separable lean only, 1"" steak, cooked, broiled",102.0,1.0 steak ( yield from 134.9 g raw meat ),1.051,0.123,,0.0,0.255,2.471,0.000,,10,,,,2.639,,,,,,0.0,4.610,2.820,0.007,,0.000,,,0,,,0,,,0,,,0,0.47,32.1,0.0,8.568,0.277,0.031,0.504,0.033,,0.005,10,0.000,,,,1.228,0.000,,648,,0.067,,,,,,,,,,,,,0.51,0.000,2.32,0.42,,0,0.002,0.724,0.001,1.22,,0.000,,,,,,,,,,0.07,385,,1.425,1.96,0.034,,,,0.0,155.0,,0.288,,87,1.016,0.006,11.5,0,0.018,10,1.395,0.414,277,,,,,,,0.0,,,0.0,,,,,,1.941,,0.000,,,,0.374,0.970,,,,,0.0,,,,,,,
35,"""17167""","Game meat, elk, cooked, roasted",85.0,3.0 oz,0.595,0.34,,,,,,,,,,,2.383,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,0.161,0.051,,,,,,,,1.118,,,519,,0.043,,,,,,,,,,,,,,,,0.408,,,0.000,,,1.12,,,,,,,,,,,,0.196,279,,1.11,1.61,0.145,,,,0.0,124.0,,0.463,,62,0.919,,11.1,0,0.011,8,0.827,0.391,153,,,,,,,0.0,,,,,,,,,1.762,,0.000,,,,0.255,0.819,,,,,,,,,,,,
