,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)_x",20:3 n-3 (g)_x,Lutein + zeaxanthin (µg)_x,"Fiber, total dietary (g)_y",20:3 n-3 (g)_y,Lutein + zeaxanthin (µg)_y,"Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g),"Folate, DFE (µg)",20:3 undifferentiated (g),20:4 n-6 (g),"Vitamin E, added (mg)",22:6 n-3 (DHA) (g),Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
228,"""17405""","Lamb, New Zealand, imported, leg chop/steak, bone-in, separable lean and fat, cooked, fast fried",85.0,3.0 oz,4.032,0.502,,0.0,0.115,1.593,0.000,,,0.117,0.24,0.813,1.801,0.000,,,,,0.0,2.881,,,,0.000,,,0,,,0,,,0,6,,0,,,,5.014,0.122,0.169,1.954,0.117,,0.009,,0.000,0.025,,0.006,0.983,0.000,,754,0.498,0.244,,,,0.003,53.68,0,,,,0.015,0,,0.121,0.020,1.78,2.918,,6,0.019,0.132,0.016,0.98,,0.000,0.0,,,0.09,55.0,0.000,,,,0.311,300,,0.661,10.85,0.105,,,,19.0,180.0,0.000,0.228,,66,0.715,0.007,3.0,,,,0.923,1.604,178,,,,,,,0.03,,0.003,0.0,2,2.319,0.142,,0.574,1.388,,0.015,0.0,1.051,21.0,2.801,0.437,,0.000,0.025,0.501,0.0,,,,,,,
229,"""17072""","Lamb, New Zealand, imported, leg chop/steak, bone-in, separable lean and fat, raw",113.0,4.0 oz,6.669,0.699,,0.0,0.184,1.626,0.000,,,0.168,0.29,0.829,1.84,0.000,,,,,0.0,2.943,,,,0.000,,,0,,,0,,,0,10,,0,,,,5.238,0.119,0.287,3.297,0.168,,0.011,,0.000,0.028,,0.007,1.005,0.000,,973,0.826,0.366,,,,0.009,75.43,0,,,,0.024,0,,0.173,0.023,1.65,4.692,,10,0.026,0.139,0.029,1.07,,0.000,0.0,,,0.133,67.0,0.000,,,,0.443,356,,0.676,16.41,0.157,,,,33.0,233.0,0.000,0.233,,76,0.73,0.011,3.4,0,0.008,,0.942,2.627,200,,,,,,,0.15,,0.009,0.0,2,3.715,0.182,,0.558,1.418,,0.024,0.0,1.072,24.0,4.518,0.446,,0.000,0.028,0.835,0.0,,,,,,,
230,"""17400""","Lamb, New Zealand, imported, leg chop/steak, bone-in, separable lean only, cooked, fast fried",85.0,3.0 oz,1.616,0.342,,0.0,0.117,1.726,0.000,,,0.068,0.17,0.881,1.952,0.000,,,,,0.0,3.124,,,,0.000,,,0,,,0,,,0,2,,0,,,,5.434,0.133,0.065,0.583,0.068,,0.008,,0.000,0.029,,0.006,1.067,0.000,,577,0.157,0.144,,,,,57.43,0,,,,0.009,0,,0.128,0.023,1.91,1.394,,2,0.015,0.141,0.004,1.07,,0.000,0.0,,,0.055,57.0,0.000,,,,0.196,317,,0.717,5.4,0.065,,,,5.0,138.0,0.000,0.247,,66,0.774,0.000,3.1,,,,1.001,0.794,190,,,,,,,0.0,,,0.0,1,1.174,0.105,,0.623,1.505,,0.011,0.0,1.139,23.0,1.323,0.473,,0.000,0.029,0.157,0.0,,,,,,,
231,"""17074""","Lamb, New Zealand, imported, leg chop/steak, bone-in, separable lean only, raw",113.0,4.0 oz,1.709,0.367,,0.0,0.198,1.842,0.000,,,0.073,0.16,0.939,2.083,0.000,,,,,0.0,3.331,,,,0.000,,,0,,,0,,,0,3,,0,,,,5.922,0.134,0.068,0.611,0.073,,0.009,,0.000,0.033,,0.008,1.138,0.000,,597,0.190,0.150,,,,,84.02,0,,,,0.012,0,,0.195,0.027,1.85,1.548,,3,0.016,0.155,0.000,1.22,,0.000,0.0,,,0.061,72.0,0.000,,,,0.201,396,,0.764,5.24,0.075,,,,10.0,142.0,0.000,0.263,,75,0.826,0.000,3.6,0,0.009,,1.068,0.853,224,,,,,,,0.0,,,0.0,1,1.288,0.111,,0.625,1.606,,0.011,0.0,1.215,27.0,1.464,0.505,,0.000,0.033,0.19,0.0,,,,,,,
232,"""17368""","Lamb, New Zealand, imported, liver, cooked, soaked and fried",85.0,3.0 oz,1.665,0.976,,0.0,1.335,1.693,0.000,,,0.145,0.95,0.864,1.915,0.002,,,,,0.0,3.063,,0.000,,0.002,,0.002,0,,0.002,0,,0.002,0,16891,,0,,,,10.88,11.390,0.076,0.995,0.147,,0.0,,0.016,0.133,,0.177,1.046,0.002,,598,0.163,0.018,,,,,54.91,0,,,,0.020,0,,4.479,0.139,48.88,0.862,,16891,0.009,0.159,0.021,1.33,,0.002,0.0,0.014,,0.037,50.0,0.000,,,,0.21,244,,0.703,5.58,0.057,,,,56304.0,143.0,0.009,0.242,,481,0.76,0.004,16.1,,,,0.982,0.528,390,,,,,,,1.26,,0.000,0.0,,0.650,0.159,,4.437,1.476,,0.000,0.0,1.117,18.0,0.794,0.464,,0.014,0.133,0.163,0.0,,,,,,,
233,"""17369""","Lamb, New Zealand, imported, liver, raw",113.0,4.0 oz,1.711,1.04,,0.0,1.367,1.806,0.000,,,0.155,0.97,0.921,2.043,0.002,,,,,0.0,3.268,,0.000,,0.002,,0.002,0,,0.002,0,,0.002,0,17440,,0,,,,15.481,12.882,0.077,1.005,0.166,,0.011,,0.018,0.140,,0.184,1.115,0.011,,643,0.165,0.021,,,,,80.0,0,,,,0.019,0,,4.757,0.146,66.67,0.923,,17440,0.011,0.246,0.032,1.54,,0.002,0.0,0.012,,0.04,67.0,0.000,,,,0.231,322,,0.75,5.56,0.059,,,,58135.0,154.0,0.011,0.259,,436,0.81,0.002,12.5,,,,1.048,0.551,431,,,,,,,2.51,,0.000,0.0,,0.693,0.173,,6.294,1.574,,0.000,0.0,1.191,20.0,0.838,0.495,,0.016,0.14,0.165,0.0,,,,,,,
234,"""17406""","Lamb, New Zealand, imported, loin chop, separable lean and fat, cooked, fast fried",85.0,3.0 oz,9.581,0.867,,0.0,0.085,1.411,0.000,,,0.25,0.46,0.720,1.595,0.000,,,,,0.0,2.553,,,,0.000,,,0,,,0,,,0,16,,0,,,,4.445,0.100,0.410,5.093,0.25,,0.011,,0.003,0.017,,0.006,0.871,0.000,,1179,1.213,0.468,,,,0.009,42.6,0,,,,0.027,0,,0.153,0.016,1.29,6.247,,16,0.030,0.130,0.041,0.81,,0.000,0.1,0.000,,0.159,62.0,0.000,,,,0.549,266,,0.586,23.04,0.187,,,,54.0,282.0,0.000,0.202,,69,0.633,0.025,4.9,,,,0.818,3.482,165,,,,,,,0.35,,0.009,0.0,3,4.854,0.231,,0.534,1.23,,0.027,0.1,0.931,19.0,6.039,0.387,,0.003,0.017,1.221,0.0,,,,,,,
235,"""17076""","Lamb, New Zealand, imported, loin chop, separable lean and fat, raw",113.0,4.0 oz,12.612,1.093,,0.0,0.125,1.344,0.000,,,0.301,0.53,0.686,1.52,0.000,,,,,0.0,2.432,,0.000,,0.006,,,0,,,0,,,0,18,,0,,,,4.692,0.099,0.558,6.488,0.301,,0.015,,0.006,0.020,,0.006,0.831,0.000,,1410,1.510,0.635,,,,0.016,64.29,0,,,,0.034,0,,0.136,0.017,1.66,8.435,,18,0.040,0.141,0.066,0.93,,0.000,0.1,0.000,,0.215,71.0,0.000,,,,0.706,296,,0.558,29.59,0.249,,,,61.0,337.0,0.000,0.192,,78,0.603,0.028,5.0,0,0.008,,0.779,4.755,168,,,,,,,0.25,,0.016,0.0,3,6.687,0.272,,0.472,1.172,,0.038,0.1,0.886,20.0,8.163,0.368,,0.006,0.02,1.526,0.0,,,,,,,
236,"""17398""","Lamb, New Zealand, imported, loin chop, separable lean only, cooked, fast fried",85.0,3.0 oz,3.433,0.458,,0.0,0.082,1.800,0.000,,,0.133,0.31,0.919,2.037,0.000,,,,,0.0,3.257,,,,0.000,,,0,,,0,,,0,5,,0,,,,5.653,0.129,0.144,1.579,0.133,,0.007,,0.004,0.023,,0.008,1.113,0.000,,739,0.319,0.214,,,,,51.18,0,,,,0.011,0,,0.189,0.023,1.56,2.333,,5,0.021,0.161,0.010,1.06,,0.000,0.1,0.000,,0.069,71.0,0.000,,,,0.246,312,,0.747,9.09,0.079,,,,17.0,177.0,0.000,0.258,,72,0.808,0.008,6.2,,,,1.044,1.439,198,,,,,,,0.35,,0.000,0.0,2,1.934,0.139,,0.685,1.57,,0.016,0.1,1.187,23.0,2.241,0.494,,0.004,0.023,0.319,0.0,,,,,,,
237,"""17078""","Lamb, New Zealand, imported, loin chop, separable lean only, raw",113.0,4.0 oz,3.123,0.47,,0.0,0.134,1.744,0.000,,,0.129,0.25,0.889,1.972,0.000,,,,,0.0,3.155,,0.000,,0.008,,,0,,,0,,,0,6,,0,,,,6.099,0.131,,1.399,0.129,,0.009,,0.008,0.029,,0.008,1.077,0.000,,671,0.281,0.215,,,,,80.68,0,,,,0.010,0,,0.174,0.024,2.15,2.27,,6,0.019,0.181,0.011,1.19,,0.000,0.0,,,0.069,87.0,0.000,,,,0.245,370,,0.724,7.77,0.079,,,,18.0,160.0,0.000,0.25,,75,0.782,0.008,6.2,0,0.010,,1.011,1.324,214,,,,,,,0.0,,,0.0,2,1.910,0.144,,0.593,1.52,,0.016,0.0,1.150,26.0,2.181,0.478,,0.008,0.029,0.281,0.0,,,,,,,
