,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg)_x,"Tocotrienol, alpha (mg)_x",Alanine (g)_x,Menaquinone-4 (µg)_y,"Tocotrienol, alpha (mg)_y",Alanine (g)_y,Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
127,"""07956""","Sausage, beef, fresh, cooked",43.0,1.0 serving,4.689,0.285,,0.0,0.021,0.642,0.000,,1,0.021,0.10,0.323,0.691,,,0.0,,0.043,0.013,1.284,0.760,,,,,,0,,,,,,,5,,0,0.122,7.83,5.0,1.548,0.03,,1.402,0.000,,0.11,1,0.000,0.11,1,0.000,0.346,0.021,,596,,0.000,,,,,,,0.03,0.550,5.0,,,,0.065,0.000,0.86,5.435,0.5,6,0.0,0.135,,1.01,0.00,,0.2,,,,,,,,,0.244,111.0,4.5,0.396,12.03,0.000,,,,35,143,,0.051,,35.0,0.249,,0.0,0,,1,0.372,2.720,61.0,0.00,22.1,0.331,0.00,22.1,0.331,0.15,,,5.0,8,,,,,0.52,,0.000,0.2,0.425,6.0,4.817,0.281,,,,,0.0,,,0.0,0.175,,,
128,"""07004""","Sausage, Berliner, pork, beef",23.0,1.0 slice,1.398,0.363,,0.54,0.087,0.186,0.000,,1,,,,0.208,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0.715,0.018,,0.492,0.041,,,,,,,,0.107,,,222,,0.051,0.0,0.26,0.024,,,,,,,,,,0.049,0.000,0.61,1.84,0.4,0,0.002,0.046,,0.91,,0.000,,,,,,,,,,0.322,65.0,,0.155,3.96,0.152,,,,0,53,,0.025,,11.0,0.089,,3.2,0,0.009,1,0.112,0.849,30.0,,,,,,,0.6,,,0.0,3,,,,,0.176,,0.005,0.1,0.107,3.0,1.688,0.091,,,,,0.0,,,,,,,
129,"""07954""","Sausage, breakfast sausage, beef, pre-cooked, unprepared",19.0,1.0 link,2.147,0.341,0.00,0.19,0.010,,0.000,0.003,1,0.016,0.09,,,,,,,,0.0,,,0.039,,0.005,,0.001,0,,,,,,,4,,0,0.055,2.45,0.0,0.457,0.013,0.050,0.662,0.017,0.19,0.048,1,0.006,0.048,1,0.006,,,,260,0.205,0.150,,,,0.019,9.73,0.0,,,,0.012,0.0,0.021,0.025,0.000,0.22,2.588,0.5,4,0.003,0.029,0.001,0.58,,0.004,,,,0.204,172.0,0.001,,0.002,0.0,0.3,54.0,1.4,,,,0.018,,0.00,15,62,0.001,,,,,,,0,0.026,1,,,,0.00,8.7,,0.00,8.7,,0.88,0.000,,0.0,1,2.066,0.256,,0.061,,,,0.0,,3.0,2.259,,,0.005,0.008,0.224,0.0,,,,,,0.0,0.025
130,"""07928""","Sausage, chicken, beef, pork, skinless, smoked",84.0,1.0 link,4.032,0.711,,1.6,0.076,0.877,0.000,,5,,,,0.917,,,,,,,,,,,,,,0,,,,,,,,,,,,,1.551,0.053,,1.254,0.156,,,,,,,,0.475,,,759,,0.296,0.0,4.03,0.13,,,,,,,,,,0.139,0.000,1.34,6.019,,0,0.026,0.179,,2.94,,0.000,,,,,,,,,,0.538,207.0,,0.647,12.01,0.668,,,,0,181,,0.122,,101.0,0.376,,17.0,0,0.013,5,0.515,2.415,111.0,,,,,,,6.8,,,0.0,,,,,,0.718,,0.030,,,,5.317,0.358,,,,,0.0,,,,,,,
131,"""07089""","Sausage, Italian, pork, mild, cooked, pan-fried",87.0,1.0 link,7.854,4.287,0.00,1.24,0.301,,0.001,0.038,1,0.156,0.22,,,,,,,,0.0,,,0.05,,0.183,,0.024,0,,,,,,,9,,0,,,,5.463,0.064,0.060,2.489,0.160,1.24,0.004,1,0.054,0.004,1,0.054,,,,1179,0.066,0.287,,,,0.017,44.0,0.0,,,,0.006,0.0,0.011,0.229,0.006,0.78,10.111,3.0,9,0.015,0.323,0.009,2.4,,0.008,,,,0.498,697.0,0.005,,0.021,0.0,3.712,295.0,5.1,,,,0.017,,0.00,28,282,0.001,,,,,,,0,0.031,3,,,,0.00,53.8,,0.00,53.8,,1.62,0.000,,0.0,36,9.235,3.669,,0.729,,,,0.9,,17.0,9.296,,,0.03,0.106,0.084,0.0,,,,,,0.0,0.026
132,"""07036""","Sausage, Italian, pork, mild, raw",101.0,1.0 link,8.701,4.430,,1.2,,,0.000,0.038,,0.154,,,,,,,,,0.0,,,0.052,,0.194,,0.027,0,,,,,,,,,0,0.007,14.04,0.0,5.858,0.065,0.069,2.765,0.160,1.20,0.006,,0.058,0.006,,0.058,,,,1224,0.092,0.313,,,,0.024,57.0,0.0,,,,0.007,0.0,0.012,0.232,0.002,1.01,11.134,,0,0.016,,0.011,2.44,,0.010,,,,0.539,569.0,0.006,,,,3.858,213.0,,,,,0.023,,,0,293,0.003,,,,,,,0,0.032,,,,,,,,,,,3.0,0.000,,0.0,,10.147,3.807,,,,,,,,,10.233,,,0.031,0.094,0.116,0.0,,,,,,,
133,"""07914""","Sausage, Italian, sweet, links",84.0,1.0 link 3 oz,2.736,0.414,,0.0,0.144,0.638,0.000,,3,,,,0.674,,,,,,,,,,,,,,0,,,,,,,,,0,,,,1.458,0.034,,0.848,0.080,,,,,,,,0.35,,,522,,0.185,0.0,1.0,0.092,,,,,,,,,,0.105,0.000,0.87,3.048,,0,0.014,0.157,,1.47,,0.000,,,,,,,,,,0.316,163.0,,0.377,7.07,0.312,,,,2,125,,0.093,,25.0,0.276,,9.1,0,0.006,3,0.368,1.668,87.0,,,,,,,1.76,,,0.0,,,,,,0.484,,0.020,,,,2.716,0.280,,,,,0.0,,0.2,,,,,
134,"""07927""","Sausage, Italian, turkey, smoked",56.0,1.0 serving 2 oz,1.905,0.880,,1.79,0.040,0.822,0.000,,4,,,,0.948,,,,,,,,,,,,0.5,,0,,,,,,,24,,0,,,,2.058,0.062,,0.482,0.048,,,,,,,,0.458,,,369,,0.057,0.0,5.38,0.114,,,,,,,,,,0.097,0.000,0.24,1.333,,24,0.01,0.213,,1.71,,0.004,,,,,,,,,,0.768,110.0,,0.507,4.9,0.212,,,,81,88,,0.117,,30.0,0.402,,12.4,0,0.037,4,0.529,1.354,104.0,,,,,,,2.6,,,0.0,,,,,,0.724,,0.001,,,,1.112,0.314,,,,,0.0,,17.0,,,,,
135,"""07091""","Sausage, New england brand, pork, beef",23.0,"1.0 slice (4"" dia x 1/8"" thick)",0.589,0.166,,,,,0.000,,2,,,,0.348,,,,,,,,,,,,0.0,,,,,,,,,0,,,,,,0.8,0.023,,0.191,0.021,,,,,,,,0.174,,,155,,0.023,,,,,,,,,,,,,0.057,0.000,0.31,0.837,,0,0.002,0.083,,0.82,,0.000,,,,,,,,,,0.147,74.0,,0.175,1.74,0.069,,,,0,37,,0.044,,11.0,0.123,,4.4,0,0.008,2,0.175,0.373,31.0,,,,,,,1.11,,,,,,,,,0.276,,0.002,,,,0.766,0.150,,,,,,,,,,,,
136,"""07915""","Sausage, Polish, beef with chicken, hot",55.0,1.0 serving 5 pieces,4.405,0.435,,0.0,0.276,0.592,,,,,,,0.611,,,,,,,,,,,,,,0,,,,,,,,,0,,,,1.894,0.05,,,,,,,,,,,0.325,,,597,,,0.0,0.48,0.086,,,,,,,,,,0.081,,0.54,5.335,,0,,,,2.31,,,,,,,,,,,,,,,0.392,10.67,,,,,0,142,,0.076,,36.0,0.244,,9.7,0,0.027,1,0.336,,75.0,,,,,,,1.98,,,0.0,,,,,,0.509,,,,,,,,,,,,0.0,,,,,,,
137,"""07916""","Sausage, Polish, pork and beef, smoked",76.0,1.0 serving 2.67 oz,6.997,2.148,,0.0,0.198,0.616,0.000,,3,,,,0.686,,,,,,,,,,,,,,0,,,,,,,,,0,,,,2.453,0.046,,2.339,0.250,,,,,,,,0.353,,,957,,0.270,,,,,,,,,,,,,0.129,0.000,1.15,9.35,,0,0.027,0.129,,2.14,,0.000,,,,,,,,,,1.898,144.0,,0.511,20.19,0.745,,,,0,229,,0.081,,54.0,0.293,,10.0,0,0.028,3,0.369,4.329,81.0,,,,,,,1.5,,,0.0,33,,,,,0.581,,0.033,0.8,0.353,9.0,8.605,0.300,,,,,0.0,,,,,,,
138,"""07065""","Sausage, pork and beef, fresh, cooked",13.0,"1.0 link (raw dimensions: 4"" long x 7/8"" dia), cooked",1.685,0.507,,0.0,0.046,0.127,0.000,,0,,,,0.141,,,,,,,,,,,,,,0,,,,,,,,,0,,,,0.438,0.005,,0.503,0.042,,,,,,,,0.072,,,215,,0.078,0.0,0.15,0.018,,,,,,,,,,0.019,0.000,0.06,2.233,0.2,0,0.0,0.007,,0.35,,0.000,,,,,,,,,,0.45,25.0,0.4,0.085,4.71,0.176,,,,0,51,,0.017,,9.0,0.053,,1.9,0,0.005,0,0.069,1.080,14.0,0.00,7.6,0.069,0.00,7.6,0.069,0.35,,,0.0,4,,,,,0.11,,0.000,0.1,0.077,2.0,2.054,0.054,,,,,0.0,,,,,,,
139,"""07917""","Sausage, pork and beef, with cheddar cheese, smoked",77.0,12.0 oz serving 2.7 oz,7.301,2.106,,0.08,0.192,0.847,0.000,,2,,,,0.893,,,,,,,,,,,,,,0,,,,,,,,,0,,,,2.233,0.054,,2.322,0.279,,,,,,,,0.416,,,955,,0.390,,,,,,,,,,,,,0.123,0.000,1.33,9.515,,0,0.07,0.100,,2.33,,0.000,,,,,,,,,,1.827,159.0,,0.747,19.9,0.795,,,,0,228,,0.115,,49.0,0.4,,5.8,0,0.025,2,0.477,4.456,137.0,,,,,,,1.64,,,0.0,9,,,,,0.647,,0.063,0.2,0.531,10.0,8.72,0.362,,,,,0.0,,,,,,,
140,"""07957""","Sausage, pork and turkey, pre-cooked",57.0,1.0 serving,5.632,2.567,,0.0,0.051,0.520,0.000,,6,0.115,0.30,0.281,0.521,,,0.0,,0.121,0.0,1.107,0.671,,,,0.0,,40,,,,,,,11,,0,0.104,6.87,6.0,1.556,0.064,0.052,1.721,0.115,,0.0,6,,0.0,6,,0.271,0.000,,815,,0.203,,,,,,,0.06,0.448,42.0,,,,0.056,0.000,0.33,7.441,3.2,12,0.0,0.071,,1.72,0.00,,,,,,,,,,,2.312,131.0,,0.349,17.46,0.477,,,,58,195,,0.051,,41.0,0.211,0.029,0.0,0,0.136,6,0.298,3.627,78.0,,,,,,,2.07,,,6.0,,,,,,0.458,,0.000,,,,6.843,0.206,,,,,0.0,,0.4,0.0,0.129,,,
141,"""07019""","Sausage, pork, chorizo, link or ground, raw",28.35,1.0 oz,2.437,1.218,,0.0,0.059,,0.000,0.010,0,0.044,0.06,,,,,,,,0.0,,,0.014,,0.048,,0.006,0,,,,,,,,,0,0.002,3.86,0.0,1.551,0.024,0.019,0.768,0.046,,0.002,0,0.015,0.002,0,0.015,,,,351,0.028,0.090,,,,0.007,15.53,0.0,,,,0.001,0.0,0.004,0.088,0.001,0.57,3.006,,0,0.006,0.089,0.003,0.77,,0.002,,,,0.142,223.0,0.002,,,,1.065,87.0,1.2,,,,0.007,,,0,84,0.001,,,,,,,,0.026,0,,,,0.00,27.4,,0.00,27.4,,1.07,0.000,,0.0,17,2.748,1.05,,,,,,0.4,,6.0,2.774,,,0.009,0.027,0.035,0.0,,,,,,,
142,"""07979""","Sausage, pork, turkey, and beef, reduced sodium",85.0,3.0 oz,9.107,1.261,0.00,0.02,0.354,1.223,0.000,0.005,14,,,,1.317,,4.3,0.0,,0.092,0.0,2.352,1.413,0.151,,0.006,0.1,,4,0.7,0.00,0.966,0.7,0.00,0.966,5,,0,0.003,9.1,0.0,4.823,0.059,0.169,2.821,0.045,0.00,0.151,14,0.006,0.151,14,0.006,0.618,,0.02,1012,,0.475,0.0,1.36,0.163,,,,0.01,0.994,20.0,,,,0.343,0.002,1.42,3.721,1.4,5,0.014,0.245,0.002,2.1,0.00,0.001,0.1,0.001,,,,,,0.003,0.0,1.119,204.0,6.0,0.786,22.77,0.749,,,,15,241,0.000,0.099,0.00,60.0,0.495,0.016,15.6,0,0.011,14,0.68,5.536,125.0,0.02,51.0,0.632,0.02,51.0,0.632,0.09,,,0.0,3,,,,,1.017,,0.002,0.1,0.750,14.0,2.578,0.510,0.0,,,,0.0,,0.7,0.01,0.408,0.000,0.0,
143,"""07074""","Sausage, smoked link sausage, pork",68.0,"1.0 link (4"" long x 1-1/8"" dia)",6.333,2.466,0.00,0.64,0.144,1.151,0.000,,1,0.115,0.17,0.577,1.187,0.000,,,,,0.0,2.262,1.382,0.0,,0.091,,,0,9.3,,0.965,9.3,,0.965,,,0,0.143,8.15,0.0,1.909,0.12,0.054,2.071,0.115,0.48,0.0,1,,0.0,1,,0.632,,0.00,881,0.107,0.231,,,,0.05,38.41,0.0,,,,,,,0.122,0.000,0.45,7.624,,0,0.0,0.122,,2.11,,0.000,,,,,,,,,0.0,2.215,328.0,1.2,0.762,19.2,0.384,,,,0,210,,0.147,,41.0,0.475,0.031,12.4,0,0.007,1,0.647,3.947,107.0,0.00,41.5,0.625,0.00,41.5,0.625,0.64,,0.050,0.0,29,7.005,2.166,,0.364,0.989,,0.000,0.7,0.726,7.0,7.113,0.475,0.0,,,,0.0,,,,,,0.0,
