,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg)_x,"Tocotrienol, alpha (mg)_x",Alanine (g)_x,Menaquinone-4 (µg)_y,"Tocotrienol, alpha (mg)_y",Alanine (g)_y,Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g),"Folate, DFE (µg)",20:3 undifferentiated (g),20:4 n-6 (g),"Vitamin E, added (mg)",22:6 n-3 (DHA) (g),Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
72,"""09073""","Cherries, sweet, canned, light syrup pack, solids and liquids",252.0,"1.0 cup, pitted",0.086,0.116,,39.79,0.053,,0.000,,10,,,,,,,,,,,,,,,,3.8,,144,,,,,,,,,0,,,,1.016,0.365,,0.02,0.058,,,,,,,,,,,706,,0.003,,,,,,,,,,,,,0.103,,0.00,0.106,3.5,20,0.0,0.076,,0.96,,0.000,,,,,,,,,,0.058,373.0,,,,,,,,396,169.0,,,,,,,,0,0.151,10.0,,,,0.0,10.3,,0.0,10.3,,43.57,,,0.0,,,,,,,,,0.0,,23.0,0.103,,,,,,0.0,,9.3,,,,,
73,"""09074""","Cherries, sweet, canned, pitted, heavy syrup pack, solids and liquids",253.0,1.0 cup,0.086,0.114,13.13,40.94,0.053,,0.000,,10,,,,,,,0.0,,,,,,,,,3.5,,144,,,,,,,,,0,,,,1.002,0.359,,0.02,0.056,20.06,,,,,,,,,,878,,0.003,,,,,,,0.0,,23.0,,,,0.101,,0.00,0.104,2.3,20,0.0,0.056,,0.96,0.00,,,,,,,,,,0.0,0.058,367.0,,,,,,,,390,210.0,,,,,,,,0,0.121,10.0,,,,0.0,10.4,,0.0,10.4,,53.81,,,0.0,,,,,,,,,0.0,,23.0,0.104,,0.0,,,,0.0,,9.1,0.0,,,0.0,
74,"""09367""","Cherries, sweet, canned, pitted, heavy syrup, drained",179.0,1.0 cup,0.073,0.098,,28.96,0.039,,0.000,,9,,,,,,,,,,,,,,,,4.1,,102,,,,,,,,,0,,,,0.709,0.315,,0.018,0.047,,,,,,,,,,,623,,0.002,,,,,,,,,,,,,0.077,,0.00,0.088,1.6,21,0.0,0.039,,0.7,,0.000,,,,,,,,,,0.05,265.0,,,,,,,,424,149.0,,,,,,,,0,0.086,9.0,,,,0.0,4.8,,0.0,4.8,,37.72,,,0.0,,,,,,,,,0.0,,16.0,0.088,,,,,,0.0,,6.4,,,,,
75,"""09071""","Cherries, sweet, canned, water pack, solids and liquids",248.0,"1.0 cup, pitted",0.069,0.094,,25.44,0.055,,0.000,,10,,,,,,,,,,,,,,,,3.7,,141,,,,,,,,,0,,,,1.017,0.186,,0.017,0.047,,,,,,,,,,,476,,0.002,,,,,,,,,,,,,0.102,,0.00,0.084,3.5,20,0.0,0.074,,0.72,,0.000,,,,,,,,,,0.047,325.0,,,,,,,,397,114.0,,,,,,,,0,0.154,10.0,,,,0.0,10.2,,0.0,10.2,,29.16,,,0.0,,,,,,,,,0.0,,22.0,0.084,,,,,,0.0,,5.5,,,,,
76,"""09070""","Cherries, sweet, raw",138.0,"1.0 cup, with pits, yields",0.052,0.072,7.41,17.69,0.037,0.041,0.000,,6,,,,0.044,,2.8,0.0,,,,,,,,,2.9,,117,,,,,,,,,0,,,,0.213,0.083,,0.012,0.036,9.09,,,,,,,0.03,,0.17,363,,0.001,17.0,0.5,0.014,,,,0.06,0.032,18.0,,,,0.046,,0.00,0.065,2.9,4,0.0,0.068,,0.66,0.00,,,,,,,,0.81,,0.0,0.037,306.0,,0.054,0.28,0.001,,,,88,87.0,,0.012,,0,0.019,,0.0,0,0.097,6.0,0.028,0.037,29,0.0,8.4,0.041,0.0,8.4,0.041,22.09,,,0.0,,,,,,0.025,,0.000,0.0,0.033,15.0,0.065,0.021,0.0,,,,0.0,,9.7,0.0,0.014,,0.0,
77,"""09044""","Cherries, tart, dried, sweetened (Includes foods for USDA's Food Distribution Program)",40.0,0.25 cup,0.058,0.078,,26.86,0.023,,0.000,,4,,,,,,,,,,,,,,,,1.0,,69,,,,,,,,,0,,,,0.347,0.092,,0.014,0.037,,,,,,,,,,,558,,0.002,,,,,,,,,,,,,0.040,,0.00,0.071,2.0,56,0.0,0.040,,0.39,,0.000,,,,,,,,,,0.041,150.0,,,,,,,,1132,133.0,,,,,,,,0,,4.0,,,,0.0,5.9,,0.0,5.9,,32.18,,,0.0,,,,,,,,,0.0,,9.0,0.070,,,,,,0.0,,7.7,,,,,
78,"""09077""","Crabapples, raw",110.0,1.0 cup slices,0.053,0.097,,,,,,,,,,,0.028,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.11,0.074,,0.007,0.017,,,,,,,,0.015,,,350,,0.001,,,,,,,,,,,,,0.022,,0.00,0.013,,2,0.001,,,0.46,,,,,,,,,,,,0.08,213.0,,0.015,0.33,0.001,,,,44,84.0,,0.004,,0,0.009,,,,,,0.018,0.044,16,,,,,,,21.95,,,,,,,,,0.014,,,,,,0.012,0.007,,,,,,,,,,,,
79,"""09079""","Cranberries, dried, sweetened (Includes foods for USDA's Food Distribution Program)",40.0,0.25 cup,0.035,0.073,10.78,29.02,0.005,,,,0,0.009,0.84,,,,,,,,0.0,,,,,0.000,2.1,0.000,55,,,,,,,,,0,,,,0.219,0.025,0.000,0.008,0.009,11.88,,0,,,0.00,,,,,515,,0.000,,,,,,,0.07,,4.0,,,,0.011,,0.00,0.119,3.0,1,0.0,0.015,0.003,0.06,0.00,0.003,,,,,,,,,0.0,0.064,20.0,,,,,,,,18,123.0,0.000,,,,,,,,0.072,0.0,,,,0.0,3.3,,0.0,3.3,,33.12,,,0.0,,,0.064,,,,,,0.0,,2.0,0.111,,,,0.000,0.001,0.0,,0.1,,,,0.03,
80,"""09078""","Cranberries, raw",110.0,"1.0 cup, chopped",0.009,0.060,0.74,4.7,0.013,0.058,0.000,,1,,,,0.043,,,0.0,,,,,,,,,4.0,,100,,,,,,,,,0,,,,0.111,0.062,,0.002,0.024,3.78,,,,,,,0.031,,0.00,210,,0.000,,,,,,,0.04,0.053,9.0,,,,0.022,,0.00,0.02,5.5,3,0.0,0.063,,0.13,0.00,,,,,,,,,,0.0,0.036,88.0,0.2,0.034,0.14,0.001,,,,69,51.0,,0.003,,0,0.035,,0.1,0,0.294,1.0,0.036,0.007,12,0.0,6.0,0.056,0.0,6.0,0.056,13.17,,,0.0,,,,,,0.062,,0.000,0.0,0.050,7.0,,0.020,0.0,,,,0.0,,15.4,0.32,0.003,0.000,0.0,
81,"""09522""","Cranberry juice blend, 100% juice, bottled, with added vitamin C and calcium",200.0,6.0 fl oz,0.004,,11.40,19.6,0.010,,0.000,,36,,,,,,,,,,,,,,,,0.2,,136,,,,,,,,,0,,,,0.188,0.032,,0.0,,8.00,,,,,,,,,,374,,0.000,,,,,,,,,,,,,0.030,,0.00,0.004,0.0,2,0.0,0.036,,0.2,,0.000,,,,,,,,,0.0,0.002,152.0,,,,,,,,50,90.0,,,,,,,,0,0.134,36.0,,,,0.0,3.6,,0.0,3.6,,21.82,,,0.0,,,,,,,,,0.0,,10.0,0.002,,,,,,0.0,,63.0,,,,0.0,
82,"""43382""","Cranberry juice, unsweetened",253.0,1.0 cup,0.025,0.177,,30.61,0.023,,0.000,,3,,,,,,,,,,,,,,,,0.3,,172,,,,,,,,,0,,,,0.23,0.139,,0.005,0.071,,,,,,,,,,,491,,0.000,,,,,,,,,,,,,0.046,,0.00,0.058,12.9,5,0.0,0.132,,0.38,,0.000,,,,,,,,,,0.106,195.0,,,,,,,,114,116.0,,,,,,,,0,,3.0,,,,0.0,8.3,,0.0,8.3,,30.87,,,0.0,,,,,,,,,0.0,,15.0,0.056,,,,,,0.0,,23.5,,,,,
83,"""09081""","Cranberry sauce, canned, sweetened",277.0,1.0 cup,0.019,0.086,27.01,87.95,0.042,,0.000,,3,,,,,,,,,,,,,,,,3.0,,133,,,,,,,,,0,,,,0.277,0.072,,0.006,0.033,48.34,,,,,,,,,,1848,,0.000,,,,,,,,,,,,,0.058,,0.00,0.019,3.9,6,0.0,0.039,,0.28,,0.000,,,,,,,,,0.0,0.053,78.0,,,,,,,,91,440.0,,,,,,,,0,0.202,3.0,,,,0.0,10.5,,0.0,10.5,,111.91,,,0.0,,,,,,,,,0.0,,6.0,0.019,,,,,,0.0,,2.8,,,,0.0,
84,"""09526""","Cranberry sauce, jellied, canned, OCEAN SPRAY",70.0,0.25 cup,0.005,0.020,6.86,22.54,,,,,,,,,,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,468,,,,,,,,,,,,,,,,,,0.005,,1,,,,0.07,,,,,,,,,0.00,,,,,,,,,,,,23,112.0,,,,,,,,,,,,,,,,,,,,28.43,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
85,"""09525""","Cranberry sauce, whole, canned, OCEAN SPRAY",70.0,0.25 cup,0.005,0.024,6.79,21.91,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,463,,,,,,,,,,,,,,,,,,0.005,,1,,,,0.07,,,,,,,,,0.00,,,,,,,,,,,,23,111.0,,,,,,,,,,,,,,,,,,,,28.28,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
86,"""09082""","Cranberry-orange relish, canned",275.0,1.0 cup,0.033,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0,,,,,,0.275,0.110,,,,,,,,,,,,,,2049,,,,,,,,,,,,,,,0.055,,0.00,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,192,490.0,,,,,,,,,,,,,,,,,,,,127.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"""09083""","Currants, european black, raw",112.0,1.0 cup,0.038,0.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.336,0.096,,0.008,0.081,,,,,,,,,,,296,,,,,,,,,,,,,,,0.056,,0.00,0.065,,13,,,,0.96,,,,,,,,,,,,0.12,361.0,,,,,,,,258,71.0,,,,,,,,,,,,,,,,,,,,17.23,,,,,,,,,,,,,,,0.063,,,,,,,,,,,,,
88,"""09084""","Currants, red and white, raw",112.0,1.0 cup,0.019,0.099,3.95,8.25,0.045,,0.000,,9,,,,,,,,,,,,,,,,4.8,,53,,,,,,,,,0,,,,0.112,0.120,,0.003,0.039,3.61,,,,,,,,,,262,,0.000,,,,,,,,,,,,,0.056,,0.00,0.031,12.3,2,0.0,0.078,,0.74,,0.000,,,,,,,,,,0.059,308.0,,,,,,,,47,63.0,,,,,,,,0,0.208,9.0,,,,0.0,8.5,,0.0,8.5,,15.46,,,0.0,,,,,,,,,0.0,,15.0,0.031,,,,,,0.0,,45.9,,,,,
89,"""09085""","Currants, zante, dried",144.0,1.0 cup,0.122,0.068,46.80,89.68,0.230,,0.000,,14,0.017,0.16,,,,,,,,0.0,,,,,0.000,6.3,,0,,,,,,,,,0,,,,2.326,0.429,0.001,0.014,0.017,42.88,0.000,14,,,,,,,,1750,0.001,0.004,,,,0.000,25.34,1,,,,0.000,62,0.003,0.204,,0.00,0.03,4.8,6,0.001,0.426,0.006,2.55,,0.000,0.0,0.006,,0.001,62.0,0.010,,,,0.05,1119.0,,,,,,,0.0,105,418.0,0.000,,,,,,,0,0.497,14.0,,,,0.0,15.3,,0.0,15.3,,110.85,0.000,,1.0,0,0.029,0.05,,,,,,0.0,,52.0,0.030,,,,0.000,0.001,0.0,,6.8,,,,0.0,
90,"""09087""","Dates, deglet noor",147.0,"1.0 cup, chopped",0.047,0.028,28.75,93.12,0.076,0.123,0.000,,28,,,,0.097,,,0.0,,,0.0,0.528,0.313,,,0.000,11.8,,110,,,,,,,,,0,,,,1.873,0.303,0.001,0.016,0.004,29.21,0.000,28,,,,,0.063,0.000,0.18,1732,,0.001,,,,,,,0.07,0.148,57.0,,,,0.097,,0.00,0.053,4.0,0,0.001,0.243,0.000,2.35,0.00,,,,,,,,,,0.0,0.024,964.0,0.6,0.191,0.57,0.001,,,,15,415.0,,0.018,,0,0.022,0.000,4.4,0,0.385,28.0,0.072,0.025,91,0.0,9.3,0.084,0.0,9.3,0.084,110.29,,,0.0,,,,,,0.2,,0.001,0.0,0.104,63.0,0.051,0.047,0.0,,,,0.0,,0.6,0.0,0.032,0.001,0.0,
91,"""09088""","Elderberries, raw",145.0,1.0 cup,0.033,0.358,,,,,0.000,,9,,,,0.038,,,,,,,,,,,,10.2,,,,,,,,,0,,,,,,0.725,0.088,,0.007,0.123,,,,,,,,0.039,,,442,,0.000,,,,,,,,,,,,,0.087,,0.00,0.116,,44,0.0,0.334,,0.93,,0.000,,,,,,,,,,0.235,406.0,,0.036,0.72,0.000,,,,870,106.0,,0.019,,0,0.074,,0.9,0,,9.0,0.039,0.026,57,,,,,,,26.68,,,,,,,,,0.068,,0.000,,,,0.116,0.022,,,,,,,,,,,,
92,"""09334""","Feijoa, raw",243.0,"1.0 cup, pureed",0.253,0.330,7.17,19.93,0.015,0.068,0.000,,56,0.070,0.39,0.046,0.092,0.000,,0.0,,,0.0,0.321,0.182,,,0.000,15.6,0.000,66,0.0,,0.092,0.0,,0.092,0,,,,,,0.717,0.087,0.000,0.034,0.070,5.64,0.000,56,,,,,0.046,,0.00,617,0.000,0.007,,,,0.000,202.37,7,0.07,0.068,41.0,,5,0.0,0.044,,0.00,0.136,8.5,0,0.002,0.163,0.000,0.92,0.00,,,,,0.000,7.0,0.010,0.00,,,0.26,418.0,,0.046,1.02,0.000,0.000,,7.12,15,148.0,0.000,0.017,,0,0.022,0.007,,0,0.204,56.0,0.046,0.182,46,,,,,,,36.96,0.000,,0.0,,0.136,0.26,,0.566,0.046,,0.007,,,,0.136,0.022,0.0,,,0.000,,,,0.02,0.017,0.000,0.0,
93,"""09093""","Figs, canned, extra heavy syrup pack, solids and liquids",261.0,1.0 cup,0.052,0.123,,,,,,,,,,,0.039,,,,,,,,,,,,,,,,,,,,,0,,,,,,1.094,0.269,,0.01,,,,,,,,,0.031,,,1169,,0.003,,,,,,,,,,,,,0.094,,0.00,0.057,,5,,,,0.73,,,,,,,,,,,,0.123,253.0,,0.065,0.26,,,,,94,279.0,,0.008,,0,0.042,,,,,,0.029,0.039,26,,,,,,,72.71,,,,,,,,,0.023,,,0.0,0.037,26.0,0.057,0.013,,,,,,,,,,,,
94,"""09092""","Figs, canned, heavy syrup pack, solids and liquids",259.0,1.0 cup,0.052,0.124,,53.61,0.057,0.044,0.000,,5,,,,0.039,,,,,,,,,,,,5.7,,28,,,,,,,,,0,,,,1.109,0.275,,0.01,0.000,,,,,,,,0.031,,,953,,0.003,,,,,,,,,,,,,0.096,,0.00,0.057,13.7,5,0.0,0.181,,0.75,,0.000,,,,,,,,,,0.124,256.0,,0.065,0.26,0.000,,,,96,228.0,,0.008,,0,0.041,,0.5,0,0.218,5.0,0.031,0.039,26,0.0,13.7,0.049,0.0,13.7,0.049,59.31,,,0.0,,,,,,0.023,,0.000,0.0,0.036,26.0,0.057,0.013,,,,,0.0,,2.6,,,,,
95,"""09091""","Figs, canned, light syrup pack, solids and liquids",252.0,1.0 cup,0.05,0.121,,40.7,0.055,0.043,0.000,,5,,,,0.04,,,,,,,,,,,,4.5,,20,,,,,,,,,0,,,,1.101,0.272,,0.01,0.000,,,,,,,,0.033,,,728,,0.003,,,,,,,,,,,,,0.096,,0.00,0.055,10.6,5,0.0,0.176,,0.76,,0.000,,,,,,,,,,0.121,257.0,,0.066,0.25,0.000,,,,93,174.0,,0.008,,0,0.043,,0.5,0,0.217,5.0,0.03,0.038,25,0.0,10.6,0.048,0.0,10.6,0.048,45.23,,,0.0,,,,,,0.023,,0.000,0.0,0.038,25.0,0.055,0.015,,,,,0.0,,2.5,,,,,
96,"""09090""","Figs, canned, water pack, solids and liquids",248.0,1.0 cup,0.05,0.119,,29.24,0.057,0.042,0.000,,5,,,,0.04,,,,,,,,,,,,5.5,,17,,,,,,,,,0,,,,1.104,0.273,,0.01,0.000,,,,,,,,0.032,,,551,,0.002,,,,,,,,,,,,,0.094,,0.00,0.055,8.2,5,0.0,0.174,,0.74,,0.000,,,,,,,,,,0.119,255.0,,0.064,0.25,0.000,,,,94,131.0,,0.007,,0,0.042,,0.2,0,0.218,5.0,0.03,0.037,25,0.0,8.2,0.050,0.0,8.2,0.050,34.7,,,0.0,,,,,,0.022,,0.000,0.0,0.037,25.0,0.055,0.015,,,,,0.0,,2.5,,,,,
97,"""09095""","Figs, dried, stewed",259.0,1.0 cup,0.161,0.386,,60.48,0.028,0.142,0.000,,3,,,,0.098,,,,,,,,,,,,10.9,,36,,,,,,,,,0,,,,1.658,0.321,,0.034,0.000,,,,,,,,0.096,,,1163,,0.008,,,,,,,,,,,,,0.285,,0.00,0.176,17.4,0,0.0,0.344,,2.07,,0.000,,,,,,,,,,0.386,761.0,,0.681,1.04,0.000,,,,10,277.0,,0.023,,0,0.047,,0.5,0,0.570,3.0,0.098,0.122,75,0.0,17.6,0.142,0.0,17.6,0.142,71.41,,,0.0,,,,,,0.085,,0.000,0.0,0.137,75.0,0.176,0.041,,,,,0.0,,11.4,,,,,
98,"""09094""","Figs, dried, uncooked",149.0,1.0 cup,0.215,0.514,34.17,71.4,0.127,0.191,0.000,,13,,,,0.131,,,0.0,,,,,,,,,14.6,,48,,,,,,,,,0,,,,0.922,0.428,,0.043,0.000,36.94,,,,,,,0.127,,0.00,1551,,0.009,,,,,,,0.55,0.161,241.0,,,,0.122,,0.00,0.237,23.2,0,0.0,0.158,,2.77,0.01,0.000,,,,,,,0.19,,0.0,0.514,1013.0,1.0,0.909,1.39,0.001,,,,15,371.0,,0.03,7.55,0,0.061,,0.9,0,0.760,13.0,0.133,0.164,100,0.0,23.5,0.191,0.0,23.5,0.191,95.17,,,0.0,,,,,,0.115,,0.000,0.0,0.182,101.0,0.235,0.055,0.0,,,,0.0,,1.8,0.0,0.051,,0.0,
99,"""09089""","Figs, raw",64.0,"1.0 large (2-1/2"" dia)",0.038,0.092,,10.41,0.038,0.021,0.000,,4,,,,0.019,,,,,,,,,,,,1.9,,6,,,,,,,,,0,,,,0.256,0.045,,0.008,0.000,,,,,,,,0.015,,,198,,0.001,20.0,0.24,0.008,,,,,,,,,,0.032,,0.00,0.042,3.0,4,0.0,0.072,,0.42,,0.000,,,,,,,,,,0.092,148.0,,0.031,0.19,0.000,,,,91,47.0,,0.004,,0,0.02,,0.1,0,0.082,4.0,0.015,0.029,9,0.0,3.0,0.024,0.0,3.0,0.024,12.28,,,0.0,,,,,,0.011,,0.000,0.0,0.018,11.0,0.042,0.007,,,,,0.0,,1.3,,,,,
100,"""09101""","Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra heavy syrup, solids and liquids",130.0,0.5 cup,0.013,0.039,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,0,,,,,,0.478,0.087,,0.004,0.005,,,,,,,,,,,478,,,,,,,,,,,,,,,0.025,,0.00,0.017,,13,,,,0.29,,,,,,,,,,,,0.035,112.0,,,,,,,,261,114.0,,,,,,,,0,0.185,4.0,,,,,,,,,,29.76,,,,,,,,,,,,0.0,,6.0,0.017,,,,,,,,,,,,,
101,"""09098""","Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, extra light syrup, solids and liquids",123.0,0.5 cup,0.012,0.038,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,0,,,,,,0.615,0.123,,0.004,0.005,,,,,,,,,,,231,,,,,,,,,,,,,,,0.012,,0.00,0.017,,15,,,,0.25,,,,,,,,,,,,0.034,128.0,,,,,,,,287,55.0,,,,,,,,0,0.181,4.0,,,,,,,,,,14.3,,,,,,,,,,,,0.0,,7.0,0.017,,,,,,,,,,,,,
102,"""09100""","Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, heavy syrup, solids and liquids",248.0,1.0 cup,0.025,0.077,,44.42,0.045,,0.000,,7,,,,,,,0.0,,,,,,,,,2.5,,186,,,,,,,,,0,,,,0.928,0.171,,0.007,0.010,,,,,,,,,,,756,,0.000,,,,,,,0.0,,15.0,,,,0.047,,0.00,0.032,6.4,25,0.0,0.124,,0.57,0.00,,,,,,,,,,,0.067,218.0,,,,,,,,508,181.0,,,,,,,,0,0.357,7.0,,,,0.0,9.2,,0.0,9.2,,46.9,,,0.0,,,,,,,,,0.0,,12.0,0.032,,,,,,0.0,,4.7,0.0,,,,
103,"""09097""","Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, juice pack, solids and liquids",237.0,1.0 cup,0.002,0.009,,25.74,0.028,,0.000,,7,,,,,,,,,,,,,,,,2.4,,178,,,,,,,,,0,,,,0.955,0.147,,0.0,,,,,,,,,,,,455,,0.000,,,,,,,,,,,,,0.038,,0.00,0.005,6.2,36,0.0,0.121,,0.55,,0.000,,,,,,,,,,0.009,225.0,,,,,,,,723,109.0,,,,,,,,0,0.346,7.0,,,,0.0,9.5,,0.0,9.5,,28.11,,,0.0,,,,,,,,,0.0,,17.0,0.005,,,,,,0.0,,6.4,,,,,
104,"""09099""","Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, light syrup, solids and liquids",242.0,1.0 cup,0.024,0.075,,33.71,0.044,,0.000,,7,,,,,,,0.0,,,,,,,,,2.4,,182,,,,,,,,,0,,,,0.92,0.169,,0.007,0.010,,,,,,,,,,,576,,0.000,,,,,,,0.0,,15.0,,,,0.046,,0.00,0.034,6.3,24,0.0,0.123,,0.56,0.00,,,,,,,,,,,0.065,215.0,,,,,,,,503,138.0,,,,,,,,0,0.356,7.0,,,,0.0,9.0,,0.0,9.0,,36.13,,,0.0,,,,,,,,,0.0,,12.0,0.034,,,,,,0.0,,4.6,0.0,,,,
105,"""09096""","Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids",237.0,1.0 cup,0.014,0.047,,17.8,0.038,,0.000,,7,,,,,,,,,,,,,,,,2.4,,178,,,,,,,,,0,,,,0.86,0.168,,0.005,,,,,,,,,,,,318,,0.000,,,,,,,,,,,,,0.026,,0.00,0.021,6.2,31,0.0,0.123,,0.62,,0.000,,,,,,,,,,0.04,223.0,,,,,,,,592,76.0,,,,,,,,0,0.355,7.0,,,,0.0,8.8,,0.0,8.8,,20.17,,,0.0,,,,,,,,,0.0,,17.0,0.021,,,,,,0.0,,5.0,,,,,
106,"""09351""","Fruit cocktail, canned, heavy syrup, drained",214.0,1.0 cup,0.03,0.090,,36.68,0.041,,0.000,,6,,,,,,,,,,,,,,,,3.6,,240,,,,,,,,,0,,,,0.8,0.184,,0.009,0.011,,,,,,,,,,,627,,0.000,,,,,,,,,,,,,0.045,,0.00,0.039,8.3,30,0.0,0.109,,0.51,,0.000,,,,,,,,,,0.079,193.0,,,,,,,,584,150.0,,,,,,,,0,,6.0,,,,0.0,5.1,,0.0,5.1,,40.23,,,0.0,,,,,,,,,0.0,,11.0,0.039,,,,,,0.0,,4.1,,,,,
107,"""09514""","Fruit juice smoothie, BOLTHOUSE FARMS, BERRY BOOST",252.0,1.0 cup,0.008,0.028,,23.44,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489,,,,,,,,,,,,,,,,,,0.005,,,,,,1.13,,,,,,,,,,,,,,,,,,,,,731,116.0,,,,,,,,,,,,,,,,,,,,27.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"""09515""","Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS",230.0,1.0 cup,0.156,0.078,9.71,26.36,0.138,,0.009,0.000,39,0.044,0.41,,,,,,,,0.0,,,,,0.000,1.4,0.000,37,0.0,,,0.0,,,,,0,,,,0.766,0.113,0.000,0.023,0.044,7.31,0.000,39,,,,,,,,538,0.007,0.009,,,,0.000,196.9,9,,,,0.000,557,0.005,0.184,0.000,1.27,0.078,18.6,48,0.0,0.184,,0.9,,0.000,,,,0.014,25.0,0.000,,,0.0,0.034,407.0,0.7,,,,0.000,,9.34,959,129.0,0.000,,,,,,,0,3.121,39.0,,,,0.0,10.3,,0.0,10.3,,29.99,0.000,,28.0,0,0.048,0.034,,,,,,0.0,,34.0,0.055,,0.0,,0.000,0.007,0.0,,14.3,,,,0.0,
