,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg)_x,"Tocotrienol, alpha (mg)_x",Alanine (g)_x,Menaquinone-4 (µg)_y,"Tocotrienol, alpha (mg)_y",Alanine (g)_y,Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g),"Folate, DFE (µg)",20:3 undifferentiated (g),20:4 n-6 (g),"Vitamin E, added (mg)",22:6 n-3 (DHA) (g),Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
62,"""09060""","Carambola, (starfruit), raw",132.0,"1.0 cup, cubes",0.025,0.243,,5.25,0.018,0.102,0.000,,16,,,,0.102,,,,,,,,,,,,3.7,,87,,,,,,,,,0,,,,0.484,0.181,,0.011,0.036,,,,,,,,0.058,,,169,,0.000,,,,,,,,,,,,,0.021,,0.00,0.04,0.0,4,0.0,0.022,,0.69,,0.000,,,,,,,,,,0.207,176.0,,0.066,0.44,0.000,,,,81,41.0,,0.011,,0,0.058,,0.8,0,0.049,16.0,0.058,0.015,16,0.0,10.0,0.110,0.0,10.0,0.110,8.88,,,32.0,0,,,,,0.028,,0.000,0.0,0.066,13.0,0.040,0.011,,,,,0.0,,45.4,,,,,
63,"""09062""","Cherimoya, raw",160.0,"1.0 cup, pieces",0.373,0.301,10.05,20.59,0.162,0.101,,,,0.254,0.43,0.067,0.067,0.000,,0.02,,0.000,0.0,0.318,0.168,,,0.000,4.8,0.000,10,,,,,,,0,,,,,,1.03,0.110,0.008,0.08,0.254,9.49,0.008,37,0.000,,,,0.083,,0.00,501,0.000,0.019,,,,0.000,127.02,2,0.02,0.083,16.0,,3,0.0,0.210,,0.00,0.088,,0,0.008,0.411,0.003,1.04,0.00,,,,,0.045,11.0,,0.00,,,0.045,459.0,,0.251,1.09,0.045,0.000,,1.06,8,120.0,0.000,0.05,,0,0.05,0.008,,0,0.149,37.0,0.067,0.166,42,,,,,,,28.34,0.000,,0.0,,0.034,0.045,,0.552,0.05,,0.072,,,,,0.034,,,,0.000,,,,0.05,0.034,0.000,0.0,
64,"""09067""","Cherries, sour, red, canned, extra heavy syrup pack, solids and liquids",261.0,1.0 cup,0.055,0.073,,,,,,,,,,,,,,,,,,,,,,,2.1,,,,,,,,,0,,,,,,0.425,0.170,,0.013,0.037,,,,,,,,,,,1245,,0.003,,,,,,,,,,,,,0.099,,0.00,0.065,,91,,,,0.63,,,,,,,,,,,,0.037,238.0,,,,,,,,1817,298.0,,,,,,,,0,0.183,18.0,,,,,,,,,,76.29,,,,,,,,,,,,0.0,,13.0,0.065,,,,,,,,,,,,,
65,"""09066""","Cherries, sour, red, canned, heavy syrup pack, solids and liquids",256.0,1.0 cup,0.054,0.074,,56.76,0.041,,0.000,,20,,,,,,,,,,,,,,,,2.8,,146,,,,,,,,,0,,,,0.43,0.169,,0.013,0.036,,,,,,,,,,,975,,0.003,,,,,,,,,,,,,0.100,,0.00,0.067,3.6,92,0.0,0.113,,0.64,,0.000,,,,,,,,,,0.038,238.0,,,,,,,,1828,233.0,,,,,,,,0,0.184,20.0,,,,0.0,10.5,,0.0,10.5,,59.57,,,0.0,,,,,,,,,0.0,,15.0,0.067,,,,,,0.0,,5.1,,,,,
66,"""09065""","Cherries, sour, red, canned, light syrup pack, solids and liquids",252.0,1.0 cup,0.055,0.073,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0,,,,,,0.428,0.171,,0.013,0.035,,,,,,,,,,,791,,0.003,,,,,,,,,,,,,0.098,,0.00,0.066,,91,,,,0.63,,,,,,,,,,,,0.038,239.0,,,,,,,,1830,189.0,,,,,,,,0,0.184,20.0,,,,,,,,,,48.64,,,,,,,,,,,,0.0,,15.0,0.066,,,,,,,,,,,,,
67,"""09064""","Cherries, sour, red, canned, water pack, solids and liquids",244.0,1.0 cup,0.056,0.073,6.59,18.54,0.041,,0.000,,20,,,,,,,,,,,,,,,,2.7,,139,,,,,,,,,0,,,,0.432,0.171,,0.012,0.037,9.52,,,,,,,,,,368,,0.002,,,,,,,,,,,,,0.100,,0.00,0.066,3.4,93,0.0,0.107,,0.63,,0.000,,,,,,,,,,0.037,239.0,,,,,,,,1840,88.0,,,,,,,,0,0.185,20.0,,,,0.0,10.0,,0.0,10.0,,21.81,,,0.0,,,,,,,,,0.0,,15.0,0.066,,,,,,0.0,,5.1,,,,,
68,"""09068""","Cherries, sour, red, frozen, unsweetened (Includes foods for USDA's Food Distribution Program)",155.0,"1.0 cup, unthawed",0.155,0.205,,13.98,0.068,,0.000,,8,,,,,,,,,,,,,,,,2.5,,95,,,,,,,,,0,,,,0.212,0.139,,0.037,0.101,,,,,,,,,,,298,,0.005,,,,,,,,,,,,,0.053,,0.00,0.186,2.3,68,0.0,0.104,,0.65,,0.000,,,,,,,,,,0.104,192.0,,,,,,,,1348,71.0,,,,,,,,0,0.088,8.0,,,,0.0,8.7,,0.0,8.7,,17.08,,,0.0,,,,,,,,,0.0,,14.0,0.184,,,,,,0.0,,2.6,,,,,
69,"""09063""","Cherries, sour, red, raw",155.0,"1.0 cup, without pits",0.105,0.139,5.44,13.16,0.046,,0.000,,12,,,,,,,,,,,,,,,,2.5,,132,,,,,,,,,0,,,,0.62,0.161,,0.025,0.068,6.48,,,,,,,,,,324,,0.003,,,,,,,,,,,,,0.062,,0.00,0.127,3.3,99,0.0,0.068,,0.62,,0.000,,,,,,,,,0.0,0.071,268.0,,,,,,,,1989,78.0,,,,,,,,0,0.174,12.0,,,,0.0,9.5,,0.0,9.5,,18.88,,,0.0,,,,,,,,,0.0,,14.0,0.126,,,,,,0.0,,15.5,,,,0.0,
70,"""09075""","Cherries, sweet, canned, extra heavy syrup pack, solids and liquids",261.0,"1.0 cup, pitted",0.086,0.117,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,,,,0,,,,,,1.013,0.363,,0.021,0.057,,,,,,,,,,,1114,,0.003,,,,,,,,,,,,,0.102,,0.00,0.104,,21,,,,0.97,,,,,,,,,,,,0.06,371.0,,,,,,,,394,266.0,,,,,,,,0,0.151,10.0,,,,,,,,,,68.46,,,,,,,,,,,,0.0,,21.0,0.104,,,,,,,,,,,,,
71,"""09072""","Cherries, sweet, canned, juice pack, solids and liquids",250.0,"1.0 cup, pitted",0.01,0.015,,30.77,0.045,,0.000,,10,,,,,,,,,,,,,,,,3.8,,142,,,,,,,,,0,,,,1.015,0.182,,0.003,0.007,,,,,,,,,,,565,,0.000,,,,,,,,,,,,,0.060,,0.00,0.013,3.5,15,0.0,0.075,,0.78,,0.000,,,,,,,,,,0.007,328.0,,,,,,,,312,135.0,,,,,,,,0,0.152,10.0,,,,0.0,11.8,,0.0,11.8,,34.52,,,0.0,,,,,,,,,0.0,,30.0,0.013,,,,,,0.0,,6.2,,,,,
