,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g)_x,"Tocopherol, delta (mg)_x",22:1 undifferentiated (g)_x,Ash (g)_y,"Tocopherol, delta (mg)_y",22:1 undifferentiated (g)_y,16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
134,"""06026""","Soup, chili beef, canned, condensed",263.0,1.0 cup (8 fl oz),3.266,0.250,,13.39,0.118,,0.000,,24,,,,,,,,,,0.0,,,0.042,,0.000,6.6,,468,,,,,,0.0,,,0,,,,2.138,0.789,0.084,0.986,0.026,,0.045,24,0.000,0.045,24,0.000,,,,1286,,0.252,,,,,,,,,,,,,0.153,0.000,0.79,2.664,8.4,150,0.018,0.316,0.000,7.07,,0.000,7.07,,0.000,,,,,,,0.218,1052.0,,,,,,,,3022.0,308.0,,,,,,,,0,2.104,24.0,,,,0.00,57.1,,0.00,57.1,,49.6,,,71.0,,,,,,,,,,,,2.343,,,,,,0.0,,8.2,,,,,
135,"""06426""","Soup, chili beef, canned, prepared with equal volume water",261.0,1.0 cup,1.587,0.120,,6.5,0.057,,0.000,,10,,,,,,,,,,0.0,,,0.021,,0.000,3.1,,227,,,,,,0.0,,,0,,,,1.039,0.397,0.039,0.48,0.013,,0.021,10,0.000,0.021,10,0.000,,,,624,,0.123,,,,,,,,,,,,,0.073,0.000,0.39,1.295,4.2,73,0.008,0.154,0.000,3.58,,0.000,3.58,,0.000,,,,,,,0.104,512.0,,,,,,,,1469.0,149.0,,,,,,,,0,1.023,10.0,,,,0.00,27.7,,0.00,27.7,,24.09,,,34.0,0,,,,,,,,0.0,,26.0,1.138,,,,,,0.0,,3.9,,,,,
136,"""06070""","Soup, chunky beef, canned, ready-to-serve",245.0,1.0 cup,1.357,0.115,,1.64,0.059,0.916,0.000,,15,,,,0.948,,,,,,,,,,,,1.5,,88,,,,,,,,,0,,,,2.761,0.245,,0.512,0.012,,,,,,,,0.475,,,679,,0.103,,,,,,,,,,,,,0.154,0.000,0.64,1.139,7.6,132,0.025,0.135,,3.65,,0.000,3.65,,0.000,,,,,,,0.091,343.0,,0.549,2.72,0.115,,,,2666.0,162.0,,0.115,,15.0,0.36,,6.1,0,0.245,15.0,0.605,0.679,122.0,0.00,25.0,0.417,0.00,25.0,0.417,24.7,,,573.0,0,,,,,0.622,,0.000,0.0,0.649,5.0,0.985,0.282,,,,,0.0,,7.1,,,,,
137,"""06018""","Soup, chunky chicken noodle, canned, ready-to-serve",530.0,1.0 can,3.323,0.912,0.00,2.01,0.095,,0.000,,32,,,,,,,,,,,,,,,,4.2,,307,,,,,,,5,,0,,,,6.339,0.148,,0.668,0.058,0.00,,,,,,,,,,901,,0.143,,,,,,,0.16,,58.0,,,,0.106,0.000,0.42,1.579,9.0,329,0.011,0.265,,7.42,0.00,,7.42,0.00,,,,,,0.005,0.0,0.811,620.0,,,,,,,,6487.0,217.0,,,,,,,,16,0.297,48.0,,,,0.00,32.9,,0.00,32.9,,23.64,,,1410.0,0,,,,,,,,0.0,,37.0,1.33,,,,,,0.0,,2.1,,,,0.0,
138,"""06067""","Soup, chunky vegetable, canned, ready-to-serve",230.0,1.0 cup,0.103,0.306,1.06,3.59,0.067,,0.000,,16,,,,,,,0.0,,,,,,,,,2.5,,304,,,,,,,,,0,,,,1.247,0.092,,0.023,0.018,1.38,,,,,,,,,,380,,0.002,,,,,,,0.21,,41.0,,,,0.099,,0.00,0.350,18.6,120,0.000,0.150,,2.46,0.00,,2.46,0.00,,,,,,,0.0,0.285,414.0,0.7,,,,,,,2413.0,90.0,,,,,,,,0,0.200,16.0,,,,0.00,16.1,,0.00,16.1,,18.17,,,543.0,0,,,,,,,,0.0,,23.0,0.347,,,,,,0.0,,1.6,0.07,,0.000,0.0,
139,"""27060""","Soup, chunky vegetable, reduced sodium, canned, ready-to-serve",240.0,1.0 cup,0.521,0.233,1.80,6.67,0.120,,0.012,,24,,,,,,,0.0,,,,,,,,,2.6,,278,,,,,,,5,,0,,,,1.464,0.11,,0.084,0.031,2.04,,,,,,,,,,506,,0.077,,,,,,,0.17,,60.0,,,,0.240,0.000,0.05,0.266,14.9,139,0.024,0.168,,2.74,0.02,0.000,2.74,0.02,0.000,,,,,,0.0,0.202,838.0,,,,,,,,2693.0,120.0,,,,,,,,0,0.214,24.0,,,,0.00,25.4,,0.00,25.4,,24.67,,,468.0,0,,,,,,,,0.0,,29.0,0.254,,,,,,0.0,,1.7,0.0,,0.007,0.0,
140,"""06027""","Soup, clam chowder, manhattan style, canned, chunky, ready-to-serve",240.0,1.0 cup (8 fl oz),2.112,0.120,,4.01,0.058,,0.072,,10,,,,,,,,,,,,,,,,2.9,,79,,,,,,,7,,0,,,,1.848,0.24,,0.408,0.048,,,,,,,,,,,562,,0.336,,,,,,,,,,,,,0.062,0.000,7.92,0.984,7.9,168,0.096,0.264,,4.06,,0.000,4.06,,0.000,,,,,,,0.072,384.0,,,,,,,,3216.0,134.0,,,,,,,,0,0.240,10.0,,,,0.00,19.0,,0.00,19.0,,18.82,,,648.0,0,,,,,,,,0.0,,19.0,0.84,,,,,,0.0,,12.2,,,,,
141,"""06028""","Soup, clam chowder, manhattan, canned, condensed",126.0,0.5 cup (4 fl oz),0.384,1.294,,3.4,0.030,,,,,,,,,,,,,,,,,,,,1.5,,34,,,,,,,4,,0,,,,0.819,0.126,,0.064,0.089,,,,,,,,,,,321,,0.013,,,,,,,,,,,,,0.040,,4.07,0.384,6.9,52,,,,3.1,,,3.1,,,,,,,,,1.205,189.0,,,,,,,,960.0,77.0,,,,,,,,0,0.378,10.0,,,,,,,,,,12.27,,,110.0,,,,,,,,,,,,0.372,,,,,,0.0,,4.0,,,,,
142,"""06428""","Soup, clam chowder, manhattan, canned, prepared with equal volume water",249.0,1.0 serving 1 cup,0.371,1.252,,3.29,0.030,,0.000,,10,,,,,,,,,,,,,,,,1.5,,32,,,,,,,5,,0,,,,0.792,0.134,,0.062,0.087,,,,,,,,,,,314,,0.012,,,,,,,,,,,,,0.040,0.000,3.93,0.371,6.7,50,0.000,0.097,,3.14,,0.000,3.14,,0.000,,,,,,,1.165,184.0,,,,,,,,929.0,75.0,,,,,,,,0,0.366,10.0,,,,0.00,19.7,,0.00,19.7,,11.88,,,105.0,0,,,,,,,,0.0,,10.0,0.359,,,,,,0.0,,4.0,,,,,
143,"""06030""","Soup, clam chowder, new england, canned, condensed",126.0,0.5 cup,1.208,,,0.48,0.158,,0.000,,18,,,,,,,,,,,,,,,,0.9,,4,,,,,,,21,,0,,,,1.953,0.301,0.005,0.174,0.029,,,,,,,,,,,382,,0.013,,,,,,,0.0,,20.0,,,,0.208,0.013,11.93,0.000,1.0,21,0.004,0.131,0.000,3.73,0.00,,3.73,0.00,,,,,,,,1.131,278.0,,,,,,,,73.0,91.0,,,,,,,,0,0.208,18.0,,,,0.00,8.7,,0.00,8.7,,13.0,,,0.0,,,,,,,,,0.0,,16.0,0.0,,,,,,0.0,,5.2,,,,,
144,"""06230""","Soup, clam chowder, new england, canned, prepared with equal volume low fat (2%) milk",252.0,1.0 serving 1 cup,2.757,1.293,,7.08,0.204,,0.053,,23,,,,,,,,,,,,,,,,0.8,,3,,,,,,,93,,0,,,,2.001,0.297,,0.494,0.045,,,,,,,,,,,640,,0.244,,,,,,,,,,,,,0.444,0.013,12.20,0.675,1.3,93,0.076,0.176,,4.51,,0.000,4.51,,0.000,,,,,,,1.2,451.0,1.3,,,,,,,320.0,154.0,,,,,,,,0,0.219,23.0,,,,0.00,29.7,,0.00,29.7,,18.8,,,0.0,63,,,,,,,,1.5,,30.0,0.627,,,,,,0.0,,5.3,,,,,
145,"""06430""","Soup, clam chowder, new england, canned, prepared with equal volume water",248.0,1.0 serving 1 cup,1.161,1.163,,0.47,0.151,,0.000,,17,,,,,,,,,,,,,,,,0.7,,5,,,,,,,20,,0,,,,1.882,0.303,0.005,0.169,0.027,,,,,,,,,,,367,,0.012,,,,,,,0.0,,22.0,,,,0.201,0.012,11.48,0.000,1.0,20,0.005,0.126,0.000,3.72,0.00,,3.72,0.00,,,,,,,,1.089,268.0,,,,,,,,72.0,87.0,,,,,,,,0,0.201,17.0,,,,0.00,8.4,,0.00,8.4,,12.52,,,0.0,,,,,,,,,0.0,,17.0,0.0,,,,,,0.0,,5.0,,,,,
146,"""27043""","Soup, clam chowder, new england, reduced sodium, canned, ready-to-serve",519.0,1.0 can,3.638,10.364,0.00,0.0,0.078,,0.016,,31,,,,,,,,,,,,,,,,4.2,,104,,,,,,,36,,0,,,,2.190,0.13,,0.971,1.214,0.00,,,,,,,,,,1521,,0.130,,,,,,,,,,,,,0.078,0.093,24.03,4.713,42.6,42,0.031,0.675,,6.38,,0.000,6.38,,0.000,,,,,0.042,0.0,8.844,1749.0,,,,,,,,171.0,363.0,,,,,,,,0,0.394,31.0,,,,0.00,34.3,,0.00,34.3,,29.48,,,0.0,,,,,,,,,0.0,,67.0,4.458,,,,,,0.0,,17.1,,,,0.0,
147,"""06001""","Soup, cream of asparagus, canned, condensed",126.0,0.5 cup (4 fl oz),1.033,1.840,,0.91,0.054,0.164,0.038,,24,,,,0.112,,,,,,,,,,,,0.5,,411,,,,,,,6,,0,,,,0.781,0.126,,0.214,0.050,,,,,,,,0.078,,,364,,0.151,,,,,,,,,,,,,0.078,0.000,0.05,0.945,27.7,33,0.038,0.013,,2.96,,0.000,2.96,,0.000,,,,,,,1.789,174.0,,0.207,4.11,0.05,,,,556.0,87.0,,0.029,,5.0,0.076,,2.4,0,0.378,24.0,0.097,0.428,39.0,0.00,16.4,0.106,0.00,16.4,0.106,10.74,,,0.0,,,,,,0.086,,0.050,0.0,0.115,4.0,0.869,0.049,,,,,0.0,,2.8,,,,,
148,"""06201""","Soup, cream of asparagus, canned, prepared with equal volume milk",248.0,1.0 cup (8 fl oz),3.323,2.232,,,,,0.099,,30,,,,0.432,,,,,,,,,,,,0.7,,,,,,,,,40,,,,,,0.880,0.139,,0.645,0.099,,,,,,,,0.26,,,675,,0.521,,,,,,,,,,,,,0.275,0.000,0.50,2.083,,62,0.149,0.064,,3.84,,0.000,3.84,,0.000,,,,,,,2.133,360.0,,0.598,8.18,0.124,,,,600.0,161.0,,0.084,,22.0,0.27,,,0,0.379,30.0,0.34,1.414,154.0,,,,,,,16.39,,,,,,,,,0.231,,0.124,,,,1.885,0.159,,,,,,,,,,,,
149,"""06401""","Soup, cream of asparagus, canned, prepared with equal volume water",244.0,1.0 cup (8 fl oz),1.049,1.854,,,,,0.049,,22,,,,0.112,,,,,,,,,,,,0.5,,,,,,,,,17,,,,,,0.778,0.124,,0.22,0.049,,,,,,,,0.078,,,356,,0.146,,,,,,,,,,,,,0.078,0.000,0.05,0.952,,37,0.049,0.012,,2.95,,0.000,2.95,,0.000,,,,,,,1.781,173.0,,0.205,4.1,0.049,,,,444.0,85.0,,0.029,,5.0,0.076,,,0,0.376,22.0,0.098,0.415,39.0,,,,,,,10.69,,,,,,,,,0.085,,0.049,,,,0.878,0.049,,,,,,,,,,,,
150,"""06010""","Soup, cream of celery, canned, condensed",126.0,0.5 cup,1.411,2.520,,1.7,0.029,0.125,0.050,,3,,,,0.074,,,,,,,,,,,,0.8,,195,,,,,,,11,,0,,,,0.334,0.142,,0.29,0.076,,,,,,,,0.059,,,379,,0.202,,,,,,,,,,,,,0.049,0.000,0.05,1.298,21.7,28,0.050,0.013,,2.81,,0.000,2.81,,0.000,,,,,,,2.444,123.0,,0.139,5.62,0.063,,,,355.0,91.0,,0.019,,14.0,0.054,,2.3,0,0.252,3.0,0.078,0.58,38.0,0.00,11.3,0.076,0.00,11.3,0.076,8.86,,,0.0,,,,,,0.059,,0.063,0.0,0.089,6.0,1.197,0.039,,,,,0.0,,0.3,,,,,
151,"""06210""","Soup, cream of celery, canned, prepared with equal volume milk",248.0,1.0 cup (8 fl oz),3.943,2.654,,,,,0.124,,7,,,,0.394,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.436,0.154,,0.769,0.124,,,,,,,,0.241,,,684,,0.620,,,,,,,,,,,,,0.248,0.000,0.50,2.455,,,0.174,0.064,,3.7,,0.000,3.7,,0.000,,,,,,,2.53,310.0,,0.528,9.7,0.149,,,,461.0,164.0,,0.074,,32.0,0.248,,4.7,0,0.253,7.0,0.322,1.662,151.0,,,,,,,14.53,,,,,,,,,0.206,,0.149,,,,2.232,0.149,,,,,,,,,,,,
152,"""06410""","Soup, cream of celery, canned, prepared with equal volume water",248.0,1.0 cup,1.438,2.554,,,,,0.050,,2,,,,0.074,,,,,,,,,,,,0.7,,,,,,,,,,,,,,,0.337,0.144,,0.298,0.074,,,,,,,,0.06,,,384,,0.198,,,,,,,,,,,,,0.050,0.000,0.25,1.314,,,0.050,0.012,,2.85,,0.000,2.85,,0.000,,,,,,,2.48,124.0,,0.141,5.68,0.05,,,,312.0,92.0,,0.02,,15.0,0.055,,2.2,0,0.255,2.0,0.079,0.57,37.0,,,,,,,8.98,,,,,,,,,0.06,,0.050,,,,1.215,0.040,,,,,,,,,,,,
153,"""06016""","Soup, cream of chicken, canned, condensed",126.0,0.5 cup (4 fl oz),2.138,1.339,,0.68,0.016,0.265,0.050,,3,,,,0.215,,,,,,0.044,0.782,0.243,0.082,,0.013,0.0,,1,,,,0.013,,0.0,52,,0,,,,0.494,0.161,0.033,0.378,0.044,,0.033,3,0.005,0.033,3,0.005,0.131,,,475,,0.108,,,,,,,,,,,,,0.058,,0.00,2.591,5.2,54,0.023,0.000,0.014,2.46,,0.040,2.46,,0.040,,,,,,,1.261,62.0,,0.258,7.27,0.386,,,,229.0,113.0,,0.043,,10.0,0.118,0.010,2.4,0,0.086,3.0,0.171,1.39,39.0,0.00,13.0,0.151,0.00,13.0,0.151,9.02,,,0.0,,,,,,0.168,,0.011,0.0,0.174,5.0,1.962,0.092,,,,,0.0,,0.1,,,,,
154,"""06955""","Soup, cream of chicken, canned, condensed, reduced sodium",124.0,0.5 cup,0.62,0.496,,0.48,0.006,,0.011,,5,,,,,,,,,,,,,,,,0.5,,9,,,,,,,5,,0,,,,0.790,0.042,,0.143,0.021,,,,,,,,,,,301,,0.063,,,,,,,,,,,,,0.027,0.000,0.06,0.496,0.9,31,0.016,0.015,,1.86,,0.000,1.86,,0.000,,,,,,,0.288,337.0,,,,,,,,536.0,72.0,,,,,,,,0,0.068,5.0,,,,0.00,10.5,,0.00,10.5,,11.78,,,117.0,0,,,,,,,,0.0,,2.0,0.458,,,,,,0.0,,,,,,,
155,"""06216""","Soup, cream of chicken, canned, prepared with equal volume milk",248.0,1.0 cup (8 fl oz),4.638,1.637,,,,,0.124,,7,,,,0.533,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,0.923,0.139,,0.893,0.124,,,,,,,,0.312,,,799,,0.570,,,,,,,,,,,,,0.258,0.000,0.55,4.464,,,0.149,0.067,,3.74,,0.000,3.74,,0.000,,,,,,,1.513,273.0,,0.647,11.46,0.397,,,,714.0,191.0,,0.099,,27.0,0.312,,,0,0.379,7.0,0.414,2.381,151.0,,,,,,,14.98,,,,,,,,,0.312,,0.124,,,,3.968,0.201,,,,,,,,,,,,
156,"""06416""","Soup, cream of chicken, canned, prepared with equal volume water",244.0,1.0 cup,2.074,1.488,,,,,0.049,,2,,,,0.215,,,,,,,,,,,,0.2,,,,,,,,,161,,,,,,0.820,0.124,,0.415,0.073,,,,,,,,0.129,,,490,,0.146,,,,,,,,,,,,,0.061,0.000,0.10,3.270,,163,0.024,0.017,,2.85,,0.000,2.85,,0.000,,,,,,,1.415,88.0,,0.256,7.37,0.293,,,,561.0,117.0,,0.041,,10.0,0.117,,,0,0.376,2.0,0.171,1.318,37.0,,,,,,,9.27,,,,,,,,,0.166,,0.024,,,,2.952,0.093,,,,,,,,,,,,
157,"""06483""","Soup, cream of chicken, dry, mix, prepared with water",261.0,1.0 cup 8 fl oz,3.393,0.418,,4.15,0.104,,0.000,,5,,,,,,,,,,,,,,,,0.3,,130,,,,,,,,,0,,,,2.610,0.261,,0.496,0.000,,,,,,,,,,,449,,0.548,,,,,,,,,,,,,0.204,0.000,0.26,1.175,14.6,21,1.357,0.052,,3.18,,0.000,3.18,,0.000,,,,,,,0.418,214.0,,,,,,,,407.0,107.0,,,,,,,,0,0.783,5.0,,,,0.00,14.1,,0.00,14.1,,13.34,,,13.0,0,,,,,,,,0.0,,5.0,1.07,,,,,,0.0,,0.5,,,,,
158,"""06043""","Soup, cream of mushroom, canned, condensed",126.0,0.5 cup,1.215,3.655,0.00,0.5,0.015,0.073,0.005,0.000,3,0.415,0.63,0.049,0.037,0.000,,0.0,0.013,0.035,0.0,0.650,0.098,0.004,,0.003,0.9,0.000,5,,,,,,,3,,0,,1.7,0,0.435,0.028,0.008,0.3,0.428,0.00,0.004,3,0.000,0.004,3,0.000,0.037,0.014,0.00,417,0.013,0.045,,,,0.015,106.72,0,5.52,0.037,15.0,0.001,0,0.008,0.020,,0.00,1.536,24.7,3,0.009,0.019,0.021,2.33,1.50,0.000,2.33,1.50,0.000,0.013,871.0,0.009,,,0.0,3.223,81.0,,0.073,6.68,0.013,0.015,,0.00,10.0,100.0,0.000,0.013,5.82,0.0,0.037,0.021,3.7,0,0.047,3.0,0.024,0.767,30.0,0.00,12.2,0.062,0.00,12.2,0.062,8.57,0.000,,0.0,11,1.468,3.203,,0.186,0.062,0.3,0.010,0.3,0.037,4.0,1.481,0.024,,,0.000,0.029,0.0,,,0.03,0.024,0.004,0.5,0.005
159,"""06182""","Soup, cream of mushroom, canned, condensed, reduced sodium",251.0,1.0 cup,1.33,1.406,,5.35,0.105,,0.025,,20,,,,,,,,,,,,,,,,1.5,,0,,,,,,,5,,0,,,,0.427,0.552,,0.259,0.090,,,,,,,,,,,547,,0.141,,,,,,,,,,,,,0.482,0.000,0.05,1.104,1.0,5,0.043,0.100,,4.24,,0.000,4.24,,0.000,,,,,,,1.33,939.0,,,,,,,,20.0,131.0,,,,,,,,5,0.148,25.0,,,,0.00,24.3,,0.00,24.3,,20.33,,,0.0,,,,,,,,,0.0,,13.0,1.057,,,,,,0.0,,,,,,,
160,"""06243""","Soup, cream of mushroom, canned, prepared with equal volume low fat (2%) milk",252.0,1.0 serving 1 cup,2.812,3.616,0.00,7.11,0.066,0.479,0.058,,8,,,,0.396,,,0.0,,0.035,0.005,1.595,0.464,0.010,,,0.8,,5,,,,,,,76,,0,,5.95,0,0.539,0.033,0.023,0.607,0.423,0.00,0.023,8,0.005,0.023,8,0.005,0.219,,0.00,683,,0.272,,,,,,,5.32,0.121,171.0,,,,0.262,0.000,0.71,2.210,24.2,76,0.081,0.068,0.023,3.18,1.44,0.000,3.18,1.44,0.000,,,,0.03,,0.0,3.185,260.0,,0.496,9.02,0.048,,,,257.0,164.0,,0.068,,10.0,0.255,0.025,6.8,0,0.063,8.0,0.247,1.469,149.0,0.00,33.3,0.320,0.00,33.3,0.320,14.52,,,0.0,73,,,,,0.181,,0.073,1.8,0.318,18.0,2.089,0.154,,,,,0.0,,0.3,0.03,0.136,0.030,7.03,
161,"""06443""","Soup, cream of mushroom, canned, prepared with equal volume water",248.0,1.0 serving 1 cup,1.171,3.522,,0.5,0.015,,0.005,,2,,,,,,,,,,,,,,,,0.7,,5,,,,,,,2,,0,,,,0.419,0.04,,0.29,0.414,,,,,,,,,,,402,,0.045,,,,,,,,,,,,,0.020,,0.00,1.481,23.8,2,0.007,0.017,,2.38,,0.000,2.38,,0.000,,,,,,,3.105,77.0,,,,,,,,10.0,97.0,0.000,,,,,,,0,0.045,2.0,,,,0.00,11.7,,0.00,11.7,,8.26,,,0.0,10,,,,,,,,0.2,,5.0,1.426,,,,,,0.0,,,,,,,
162,"""06968""","Soup, cream of mushroom, low sodium, ready-to-serve, canned",244.0,1.0 cup,2.452,4.243,,4.2,0.049,,0.024,,12,,,,,,,,,,,,,,,,0.5,,0,,,,,,,17,,0,,,,0.732,0.124,,0.32,0.024,,,,,,,,,,,542,,0.171,,,,,,,,,,,,,0.098,0.000,0.05,1.718,2.0,17,,0.024,,1.15,,0.000,1.15,,0.000,,,,,,,4.194,100.0,,,,,,,,59.0,129.0,,,,,,,,5,,20.0,,,,0.00,14.2,,0.00,14.2,,11.05,,,0.0,,,,,,,,,0.0,,5.0,1.62,,,,,,0.0,,1.0,,,,,
163,"""06046""","Soup, cream of onion, canned, condensed",126.0,0.5 cup,1.474,1.462,,4.59,0.050,,0.025,,8,,,,,,,,,,,,,,,,0.5,,13,,,,,,,34,,0,,,,0.504,0.139,,0.391,0.101,,,,,,,,,,,464,,0.139,,,,,,,,,,,,,0.076,0.000,0.05,2.104,2.8,35,0.038,0.025,,2.77,,0.000,2.77,,0.000,,,,,,,1.348,123.0,,,,,,,,142.0,111.0,,,,,,,,0,0.252,8.0,,,,0.00,14.4,,0.00,14.4,,13.1,,,0.0,,,,,,,,,0.0,,6.0,2.041,,,,,,0.0,,1.3,,,,,
164,"""06246""","Soup, cream of onion, canned, prepared with equal volume milk",248.0,1.0 cup (8 fl oz),4.042,1.587,,,,,0.099,,22,,,,,,,,,,,,,,,,0.7,,,,,,,,,35,,,,,,0.605,0.149,,0.893,0.174,,,,,,,,,,,779,,0.570,,,,,,,,,,,,,0.273,0.000,0.50,3.274,,52,0.149,0.074,,3.72,,0.000,3.72,,0.000,,,,,,,1.438,310.0,,,,,,,,451.0,186.0,,,,,,,,0,0.248,22.0,,,,,,,,,,18.35,,,,,,,,,,,,,,,3.05,,,,,,,,,,,,,
165,"""06446""","Soup, cream of onion, canned, prepared with equal volume water",244.0,1.0 cup (8 fl oz),1.464,,,,,,0.024,,7,,,,,,,,,,,,,,,,1.0,,,,,,,,,0,,,,,,0.503,0.146,,0.39,0.098,,,,,,,,,,,449,,0.146,,,,,,,,,,,,,0.076,,0.05,2.098,,15,0.049,0.024,,2.68,,,2.68,,,,,,,,,1.342,120.0,,,,,,,,295.0,107.0,,,,,,,,0,0.244,7.0,,,,,,,,,,12.69,,,,,,,,,,,,,,,2.05,,,,,,,,,,,,,
166,"""06053""","Soup, cream of potato, canned, condensed",124.0,0.5 cup,1.203,0.409,,1.79,0.035,0.117,0.050,,2,,,,0.082,,,,,,,,,,,,1.6,,6,,,,,,,24,,0,,,,0.533,0.248,,0.186,0.037,,,,,,,,0.061,,,382,,0.174,,,,,,,,,,,,,0.036,0.000,0.05,0.546,1.4,24,0.050,0.037,,2.26,,0.000,2.26,,0.000,,,,,,,0.372,205.0,,0.128,2.33,0.025,,,,84.0,92.0,,0.025,,1.0,0.061,,2.4,0,0.372,2.0,0.076,0.521,51.0,0.00,10.8,0.083,0.00,10.8,0.083,15.86,,,0.0,,,,,,0.074,,0.050,0.0,0.092,16.0,0.484,0.038,,,,,0.0,,0.2,,,,,
167,"""06253""","Soup, cream of potato, canned, prepared with equal volume milk",248.0,1.0 cup (8 fl oz),3.77,0.570,,,,,0.124,,10,,,,0.402,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.642,0.263,,0.694,0.099,,,,,,,,0.243,,,622,,0.595,,,,,,,,,,,,,0.236,0.000,0.50,1.736,,,0.174,0.089,,3.65,,0.000,3.65,,0.000,,,,,,,0.471,322.0,,0.521,6.45,0.124,,,,444.0,149.0,,0.082,,22.0,0.255,,,0,0.379,10.0,0.32,1.612,161.0,,,,,,,17.16,,,,,,,,,0.221,,0.149,,,,1.513,0.149,,,,,,,,,,,,
168,"""06453""","Soup, cream of potato, canned, prepared with equal volume water",244.0,1.0 cup (8 fl oz),1.22,0.415,,,,,0.049,,2,,,,0.083,,,,,,,,,,,,0.5,,,,,,,,,66,,,,,,0.539,0.251,,0.195,0.024,,,,,,,,0.061,,,307,,0.171,,,,,,,,,,,,,0.037,0.000,0.05,0.561,,71,0.049,0.037,,2.78,,0.000,2.78,,0.000,,,,,,,0.39,137.0,,0.129,2.37,0.024,,,,288.0,73.0,,0.024,,5.0,0.061,,,0,0.376,2.0,0.076,0.512,46.0,,,,,,,11.47,,,,,,,,,0.076,,0.049,,,,0.488,0.039,,,,,,,,,,,,
169,"""06056""","Soup, cream of shrimp, canned, condensed",126.0,0.5 cup,3.251,0.189,,,,,0.101,,4,,,,,,,,,,,,,,,,0.3,,,,,,,,,38,,,,,,0.428,0.126,,0.63,0.076,,,,,,,,,,,379,,0.529,,,,,,,,,,,,,0.028,,0.59,1.499,,40,0.151,0.038,,2.85,,,2.85,,,,,,,,,0.126,59.0,,,,,,,,159.0,91.0,,,,,,,,0,0.378,4.0,,,,,,,,,,8.23,,,,,,,,,,,,,,,1.31,,,,,,,,,,,,,
