,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g)_x,"Tocopherol, delta (mg)_x",22:1 undifferentiated (g)_x,Ash (g)_y,"Tocopherol, delta (mg)_y",22:1 undifferentiated (g)_y,16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
124,"""06128""","Soup, chicken noodle, dry, mix",74.0,1.0 packet,1.457,1.035,0.00,1.41,0.425,0.856,0.000,,7,,,,0.596,,,,,,0.007,2.874,0.823,0.026,,0.007,2.4,,32,,,,0.003,,0.0,6,,0,,,,3.611,0.212,0.015,0.296,0.037,0.00,0.015,85,,0.015,85,,0.451,,0.58,1166,,0.081,,,,,,,0.49,0.493,41.0,,,,0.282,0.001,0.56,1.678,0.1,6,0.019,0.175,0.007,7.99,0.00,0.007,7.99,0.00,0.007,,,,,0.001,0.0,0.958,226.0,,0.971,4.82,0.174,,,,33.0,279.0,,0.108,37.61,55.0,0.35,0.000,24.0,46,0.346,53.0,0.508,0.999,144.0,0.00,45.7,0.548,0.00,45.7,0.548,46.12,,,3.0,0,,,,,0.651,,0.015,0.0,0.565,28.0,1.427,0.296,,,,,0.0,,,,,,0.0,
125,"""06528""","Soup, chicken noodle, dry, mix, prepared with water",245.0,1.0 cup,0.299,0.380,,0.76,0.198,,0.000,,2,,,,,,,,,,,,,,,,0.2,,20,,,,,,,,,0,,,,1.056,0.034,,0.069,0.020,,,,,,,,,,,235,,0.005,,,,,,,,,,,,,0.073,0.000,0.05,0.502,3.4,2,0.000,0.025,,1.91,,0.000,1.91,,0.000,,,,,,,0.348,32.0,,,,,,,,27.0,56.0,,,,,,,,15,0.078,17.0,,,,0.00,12.0,,0.00,12.0,,8.99,,,2.0,0,,,,,,,,0.0,,7.0,0.456,,,,,,0.0,,,,,,,
126,"""06966""","Soup, chicken noodle, low sodium, canned, prepared with equal volume water",248.0,1.0 serving 1 cup,0.65,0.655,,0.67,0.136,,0.000,,5,,,,,,,,,,0.01,,,0.020,,0.005,0.5,,10,,,,,,,2,,0,,,,1.339,0.159,0.005,0.131,0.045,,0.005,30,0.002,0.005,30,0.002,,,,263,,0.012,,,,,,,,,,,,,0.112,0.000,0.05,1.037,0.0,27,0.002,0.050,0.005,2.5,,0.010,2.5,,0.010,,,,,,,0.595,55.0,,,,,,,,498.0,62.0,,,,,,,,15,0.126,20.0,,,,0.00,13.6,,0.00,13.6,,7.32,,,0.0,,,,,,,,,0.0,,10.0,0.843,,,,,,0.0,,,,,,,
127,"""27044""","Soup, chicken noodle, reduced sodium, canned, ready-to-serve",245.0,1.0 cup,0.965,0.796,0.00,0.83,0.078,,0.000,,10,,,,,,,,,,,,,,,,2.0,,142,,,,,,,2,,0,,,,3.420,0.061,,0.201,0.039,0.00,,,,,,,,,,416,,0.017,,,,,,,,,,,,,0.054,0.002,0.37,1.455,5.6,120,0.000,0.147,,2.62,,0.000,2.62,,0.000,,,,,0.002,0.0,0.718,698.0,,,,,,,,2362.0,100.0,,,,,,,,10,0.130,20.0,,,,0.00,14.0,,0.00,14.0,,9.41,,,348.0,0,,,,,,,,0.0,,20.0,1.25,,,,,,0.0,,1.0,,,,0.0,
128,"""06022""","Soup, chicken rice, canned, chunky, ready-to-serve",240.0,1.0 cup,0.96,0.672,,1.44,0.024,,0.000,,5,,,,,,,,,,,,,,,,1.0,,230,,,,,,,2,,0,,,,4.104,0.24,,0.192,0.024,,,,,,,,,,,533,,0.024,,,,,,,,,,,,,0.098,0.000,0.31,1.440,17.3,293,0.000,0.048,,3.29,,0.000,3.29,,0.000,,,,,,,0.624,108.0,,,,,,,,5803.0,127.0,,,,,,,,0,0.240,5.0,,,,0.00,11.8,,0.00,11.8,,12.98,,,1270.0,0,,,,,,,,0.0,,10.0,1.2,,,,,,0.0,,3.8,,,,,
129,"""06208""","Soup, chicken vegetable with potato and cheese, chunky, ready-to-serve",245.0,1.0 cup,4.008,2.386,,1.57,0.037,,0.091,,22,,,,,,,,,,,,,,,,0.7,,81,,,,,,,,,0,,,,0.848,0.098,,0.899,0.225,,,,,,,,,,,666,,0.502,,,,,,,,,,,,,0.042,0.000,0.05,3.932,5.6,47,0.125,0.103,,3.21,,0.000,3.21,,0.000,,,,,,,2.134,179.0,,,,,,,,919.0,159.0,,,,,,,,0,,22.0,,,,0.00,29.4,,0.00,29.4,,12.74,,,189.0,0,,,,,,,,0.0,,12.0,3.692,,,,,,0.0,,9.8,,,,,
130,"""06025""","Soup, chicken vegetable, canned, condensed",121.0,0.5 cup,0.835,0.593,,1.52,0.044,0.227,0.000,,5,,,,0.219,,,,,,,,,,,,0.8,,88,,,,,,,2,,0,,,,1.215,0.12,,0.169,0.024,,,,,,,,0.111,,,309,,0.024,,,,,,,,,,,,,0.056,0.000,0.12,1.258,4.0,132,0.000,0.047,,2.69,,0.000,2.69,,0.000,,,,,,,0.544,152.0,,0.204,2.81,0.157,,,,2585.0,74.0,,0.03,,8.0,0.093,,5.4,0,0.363,5.0,0.134,0.605,40.0,0.00,10.8,0.122,0.00,10.8,0.122,8.48,,,564.0,0,,,,,0.167,,0.000,0.0,0.157,6.0,1.053,0.079,,,,,0.0,,1.0,,,,,
131,"""06023""","Soup, chicken with rice, canned, condensed",126.0,0.5 cup,0.466,0.428,,0.29,0.018,,0.000,,1,,,,,,,,,,,,,,,,1.1,,8,,,,,,,,,0,,,,1.157,0.121,,0.088,0.013,,,,,,,,,,,359,,0.013,,,,,,,,,,,,,0.025,0.000,0.16,0.932,0.4,32,0.000,0.025,,2.37,,0.000,2.37,,0.000,,,,,,,0.403,43.0,,,,,,,,627.0,86.0,,,,,,,,0,0.378,1.0,,,,0.00,12.3,,0.00,12.3,,14.58,,,106.0,0,,,,,,,,0.0,,13.0,0.857,,,,,,0.0,,,,,,,
132,"""06423""","Soup, chicken with rice, canned, prepared with equal volume water",243.0,1.0 serving 1 cup,0.45,0.413,,0.19,0.017,,,,0,,,,,,,,,,,,,,,,0.7,,7,,,,,,,,,0,,,,1.115,0.129,,0.085,0.012,,,,,,,,,,,248,,0.012,,,,,,,,,,,,,0.024,0.000,0.17,0.899,0.2,22,0.000,0.024,,2.41,,0.000,2.41,,0.000,,,,,,,0.389,100.0,,,,,,,,413.0,58.0,,,,,,,,,0.364,0.0,,,,0.00,11.9,,0.00,11.9,,7.1,,,95.0,0,,,,,,,,,,0.0,0.826,,,,,,0.0,,0.2,,,,,
133,"""06015""","Soup, chicken, canned, chunky, ready-to-serve",245.0,1.0 cup,1.936,1.347,,2.13,0.083,0.902,0.000,,5,,,,0.833,,,,,,,,,,,,1.5,,137,,,,,,,5,,0,,,,4.312,0.245,,0.392,0.073,,,,,,,,0.426,,,728,,0.049,,,,,,,,,,,,,0.169,0.000,0.24,2.891,6.1,66,0.000,0.049,,3.21,,0.000,3.21,,0.000,,,,,,,1.274,172.0,,0.816,6.47,0.367,,,,1252.0,174.0,,0.12,,29.0,0.319,,6.1,0,0.245,5.0,0.539,1.396,110.0,0.00,18.4,0.419,0.00,18.4,0.419,16.86,,,255.0,0,,,,,0.644,,0.000,0.0,0.613,7.0,2.425,0.304,,,,,0.0,,1.2,,,,,
