,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
67,"""22401""","Spaghetti with meat sauce, frozen entree",283.0,1.0 serving,0.99,0.906,,7.36,0.345,1.245,0.0,,25,,,,0.577,,,,,,0.0,5.230,1.104,,,0.000,5.1,,20,,,,,,0.000,,,0,0.011,14.29,9056.0,0.501,0.354,0.006,0.26,0.079,,0.003,204,0.000,0.003,204,0.000,0.594,,,1067,,0.057,0.0,3.54,0.286,,,,,,,,,,3.772,0.000,0.17,0.934,2.0,25,0.003,0.198,,2.49,,0.000,,,,,,,,,,0.812,408.0,,1.678,2.86,0.068,,,,492.0,255.0,0.000,0.224,,17.0,0.376,0.003,33.7,105.0,0.603,130.0,0.679,0.634,139.0,0.0,34.5,0.784,0.0,34.5,0.784,43.13,,,0.0,,,,,,0.756,,0.003,0.0,0.750,42.0,0.841,0.399,,,,,0.0,,15.3,,,,,
68,"""22912""","Spaghetti, with meatballs in tomato sauce, canned",246.0,1.0 cup,3.589,1.385,3.25,7.16,0.199,0.659,0.0,0.010,20,0.049,1.23,0.394,0.322,0.000,,0.42,0.229,0.039,0.0,2.578,0.790,0.037,,0.025,6.6,0.005,192,2.2,0.05,0.455,,,,12,,0,0.145,10.75,8494.0,4.962,0.13,0.052,1.188,0.052,3.08,0.027,71,0.017,0.027,71,0.017,0.29,0.002,0.00,1033,0.246,0.189,,,,0.032,193.85,0,0.25,0.465,71.0,0.017,347,0.025,0.162,0.000,0.47,4.017,4.4,42,0.015,0.17,0.005,3.1,0.00,,,,,0.241,689.0,0.007,,0.007,0.0,1.252,534.0,15.5,0.883,10.11,0.258,0.032,,0.84,649.0,246.0,0.000,0.079,18.13,17.0,0.276,0.017,22.1,32.0,0.354,49.0,0.298,2.069,140.0,0.0,25.8,0.428,0.0,25.8,0.428,28.17,0.000,,37.0,20,3.422,1.188,,0.721,0.477,,0.022,0.5,0.359,32.0,3.653,0.204,2.0,0.012,0.022,0.278,0.0,,4.7,0.0,0.160,,0.0,0.032
69,"""32021""","Spanish rice mix, dry mix, prepared (with canola/vegetable oil blend or diced tomatoes and margarine)",198.0,1.0 cup,0.766,1.717,1.27,3.54,0.568,,0.0,0.002,,0.238,1.33,,,,,0.16,0.190,0.026,0.0,,,,,0.002,3.0,0.000,202,0.0,,,,,,,,,,,,4.845,0.121,0.004,0.216,0.247,1.21,0.0,,,0.0,,,,,,1040,0.190,0.010,,,,0.016,139.11,38,1.74,,36.0,0.000,230,0.002,0.267,0.000,,1.651,5.7,20,0.0,0.19,0.016,2.67,0.44,0.000,,,,0.006,691.0,0.0,0.00,,,1.465,366.0,,,,,0.016,,0.51,412.0,248.0,0.000,,,,,,,,,,,,,,,,,,,45.03,0.000,,0.0,,1.428,1.447,,0.422,,,,,,,1.618,,1.4,,0.0,0.206,,,,0.08,,0.000,0.0,0.002
70,"""32018""","Spanish rice mix, dry mix, unprepared",70.0,0.5 cup,0.277,0.423,0.64,2.68,0.575,,0.0,,,0.02,0.60,,,,,0.27,0.011,0.003,0.0,,,0.000,,0.001,2.2,0.000,172,0.0,0.04,,,,,,,,,,,5.025,0.133,0.001,0.026,0.020,0.95,0.0,,,0.0,,,,,,1063,0.011,0.008,,,,0.004,5.09,36,0.1,,20.0,0.000,178,0.001,0.202,0.000,,0.239,1.9,16,0.0,0.174,0.004,2.83,0.01,0.000,,,,0.001,760.0,0.001,0.00,,,0.402,312.0,,,,,0.004,,0.43,328.0,254.0,0.000,,,,,,,,,,,,,,,,,,,53.52,0.000,,1.0,,0.223,0.397,,0.438,,,,,,,0.235,,0.0,0.000,0.001,0.015,,,,0.11,,0.000,0.0,0.001
71,"""32007""","Taquitos, frozen, beef and cheese, oven-heated",42.0,1.0 piece,1.101,1.759,0.13,0.7,0.139,0.286,0.008,0.001,2,0.258,0.53,0.176,0.172,0.000,,0.21,0.042,0.066,0.0,1.021,0.235,0.008,,0.002,1.2,0.000,50,0.6,0.09,0.151,,,,10,,0,0.000,3.95,173.0,1.486,0.043,0.012,0.268,0.258,0.10,0.01,47,0.001,0.01,47,0.001,0.109,0.000,0.35,504,0.045,0.076,,,,0.017,17.83,15,1.44,0.164,41.0,0.003,43,0.008,0.13,0.000,0.12,2.153,9.2,15,0.015,0.075,0.013,0.79,0.36,0.000,,,,0.039,192.0,0.013,,0.001,0.0,1.491,73.0,,0.378,5.37,0.042,0.017,,0.13,119.0,121.0,0.000,0.042,12.39,5.0,0.097,0.019,6.5,26.0,0.152,29.0,0.147,0.646,58.0,0.0,7.9,0.172,0.0,7.9,0.172,14.05,0.000,,0.0,,1.986,1.47,,0.144,0.185,,0.012,0.0,0.168,10.0,2.028,0.101,0.0,0.001,0.003,0.062,0.0,,,0.0,0.071,0.004,0.0,0.005
72,"""32006""","Taquitos, frozen, chicken and cheese, oven-heated",42.0,1.0 piece,0.97,1.779,0.05,0.55,0.139,0.301,0.007,0.001,10,0.249,0.47,0.176,0.197,0.000,,0.21,0.018,0.064,0.0,1.071,0.263,0.003,,0.002,1.2,0.000,47,,,,,,,10,,0,0.000,3.87,56.0,1.617,0.042,0.006,0.226,0.249,0.04,0.003,42,0.001,0.003,42,0.001,0.113,0.000,0.33,499,0.020,0.055,,,,0.01,17.95,11,1.28,0.171,44.0,0.001,26,0.006,0.116,0.000,0.08,2.031,7.1,13,0.013,0.059,0.013,0.79,0.32,0.000,,,,0.039,190.0,0.012,,,0.0,1.52,65.0,,0.481,5.27,0.04,0.01,,0.13,87.0,119.0,0.000,0.042,12.44,5.0,0.105,0.018,7.0,18.0,0.163,29.0,0.15,0.595,55.0,0.0,6.7,0.197,0.0,6.7,0.197,14.12,0.000,,0.0,1,1.902,1.508,,0.202,0.201,,0.011,0.0,0.180,10.0,1.921,0.105,,0.001,0.005,0.030,0.0,0.01,,0.0,0.079,0.003,0.0,0.002
73,"""22901""","Tortellini, pasta with cheese filling, fresh-refrigerated, as purchased",81.0,0.75 cup,2.916,0.373,,0.77,0.254,,0.072,,10,,,,,,,,,,,,,,,,1.5,,26,,,,,,,30,,0,,,,2.184,0.065,,0.433,0.068,,,,,,,,,,,1040,,0.484,,,,,,,,,,,,,0.251,0.000,0.13,1.673,1.1,31,0.129,0.035,,1.43,,0.000,,,,,,,,,,0.301,72.0,,,,,,,,116.0,249.0,,,,,,,,50.0,,60.0,,,,0.0,4.4,,0.0,4.4,,38.07,,,0.0,,,,,,,,,0.0,,17.0,1.476,,,,,,0.0,,,,,,,
74,"""22528""","Turkey Pot Pie, frozen entree",397.0,1.0 package yields,11.434,5.479,,,,,,,,,,,,,,,,,,,,,,,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2922,,,,,,,,,,,,,,,,,,13.736,,,,,,5.16,,,,,,,,,,,,,,,,,,,,,7015.0,699.0,,,,,,,,,,,,,,,,,,,,70.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"""22957""","Turkey, stuffing, mashed potatoes w/gravy, assorted vegetables, frozen, microwaved",385.0,1.0 serving,3.376,4.185,3.93,18.56,0.531,1.960,0.0,,62,,,,1.91,,,0.0,,,0.0,5.017,2.556,,,0.000,5.0,,1259,,,,,,,131,,0,,,,11.769,0.216,0.000,0.912,0.393,6.51,0.0,112,,0.0,112,,1.043,,0.00,2064,,0.193,,,,,,,3.93,1.024,104.0,,,,0.97,0.000,1.27,4.755,44.3,169,0.038,0.681,0.000,6.39,1.46,0.000,,,,,,,,,,3.715,886.0,24.6,1.294,14.98,0.212,,,,1228.0,493.0,0.000,0.4,,54.0,0.689,0.000,30.4,27.0,0.604,92.0,1.136,2.202,408.0,0.0,65.8,1.070,0.0,65.8,1.070,62.83,,,0.0,8,,,,,1.49,,0.027,0.4,1.244,69.0,4.543,0.755,,,,,0.0,,3.1,0.0,0.601,,0.0,
76,"""32015""","Turnover, cheese-filled, tomato-based sauce, frozen, unprepared",127.0,1.0 serving 4.5 oz,5.999,1.448,,9.99,0.3,,0.062,0.000,27,,,,,,,,,,0.0,,,0.000,,0.001,2.0,,64,,,,,,0.000,56,,0,,,,2.0,0.118,0.000,1.044,0.175,,0.0,117,,0.0,117,,,,,1250,,0.798,,,,,,,,,,,,,0.255,0.000,1.19,3.828,19.6,66,0.222,0.121,0.001,3.35,,0.000,,,,,,,,,,1.266,227.0,,,,,,,,395.0,298.0,0.000,,,,,,,53.0,,80.0,,,,0.0,18.9,,0.0,18.9,,34.66,,,3.0,6,,,,,,,,0.1,,29.0,3.481,,,,,,0.0,,,,,,,
77,"""32026""","Turnover, chicken- or turkey-, and vegetable-filled, reduced fat, frozen",127.0,1.0 piece turnover 1 serving,3.5,0.749,,5.0,0.297,1.020,0.09,0.004,37,,,,0.781,,,,,,0.0,2.855,1.020,0.009,0.000,0.003,3.9,,255,,,,,,0.000,44,,0,,9.99,0.0,3.877,0.14,0.032,0.657,0.056,,0.046,77,0.009,0.046,77,0.009,0.519,,,893,,0.507,,,,,,,,,,,,,0.249,0.003,0.18,1.787,17.0,51,0.166,0.293,0.004,1.98,,0.000,,,,,,,,,,0.65,212.0,,1.104,7.0,0.11,,,,282.0,213.0,0.000,0.206,,20.0,0.469,0.009,24.0,24.0,,61.0,0.591,1.67,204.0,0.0,10.8,0.536,0.0,10.8,0.536,27.61,,,4.0,,,,,,0.641,,0.14,0.1,0.674,39.0,1.607,0.380,,,,,0.0,,,,,,,
78,"""32028""","Turnover, filled with egg, meat and cheese, frozen",127.0,1.0 piece turnover 1 serving,7.0,2.564,,9.99,0.331,,0.015,0.014,15,,,,,,,,,,0.0,,,0.015,,0.065,1.0,,19,,,,,,0.000,47,,0,,,,3.462,0.081,0.024,1.384,0.131,,0.004,89,0.019,0.004,89,0.019,,,,1209,,0.762,,,,,,,,,,,,,0.284,0.000,0.42,5.458,4.8,50,1.702,0.107,0.004,2.1,,0.001,,,,,,,,,,2.286,225.0,,,,,,,,199.0,290.0,0.000,,,,,,,43.0,,58.0,,,,0.0,36.7,,0.0,36.7,,26.25,,,0.0,19,,,,,,,,0.5,,20.0,5.174,,,,,,0.0,,,,,,,
79,"""32027""","Turnover, meat- and cheese-filled, tomato-based sauce, reduced fat, frozen",127.0,1.0 piece turnover 1 serving,3.5,0.46,,5.0,0.396,,0.023,0.000,17,,,,,,,,,,0.0,,,0.000,,0.008,1.0,,41,,,,,,0.000,43,,0,,,,3.439,0.098,0.024,0.812,0.050,,0.013,114,0.000,0.013,114,0.000,,,,1142,,0.432,,,,,,,,,,,,,0.378,0.000,0.74,2.135,2.4,47,0.055,0.138,0.000,2.44,,0.006,,,,,,,,,,0.399,149.0,,,,,,,,201.0,273.0,0.000,,,,,,,57.0,,74.0,,,,0.0,26.3,,0.0,26.3,,40.5,,,0.0,6,,,,,,,,0.1,,23.0,1.941,,,,,,0.0,,,,,,,
80,"""32011""","Yellow rice with seasoning, dry packet mix, unprepared",57.0,1.0 serving (2 oz),0.0,0.475,,1.0,0.225,,0.0,,16,,,,,,,,,,0.0,,,0.000,,0.001,1.0,,1,,,,,,0.000,,,0,,,,2.0,0.155,0.000,0.0,0.243,,0.0,125,,0.0,125,,,,,817,,0.000,,,,,,,,,,,,,0.073,,0.00,0.245,0.3,5,0.0,0.331,,3.3,,0.000,,,,,,,,,,0.228,457.0,,,,,,,,100.0,196.0,0.000,,,,,,,64.0,,80.0,,,,0.0,4.8,,0.0,4.8,,42.57,,,0.0,,,,,,,,,0.0,,64.0,0.243,,,,,,0.0,,,,,,,
