,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g)_x,"Tocopherol, delta (mg)_x",22:1 undifferentiated (g)_x,Ash (g)_y,"Tocopherol, delta (mg)_y",22:1 undifferentiated (g)_y,16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
54,"""12129""","Nuts, ginkgo nuts, canned",155.0,1.0 cup (78 kernels),0.479,0.925,,,,,0.0,,51.0,,,,0.171,,,,,,,,,,,,14.4,,,,,,,,,,,0,,,,5.616,0.257,,0.023,0.033,,,,,,,,0.22,,,719,,0.009,,,,,,,,,,,,,0.084,,0.00,0.928,,26,0.0,0.307,,1.61,,0.000,1.61,,0.000,,,,,,,0.866,279.0,,0.285,2.51,0.119,,,,522.0,172.0,,0.059,,0.0,0.05,,0.8,0.0,0.105,51.0,0.172,0.431,84.0,,,,,,,34.26,,,,,,,,,0.346,,0.000,0.0,0.233,25.0,0.767,0.084,,,,,0.0,,14.1,,,,,
55,"""12128""","Nuts, ginkgo nuts, dried",28.35,1.0 oz,0.108,0.209,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,0,,,,,,3.326,0.152,,0.005,0.007,,,,,,,,0.181,,,413,,0.002,,,,,,,,,,,,,0.050,,0.00,0.21,,16,,,,0.79,,,0.79,,,,,,,,,0.196,283.0,,0.235,0.57,0.027,,,,309.0,99.0,,0.048,,0.0,0.041,,,0.0,0.062,30.0,0.142,0.097,76.0,,,,,,,20.54,,,,,,,,,0.285,,,0.0,0.192,15.0,0.173,0.069,,,,,,,,,,,,
56,"""12127""","Nuts, ginkgo nuts, raw",28.35,1.0 oz,0.09,0.175,,,,,,,,,,,0.058,,,,,,,,,,,,,,,,,,,,,0,,,,,,1.701,0.078,,0.005,0.006,,,,,,,,0.076,,,216,,0.002,,,,,,,,,,,,,0.026,,0.00,0.175,,8,,,,0.34,,,0.34,,,,,,,,,0.164,145.0,,0.098,0.48,0.022,,,,158.0,52.0,,0.02,,0.0,0.017,,,0.0,0.032,15.0,0.059,0.082,35.0,,,,,,,10.66,,,,,,,,,0.119,,,0.0,0.080,8.0,0.145,0.029,,,,,,,,,,,,
57,"""12120""","Nuts, hazelnuts or filberts",115.0,"1.0 cup, chopped",5.134,9.108,0.08,4.99,0.739,1.222,0.0,,130.0,,,,0.483,,,,,,,,,,,,11.2,,106,,,,,117,0.000,,,0,,,,2.070,1.984,0.000,1.455,0.100,0.08,0.0,130,,0.0,130,,0.572,,0.00,3023,,0.000,,,,,,,0.0,0.833,131.0,,,,0.130,,0.00,52.5,16.3,1,0.0,0.647,,2.63,0.00,,2.63,0.00,,,,,,,,9.008,782.0,0.5,0.645,69.86,0.133,,,,23.0,722.0,0.000,0.222,0.55,0.0,0.416,0.117,2.8,0.0,7.101,130.0,0.627,3.562,334.0,0.0,52.4,0.845,0.0,52.4,0.845,19.2,,,3.0,0,,,,,2.543,,0.000,0.0,0.806,187.0,52.216,0.497,0.0,,,,0.0,,7.2,,,,0.0,
58,"""12121""","Nuts, hazelnuts or filberts, blanched",28.35,1.0 oz,1.324,1.576,0.02,0.99,0.135,0.276,,,,,,,0.109,,,,,,,,,,,,3.1,,,,,,0.000,31,,0,,,,,,0.439,0.454,0.000,0.407,0.016,0.02,0.0,22,,0.0,22,,0.129,,0.00,746,,0.000,33.0,0.94,0.072,,,,0.61,0.188,42.0,,,,0.031,,0.00,13.662,,1,0.0,0.166,,0.67,0.04,0.000,0.67,0.04,0.000,,,,,,,1.559,187.0,,0.146,17.34,0.033,,,,11.0,178.0,0.000,0.05,0.26,0.0,0.094,0.017,1.2,0.0,3.586,22.0,0.141,0.9,88.0,,,,,,,4.82,,,1.0,0,,,,,0.574,,0.000,0.0,0.182,45.0,13.596,0.112,,,,,,,,,,,0.0,
59,"""12122""","Nuts, hazelnuts or filberts, dry roasted, without salt added",28.35,1.0 oz,1.279,2.399,0.02,1.39,0.096,0.303,,,,,,,0.12,,,,,,,,,,,,2.7,,,,,,0.000,29,,0,,,,,,0.581,0.496,0.000,0.36,0.017,0.02,0.0,25,,0.0,25,,0.141,,0.00,766,,0.000,31.0,1.24,0.079,,,,0.0,0.206,35.0,,,,0.035,,0.00,13.213,,1,0.0,0.176,,0.69,0.00,,0.69,0.00,,,,,,,,2.382,214.0,,0.16,17.69,0.034,,,,17.0,183.0,0.000,0.055,0.31,0.0,0.103,0.017,1.2,0.0,1.573,25.0,0.155,0.902,88.0,,,,,,,4.99,,,0.0,0,,,,,0.63,,0.000,0.0,0.200,49.0,13.141,0.123,,,,,,,,,,,0.0,
60,"""12130""","Nuts, hickorynuts, dried",120.0,1.0 cup,8.446,26.263,,,,,0.0,,48.0,,,,0.596,,,,,,,,,,,,7.7,,,,,,,,,0,,,,,,1.088,0.886,,1.699,1.256,,,,,,,,0.506,,,3299,,0.000,,,,,,,,,,,,,0.157,,0.00,39.133,,8,0.0,0.230,,2.4,,0.000,2.4,,0.000,,,,,,,24.748,523.0,,0.685,77.24,0.332,,,,157.0,788.0,,0.167,,0.0,0.545,,9.7,0.0,5.532,48.0,0.691,6.5,403.0,,,,,,,21.9,,,,,,,,,2.503,,0.000,0.0,0.876,208.0,38.413,0.467,,,,,,,,,,,,
61,"""12632""","Nuts, macadamia nuts, dry roasted, with salt added",132.0,"1.0 cup, whole or halves",15.77,1.977,0.09,5.46,0.937,,0.0,,13.0,,,,,,,,,,,,,,,,10.6,,0,,,,,191,0.000,,,0,,,,3.002,0.752,0.206,3.01,0.259,0.09,0.0,13,,0.0,13,,,,,3955,,0.882,,,,,,,0.0,,92.0,,,,0.115,,0.00,78.243,,0,0.099,0.474,0.820,2.24,0.00,0.313,2.24,0.00,0.313,,,,,,,1.72,479.0,0.4,,,,,,,0.0,945.0,0.015,,,,,,,0.0,4.008,13.0,,,,0.0,58.9,,0.0,58.9,,16.94,,,0.0,,,,,,,,,0.0,,156.0,58.578,,0.0,,,,0.0,,0.9,,,,0.0,
62,"""12132""","Nuts, macadamia nuts, dry roasted, without salt added",132.0,"1.0 cup, whole or halves",15.77,1.977,0.09,5.46,0.937,0.781,0.0,,13.0,,,,0.024,,,,,,,,,,,,10.6,,0,,,,,191,0.000,0,,,,,,3.002,0.752,0.206,3.01,0.259,0.09,0.0,13,,0.0,13,,0.48,,0.00,3967,,0.882,,,,,,,0.0,0.590,92.0,,,,0.115,,0.00,78.243,,0,0.099,0.474,0.820,1.5,0.00,0.313,1.5,0.00,0.313,,,,,,,1.72,479.0,0.4,0.607,100.43,16.797,,,,0.0,948.0,0.015,0.087,1.39,0.0,0.664,2.566,15.4,0.0,4.008,13.0,0.408,7.83,261.0,,,,,,,17.66,,,0.0,,,,,,1.822,,0.000,0.0,0.471,156.0,58.578,0.253,0.0,,,,,,,,,,0.0,
63,"""12131""","Nuts, macadamia nuts, raw",134.0,"1.0 cup, whole or halves",16.162,2.013,0.09,6.12,1.601,0.807,0.0,,15.0,,,,0.024,,,,,,,,,,,,11.5,,,,,,,145,0.000,,,0,,,,3.314,1.013,0.166,3.121,0.276,0.09,0.0,15,,0.0,15,,0.496,,0.00,4025,,0.883,155.0,4.94,0.008,,,,0.0,0.608,114.0,,,,0.217,,0.00,78.895,,0,0.102,0.368,0.825,1.53,0.00,0.312,1.53,0.00,0.312,,,,,,,1.737,493.0,,0.627,101.53,17.395,,,,0.0,962.0,0.024,0.09,1.41,0.0,0.685,2.600,4.8,0.0,5.536,15.0,0.421,8.088,252.0,,,,,,,18.52,,,,,,,,,1.879,,0.000,0.0,0.486,174.0,58.632,0.261,,,,,0.0,,1.6,,,,0.0,
