,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
183,"""18163""","Cookies, chocolate chip, refrigerated dough",33.0,1.0 serving,2.769,0.717,,12.55,0.062,0.108,0.000,,3,,,,0.066,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,0.652,0.059,,1.078,0.036,,,,,,,,0.049,,,623,,0.033,,,,,,,,,,,,,0.063,0.002,0.03,3.437,,1,0.000,0.013,,0.51,,0.000,,,,,,,,,,0.674,59,,0.135,7.04,0.012,,,,4,149.0,,0.019,,2,0.048,,1.6,16,0.123,19.0,0.063,1.088,23.0,,,,,,,20.14,,,,,,,,,0.06,,0.000,,,,3.425,0.030,,,,,24.0,,0.0,,,,,
184,"""18164""","Cookies, chocolate chip, refrigerated dough, baked",28.35,1.0 oz,2.2,0.657,,,,,,,,,,,0.063,,,,,,,,,,,,0.5,,,,,,,,,5,,,,,,0.560,0.057,,1.106,0.031,,,,,,,,0.047,,,584,,0.024,,,,,,,,,,,,,0.054,0.000,0.02,3.192,,5,0.000,0.001,,0.34,,0.000,,,,,,,,,,0.621,57,,0.129,6.41,0.012,,,,17,139.0,,0.019,,8,0.046,,1.6,10,0.134,12.0,0.06,1.069,22.0,,,,,,,19.33,,,,,,,,,0.057,,0.000,,,,3.179,0.028,,,,,,,,,,,,
185,"""28350""","Cookies, chocolate cream covered biscuit sticks",40.0,1.0 serving,5.034,2.687,,10.0,0.028,,0.001,,7,,,,,,,,,,,,,,,,2.0,,3,,,,,,,0,,1,,,,0.256,0.090,,2.17,0.003,,,,,,,,,,,748,,0.005,,,,,,,,,,,,,0.080,0.000,0.16,0.826,0.7,0,0.001,0.019,,0.53,,0.000,,,,,,,,,,2.684,72,,,,,,,,2,179.0,,,,,,,,0,,7.0,,,,0.00,1.8,,0.00,1.8,,20.43,,,0.0,,,,,,,,,0.0,,14.0,0.826,,,,,,26.0,,0.0,,,,,
186,"""28299""","Cookies, chocolate sandwich, with creme filling, reduced fat",34.0,1.0 serving,1.0,1.164,,14.0,0.099,,0.000,,4,,,,,,,,,,0.0,,,,,0.000,1.0,,10,,,,,,0.000,0,,1,,,,0.760,0.064,0.000,0.27,0.140,,0.000,36,,0.000,36,,,,,619,,0.004,,,,,,,,,,,,,0.069,,0.00,1.584,5.4,0,0.000,0.007,0.011,0.48,,0.002,,,,,,,,,,1.025,60,,,,,,,,0,148.0,0.000,,,,,,,19,,23.0,,,,0.00,7.5,,0.00,7.5,,25.9,,,0.0,,,,,,,,,0.0,,8.0,1.56,,,,,,32.0,,0.0,,,,,
187,"""18166""","Cookies, chocolate sandwich, with creme filling, regular",36.0,3.0 cookie,2.034,1.282,0.25,14.64,0.071,0.115,0.000,,1,0.101,0.89,0.083,0.018,0.001,,0.32,,0.043,0.0,0.526,0.104,0.003,,0.002,1.0,0.000,1,,,,,,,0,,2,,,,0.937,0.120,0.005,0.309,0.107,0.33,0.000,37,,0.000,37,,0.054,0.006,0.00,698,0.017,0.040,,,,0.023,1.12,0,1.25,0.068,8.0,,0,0.003,0.086,,0.00,3.340,9.9,0,0.016,0.008,0.013,0.55,0.06,0.001,,,,0.013,140.0,0.000,,,0.0,1.171,84,5.7,0.162,6.89,0.013,0.023,,14.05,1,167.0,0.000,0.032,8.93,0,0.036,0.033,1.9,21,0.252,22.0,0.061,1.602,33.0,0.00,6.9,0.079,0.00,6.9,0.079,25.56,0.000,,0.0,,,,,,0.05,,0.004,0.0,0.083,17.0,3.28,0.032,0.0,0.000,0.001,0.040,66.0,0.09,0.0,0.66,0.029,0.001,0.0,
188,"""18167""","Cookies, chocolate sandwich, with creme filling, regular, chocolate-coated",28.35,1.0 oz,2.105,0.851,,14.06,0.027,0.073,0.000,,2,,,,0.052,,,,,,,,,,,,1.5,,1,,,,,,,1,,1,,,,0.389,0.089,,1.012,0.041,,,,,,,,0.042,,,571,,0.035,,,,,,,,,,,,,0.058,0.000,0.01,4.135,3.2,1,0.000,0.012,,0.45,,0.000,,,,,,,,,,0.809,68,,0.072,7.48,0.000,,,,1,136.0,,0.016,,0,0.036,,0.9,3,0.105,5.0,0.044,1.053,26.0,0.00,1.0,0.050,0.00,1.0,0.050,18.82,,,0.0,,,,,,0.052,,0.000,0.0,0.059,11.0,4.134,0.020,,,,,37.0,,0.0,,,,,
189,"""18199""","Cookies, chocolate sandwich, with creme filling, special dietary",28.35,1.0 oz,1.132,2.245,,5.59,0.149,0.087,0.000,,3,,,,0.055,,,,,,,,,,,,1.2,,1,,,,,,,0,,1,,,,1.126,0.062,,0.395,0.154,,,,,,,,0.043,,,547,,0.007,,,,,,,,,,,,,0.083,0.000,0.01,2.610,1.5,0,0.051,0.009,,0.34,,0.000,,,,,,,,,,2.091,84,,0.111,6.27,0.024,,,,1,131.0,,0.019,,0,0.041,,1.0,15,0.114,18.0,0.051,0.678,57.0,0.00,2.8,0.063,0.00,2.8,0.063,19.28,,,0.0,,,,,,0.055,,0.000,0.0,0.065,7.0,2.586,0.025,,,,,27.0,,0.0,,,,,
190,"""18168""","Cookies, chocolate sandwich, with extra creme filling",28.35,1.0 oz,1.546,0.701,0.10,13.04,0.033,,0.000,,3,0.015,0.54,,,,,0.0,2.195,0.010,,,,0.000,,,0.8,,1,,,,,,,0,,2,,,,0.549,0.096,0.008,0.691,0.015,0.31,0.000,20,,0.000,20,,,,,590,2.195,0.006,,,,0.213,0.47,0,3.53,,5.0,,,,0.034,0.000,0.01,4.558,1.8,0,,0.000,0.027,0.37,0.93,0.000,,,,,100.0,0.000,,,0.0,0.686,39,,,,,,,,0,141.0,,,,,,,,10,0.141,13.0,,,,0.00,0.9,,0.00,0.9,,19.33,,,0.0,,2.353,0.473,3,0.040,,,,0.0,,10.0,4.548,,,,,,54.0,,0.0,0.0,,,0.0,
191,"""18157""","Cookies, chocolate wafers",28.35,1.0 oz,1.202,1.177,,10.61,0.058,0.127,0.003,,2,,,,0.08,,,,,,,,,,,,1.0,,4,,,,,,,1,,3,,,,0.810,0.131,,0.319,0.076,,,,,,,,0.062,,,514,,0.086,,,,,,,,,,,,,0.075,0.001,0.03,1.379,0.7,1,0.215,0.014,,0.57,,0.000,,,,,,,,,,1.096,60,,0.164,4.03,0.014,,,,3,123.0,,0.027,,1,0.058,,1.6,11,0.197,13.0,0.074,0.509,37.0,0.00,4.1,0.095,0.00,4.1,0.095,20.61,,,0.0,,,,,,0.081,,0.029,0.0,0.092,15.0,1.363,0.036,,,,,100.0,,0.0,,,,,
192,"""28329""","Cookies, chocolate, made with rice cereal",62.0,1.0 cookie,7.0,1.868,,25.0,0.215,,0.009,0.000,4,,,,,,,,,,0.0,,,,,0.000,1.0,,9,,,,,,,0,,1,,,,2.194,0.112,0.000,0.621,0.095,,0.000,23,,0.000,23,,,,,1142,,0.797,,,,,,,,,,,,,0.249,0.000,0.04,2.459,2.5,0,2.110,0.203,0.001,0.71,,0.000,,,,,,,,,,1.773,141,,,,,,,,0,273.0,,,,,,,,11,,15.0,,,,0.00,8.5,,0.00,8.5,,39.22,,,0.0,,,,,,,,,0.0,,24.0,2.44,,,,,,38.0,,0.0,,,,,
