,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
159,"""19056""","Snacks, tortilla chips, plain, white corn, salted",28.35,1.0 oz,0.797,3.053,0.00,0.22,0.040,,0.000,0.001,3,0.065,1.00,,,,,0.12,,0.020,0.0,,,0.002,,0.001,1.5,0.000,1,,,,,,,,,0,,,,0.238,0.027,0.004,0.107,0.065,0.00,0.0,3,,0.0,3,,,,,560,0.000,0.004,,,,0.23,0.75,1,2.59,,30.0,0.000,1,0.001,0.02,0.000,0.10,1.606,5.9,0,0.001,0.051,0.008,0.51,0.10,0.001,,,,0.007,93.0,0.0,,,0.0,2.983,52,0.1,,,,0.028,0.202,0.22,1.0,134.0,0.000,,,,,,,0,0.110,3,,,,0.00,5.5,,0.00,5.5,,19.22,0.000,,0.0,,1.576,2.749,4,0.084,,,,0.0,,24.0,1.576,,12.4,0.000,0.001,0.230,0.0,,,0.33,,0.002,0.0,0.004
160,"""19058""","Snacks, tortilla chips, ranch-flavor",28.35,1.0 oz,1.003,3.835,0.10,0.86,0.014,0.247,,,,0.067,,0.101,0.07,,,,,,0.0,0.415,0.154,,,0.000,1.1,,,0.0,,0.150,,,,,,,0.000,2.04,,0.369,0.029,0.006,0.155,0.067,0.12,0.0,,,0.0,,,0.081,,0.00,595,0.070,0.006,,,,0.028,0.89,,,,,,,,0.017,,,1.998,0.4,,0.006,0.057,0.010,0.65,,,,,,,,,0.02,,,3.741,73,0.9,0.179,6.98,0.006,,,,,,,0.016,15.54,,0.084,0.028,2.1,0,0.103,,0.079,0.785,71.0,,,,,,,17.79,,0.028,,,,,,,0.109,,0.006,,,,1.905,0.063,0.6,,,,,,,,,,0.31,
161,"""19063""","Snacks, tortilla chips, taco-flavor",28.35,1.0 oz,1.315,0.953,,,,,,,,,,,0.085,,,,,,,,,,,,1.5,,,,,,,,,0,,,,,,0.567,0.053,,0.4,0.04,,,,,,,,0.083,,,569,,0.048,,,,,,,,,,,,,0.058,,0.00,4.051,,13,0.014,0.084,,0.88,,,,,,,,,,,,0.913,62,,0.192,6.86,0.026,,,,257.0,136.0,,0.019,,0,0.09,,1.9,0,0.125,6,0.089,0.851,68.0,,,,,,,17.89,,,,,,,,,0.114,,,,,,4.026,0.068,,,,,,,,,,,,
162,"""43364""","Snacks, tortilla chips, unsalted, white corn",26.0,1.0 cup,0.639,2.589,0.02,0.26,0.004,,0.000,,3,,,,,,,,,,,,,,,,1.4,,132,,,,,,,,,0,,,,0.328,0.136,,0.109,0.285,0.02,,,,,,,,,,547,,0.001,,,,,,,,,,,,,0.026,0.000,0.09,2.475,0.2,1,0.012,0.055,,0.37,,0.016,,,,,,,,,0.0,2.304,56,,,,,,,,21.0,131.0,,,,,,,,0,,3,,,,0.00,4.7,,0.00,4.7,,16.98,,,6.0,0,,,,,,,,0.0,,38.0,2.403,,11.4,,,,0.0,,,,,,0.0,
163,"""19059""","Snacks, trail mix, regular",150.0,1.0 cup,8.325,14.475,,,,,0.015,,106,,,,0.772,,,,,,,,,,,,,,,,,,,,,0,,,,,,7.068,1.478,,1.5,0.105,,,,,,,,0.723,,,2900,,0.720,,,,,,,,,,,,,0.297,,0.00,18.795,,2,1.755,0.447,,3.9,,,,,,,,,,,,14.37,1028,,0.938,44.1,0.105,,,,27.0,693.0,,0.249,,0,0.685,,,0,1.551,106,0.772,3.795,518.0,,,,,,,67.35,,,,,,,,,2.28,,0.240,,,,18.435,0.535,,,,,,,,,,,,
164,"""19821""","Snacks, trail mix, regular, unsalted",150.0,1.0 cup,8.325,14.475,,,,,0.015,,106,,,,0.772,,,,,,,,,,,,,,,,,,,,,0,,,,,,7.068,1.478,,1.5,0.105,,,,,,,,0.723,,,2900,,0.720,,,,,,,,,,,,,0.297,,0.00,18.795,,2,1.755,0.447,,3.9,,,,,,,,,,,,14.37,1028,,0.938,44.1,0.105,,,,27.0,693.0,,0.249,,0,0.685,,,0,1.551,106,0.772,3.795,518.0,,,,,,,67.35,,,,,,,,,2.28,,0.240,,,,18.435,0.535,,,,,,,,,,,,
165,"""19062""","Snacks, trail mix, regular, with chocolate chips, salted nuts and seeds",146.0,1.0 cup,8.891,15.870,,34.86,0.603,1.394,0.015,0.000,76,,,,0.853,,,0.03,,0.267,0.0,4.389,2.235,0.004,0.000,0.001,7.3,,9,0.0,,0.848,0.000,45,0.003,,,0,,,,6.431,1.232,0.022,1.615,0.112,,0.0,76,,0.0,76,,0.731,,,2955,,0.758,,,,,,,2.95,1.120,159.0,,,,0.327,0.003,0.00,19.019,9.5,0,1.768,0.378,0.133,3.36,0.15,0.007,,,,,,,,,,15.736,946,12.6,1.006,46.57,0.098,,,,15.0,707.0,0.001,0.238,2.98,6,0.739,0.123,22.5,0,1.551,76,0.81,3.86,565.0,0.00,44.8,0.958,0.00,44.8,0.958,65.55,,,0.0,,,,,,2.187,,0.253,0.0,1.025,235.0,18.641,0.520,0.0,,,,0.0,,1.9,0.06,0.317,0.295,,
166,"""19822""","Snacks, trail mix, regular, with chocolate chips, unsalted nuts and seeds",146.0,1.0 cup,8.906,16.483,,,,,0.015,,95,,,,0.853,,,,,,,,,,,,,,,,,,,,,1,,,,,,6.431,1.232,,1.679,0.117,,,,,,,,0.731,,,2956,,0.788,,,,,,,,,,,,,0.327,,0.00,19.768,,19,1.84,0.378,,3.36,,,,,,,,,,,,16.367,946,,1.006,46.57,0.102,,,,64.0,707.0,,0.238,,0,0.739,,,0,1.551,95,0.81,4.015,565.0,,,,,,,65.55,,,,,,,,,2.187,,0.263,,,,19.389,0.520,,,,,,,,,,,,
167,"""19061""","Snacks, trail mix, tropical",140.0,1.0 cup,11.872,7.224,,,,,0.070,,59,,,,0.314,,,,,,,,,,,,,,,,,,,,,0,,,,,,2.075,0.739,,0.896,0.056,,,,,,,,0.312,,,2586,,2.086,112.0,3.7,0.161,,,,,,,,,,0.161,,0.00,3.486,,3,5.404,0.458,,2.8,,,,,,,,,,,,7.168,993,,0.319,23.94,0.014,,,,69.0,619.0,,0.105,,0,0.224,,,0,1.352,59,0.311,1.778,260.0,,,,,,,91.84,,,,,,,,,0.82,,0.714,,,,3.444,0.295,,,,,,,,,,,,
168,"""25030""","Snacks, vegetable chips, HAIN CELESTIAL GROUP, TERRA CHIPS",28.35,1.0 oz,0.535,1.965,,2.76,0.064,,0.000,,25,,,,,,,0.0,,0.090,0.0,,,,,0.000,3.1,,0,0.0,0.00,,,,,,,0,,,,0.501,0.123,0.000,0.149,0.632,,0.0,25,,0.0,25,,,,,613,,0.001,,,,,,,1.87,,22.0,,,,0.037,,0.00,4.368,12.6,27,0.0,0.150,0.023,1.01,0.07,0.000,,,,,,,,,,1.331,359,0.0,,,,,,,548.0,147.0,,,,,,,,0,0.342,25,,,,0.00,7.8,,0.00,7.8,,16.43,,,0.0,0,,,,,,,,0.0,,24.0,4.261,,0.0,,,,0.0,,3.4,0.0,,,,
169,"""25040""","Snacks, vegetable chips, made from garden vegetables",28.35,1.0 oz,0.5,1.872,,1.15,0.038,0.088,0.000,,5,,,,0.086,,0.0,0.0,,0.086,0.0,0.259,0.256,,,0.000,1.3,,0,0.0,0.00,0.069,,,,,,0,,,,0.784,0.066,0.000,0.139,0.603,,0.0,5,,0.0,5,,0.058,,,561,,0.001,43.0,0.44,0.015,,,,1.81,0.053,15.0,,,,0.017,,0.00,4.129,5.0,3,0.002,0.155,0.022,1.32,0.07,0.000,,,,,,,,,,1.269,238,0.0,0.055,6.61,0.014,,,,48.0,134.0,,0.024,,0,0.046,0.043,0.3,0,0.078,5,0.062,0.293,37.0,0.00,8.9,0.050,0.00,8.9,0.050,17.13,,,0.0,,,,,,0.076,,0.000,0.0,0.073,15.0,4.029,0.035,0.0,,,,0.0,,1.4,0.0,0.022,,,
170,"""25050""","Snacks, yucca (cassava) chips, salted",28.35,1.0 oz,2.463,1.960,,0.95,0.014,,0.000,0.001,,0.016,0.79,,,,,0.0,0.020,0.010,0.0,,,0.000,,0.002,1.0,0.000,,0.0,,,,,,,,,,,,0.339,0.033,0.006,0.23,0.016,,0.001,,0.000,0.001,,0.000,,,,612,0.020,0.057,,,,0.023,0.79,,0.08,,15.0,0.000,,0.003,0.008,0.009,,2.11,1.5,,0.011,0.037,0.007,0.77,0.00,,,,,0.02,84.0,0.002,,,,1.929,246,,,,,0.023,,,,,,,,,,,,,,,,,,,,,,,,19.63,0.000,,,,,1.902,,0.252,,,,,,,2.076,,0.0,0.000,0.001,0.043,,,,0.17,,0.003,,
171,"""19433""","Tortilla chips, low fat, baked without fat",28.35,1.0 oz,0.241,0.814,,0.19,0.062,,0.000,,5,,,,,,,,,,,,,,,,1.5,,185,,,,,,,,,0,,,,0.119,0.031,,0.026,0.022,,,,,,,,,,,532,,0.000,,,,,,,,,,,,,0.079,,0.00,0.471,0.1,1,0.0,0.051,,0.4,,0.000,,,,,,,,,,0.716,77,,,,,,,,29.0,127.0,,,,,,,,0,,5,,,,0.00,6.2,,0.00,6.2,,22.74,,,9.0,0,,,,,,,,0.0,,27.0,0.425,,,,,,0.0,,0.1,,,,,
172,"""25028""","Tortilla chips, yellow, plain, salted",28.35,1.0 oz,0.787,2.602,0.05,0.34,0.037,,0.000,0.000,6,0.089,0.84,,,,,,,,0.0,,,0.001,,0.003,1.3,0.000,340,,,,,,,,,0,,,,0.425,0.030,0.004,0.134,0.089,0.05,0.0,6,,0.0,6,,,,,590,0.006,0.006,,,,0.013,0.55,16,,,,0.000,11,0.001,0.012,0.001,0.00,2.434,0.2,2,0.001,0.057,0.006,0.49,,0.001,,,,0.008,88.0,0.002,,,0.0,2.508,58,0.0,,,,0.013,,0.25,45.0,141.0,0.001,,,,,,,0,0.101,6,,,,0.00,5.4,,0.00,5.4,,19.1,0.000,,16.0,0,2.388,2.492,,0.117,,,,0.0,,24.0,2.394,,,0.000,0.001,0.019,0.0,,,,,,0.0,0.003
173,"""19273""","Snacks, SUNKIST, SUNKIST Fruit Roll, strawberry, with vitamins A, C, and E",21.0,1.0 roll,,,,,,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,,,,,,,175.0,72.0,,,,,,,,,,,,,,,,,,,,17.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"""19272""","Snacks, FARLEY CANDY, FARLEY Fruit Snacks, with vitamins A, C, and E",26.0,1.0 pouch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,371,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,1413.0,89.0,,,,,,,,,,,,,,,,,,,,21.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
