,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g),"Folate, DFE (µg)",20:3 undifferentiated (g),20:4 n-6 (g),"Vitamin E, added (mg)",22:6 n-3 (DHA) (g),Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
165,"""21413""","Light Ice Cream, soft serve, blended with cookie pieces",337.0,12.0 fl oz cup,9.281,1.227,0.61,71.41,0.162,,0.212,,17,,,,,,,,,,0.0,,,0.027,,0.000,0.3,,0,,,,,,,84,,3,,,,0.89,0.101,0.084,2.201,0.067,3.00,0.084,44,0.000,,,,,,,2383,,1.237,,,,,,,,,,,,,0.772,0.000,1.95,5.783,11.1,88,0.344,0.195,0.010,3.1,,0.000,,,,,,,,,0.0,1.142,667.0,,,,,,,,313.0,570.0,,,,,,,,17,0.142,34,,,,0.0,62.7,,0.0,62.7,,86.1,,,0.0,,,,,,,,,0.0,,47.0,5.523,,,,,,145.0,,2.7,,,,18.94,
166,"""21412""","Light Ice Cream, soft serve, blended with milk chocolate candies",348.0,12.0 fl oz cup,12.643,0.981,0.73,84.81,0.177,,0.264,,10,,,,,,,,,,0.0,,,0.028,,0.000,0.7,,0,,,,,,,108,,3,,,,0.484,0.153,0.097,3.811,0.080,2.61,0.097,10,0.000,,,,,,,2645,,1.364,,,,,,,0.21,,470.0,,,,0.846,0.000,2.09,5.812,2.4,108,0.379,0.184,0.010,3.34,,0.000,,,,,,,,,0.0,0.884,724.0,0.3,,,,,,,386.0,633.0,,,,,,,,0,0.160,10,,,,0.0,71.0,,0.0,71.0,,93.33,,,0.0,,,,,,,,,0.0,,59.0,5.519,,,,,,49.0,,3.1,,,,21.68,
167,"""21290""","LITTLE CAESARS 14"" Cheese Pizza, Large Deep Dish Crust",102.0,1.0 slice,4.322,1.763,1.10,3.73,0.449,1.306,,,,0.187,0.83,0.781,1.134,,,0.0,,0.021,0.0,4.301,0.958,,,0.000,1.3,,,,,,,,,72,,,0.0,12.88,,3.026,0.118,0.040,0.94,0.187,0.96,0.049,,0.000,,,,0.444,0.000,1.45,1122,,0.626,,,,,,,1.27,0.454,228.0,,,,0.278,,0.44,2.812,6.9,78,0.185,,0.012,2.2,0.40,,,,,,,,0.15,,,1.565,163.0,,1.64,10.42,0.115,,,,341.0,268.0,,0.159,24.55,23,0.516,0.020,30.6,,,,0.645,2.209,225.0,,,,,,,30.7,,,,,,,,,0.63,,0.157,,,,2.628,0.297,0.0,,,,,,,0.0,0.319,0.068,0.07,
168,"""21292""","LITTLE CAESARS 14"" Cheese Pizza, Thin Crust",48.0,1.0 slice,3.517,1.517,0.43,1.32,0.067,0.794,,,,0.181,0.58,0.462,0.637,,,0.0,,0.016,0.0,2.295,0.625,,,0.000,0.8,,,,,,,,,56,,,,,,0.408,0.039,0.033,0.785,0.181,0.43,0.04,,0.000,,,,0.267,0.000,0.32,621,,0.517,,,,,,,1.13,0.190,203.0,,,,0.089,,0.34,2.122,4.6,59,0.153,,0.010,1.31,0.42,,,,,,,,0.12,,,1.326,85.0,,0.81,8.16,0.089,,,,260.0,148.0,,0.065,8.50,19,0.393,0.015,13.5,,,,0.383,1.761,143.0,,,,,,,10.97,,,,,,,,,0.336,,0.132,,,,1.977,0.123,0.0,,,,,,,0.0,0.221,0.058,0.03,
169,"""21287""","LITTLE CAESARS 14"" Original Round Cheese Pizza, Regular Crust",89.0,1.0 slice,3.743,1.300,1.01,3.58,0.336,1.012,,,,0.138,0.54,0.638,0.465,,,0.0,,0.017,0.0,3.557,0.765,,,0.000,1.5,,,,,,,,,64,,,,,,2.881,0.112,0.035,0.813,0.138,0.87,0.045,,0.000,,,,0.350,0.000,1.49,988,,0.564,,,,,,,0.93,0.311,207.0,,,,0.264,,0.36,2.118,5.3,69,0.166,,0.008,1.94,0.29,,,,,,,,0.14,,,1.152,151.0,,0.97,8.49,0.099,,,,320.0,236.0,,0.134,22.51,21,0.448,0.014,27.9,,,,0.487,1.882,206.0,,,,,,,28.04,,,,,,,,,0.457,,0.142,0.0,0.623,25.0,1.959,0.320,0.0,,,,,,,0.0,0.267,0.061,0.06,
170,"""21289""","LITTLE CAESARS 14"" Original Round Meat and Vegetable Pizza, Regular Crust",115.0,1.0 slice,5.245,1.978,1.06,4.3,0.329,1.178,,,,0.171,1.03,0.695,0.662,,,0.0,,0.055,0.0,3.625,1.074,0.000,,0.028,2.4,,,,,,,,,53,,,,,,4.102,0.163,0.059,1.342,0.171,1.25,0.049,,0.000,,,,0.452,0.000,1.75,1170,,0.559,,,,,,,0.84,0.538,192.0,,,,0.302,,0.70,4.672,6.6,55,0.141,,0.000,2.67,0.25,,,,,,,,0.15,,,1.754,224.0,,1.095,13.05,0.246,,,,243.0,279.0,,0.13,18.55,36,0.514,0.022,31.2,,,,0.637,2.885,238.0,,,,,,,26.57,,,,,,,,,0.664,,0.124,,,,4.321,0.403,0.0,,,,,,,0.0,0.322,0.055,0.08,
171,"""21288""","LITTLE CAESARS 14"" Original Round Pepperoni Pizza, Regular Crust",90.0,1.0 slice,4.087,1.443,1.01,3.38,0.304,1.098,,,,0.142,0.68,0.678,0.834,,,0.0,,0.031,0.0,3.696,0.882,0.000,,0.009,1.5,,,,,,,,,58,,,,,,3.363,0.113,0.042,0.954,0.142,0.88,0.045,,0.000,,,,0.387,0.000,1.30,1028,,0.539,,,,,,,0.94,0.396,189.0,,,,0.28,,0.47,2.797,5.3,64,0.15,,0.007,2.1,0.28,,,,,,,,0.13,,,1.278,160.0,,1.287,9.45,0.146,,,,298.0,246.0,,0.117,22.07,25,0.447,0.015,28.8,,,,0.561,2.133,202.0,,,,,,,27.91,,,,,,,,,0.543,,0.131,0.0,0.699,25.0,2.576,0.354,0.0,,,,,,,0.01,0.291,0.059,0.06,
172,"""21291""","LITTLE CAESARS 14"" Pepperoni Pizza, Large Deep Dish Crust",104.0,1.0 slice,4.487,1.826,1.01,3.53,0.388,1.109,,,,0.184,0.84,0.687,0.827,,,0.0,,0.033,0.0,3.837,0.876,0.000,,0.008,1.6,,,,,,,,,61,,,,,,3.918,0.126,0.045,1.037,0.184,0.89,0.048,,0.000,,,,0.384,0.000,1.40,1153,,0.582,,,,,,,1.18,0.399,209.0,,,,0.291,,0.48,3.277,7.4,68,0.164,,0.009,2.34,0.35,,,,,,,,0.14,,,1.619,180.0,,1.067,11.24,0.154,,,,328.0,276.0,,0.114,23.19,27,0.474,0.020,32.1,,,,0.536,2.365,224.0,,,,,,,30.19,,,,,,,,,0.541,,0.144,,,,3.042,0.356,0.0,,,,,,,0.01,0.286,0.063,0.07,
173,"""21377""",McDONALD'S Bacon Ranch Salad with Crispy Chicken,319.0,1.0 item 11.3 oz,5.174,5.165,,4.88,0.191,,,,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,9.65,,,,,,,,,,,,,,,1633,,,,,,,,,,,,,,,0.226,,,7.87,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,7927.0,389.0,,,,,,,,,,,,,,,,,,,,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,"""21360""","McDONALD'S, Bacon Egg  &  Cheese Biscuit",142.0,1.0 item 4.9 oz,11.732,3.728,,3.1,0.372,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,2.782,0.104,,,,,,,,,,,,,,1806,,,,,,,,,,,,,,,0.591,,,7.875,,,,,,4.59,,,,,,,,,,,,,,,,,,,,,567.0,432.0,,,,,,,,,,,,,,,,,,,,31.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
