,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g),"Folate, DFE (µg)",20:3 undifferentiated (g),20:4 n-6 (g),"Vitamin E, added (mg)",22:6 n-3 (DHA) (g),Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
175,"""21376""","McDONALD'S, Bacon Ranch Salad with Grilled Chicken",305.0,1.0 item 10.8 oz,3.767,1.315,2.07,5.28,0.171,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,11.294,,,,,,,,,,,,,,,1034,,,,,,,,,,,,,,,0.253,,,3.093,,,,,,4.64,,,,,,,,,0.00,,,,,,,,,,,,6137.0,247.0,,,,,,,,,,,,,,,,,,,,11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,
176,"""21378""","McDONALD'S, Bacon Ranch Salad without chicken",223.0,1.0 item 7.8 oz,3.361,0.729,2.19,4.77,0.098,,,,,,,,,,,,,,,,,,,,3.3,,,,,,,,,,,,,,,0.459,,,,,,,,,,,,,,,564,,,,,,,,,,,,,,,0.129,,0.22,2.357,,,,,,2.14,,,,,,,,,0.00,,,,,,,,,,,,6447.0,136.0,,,,,,,,,,,,,,,,,,,,9.37,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,
177,"""21327""","McDONALD'S, Bacon, Egg  &  Cheese McGRIDDLES",165.0,1.0 item 5.8 oz,6.932,2.929,0.18,15.77,0.208,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,2.176,,,,,,,,,,,,,,,1876,,,,,,,,,,,,,,,0.495,,,7.732,,,,,,4.5,,,,,,,,,0.00,,,,,,,,,,,,516.0,449.0,,,,,,,,,,,,,,,,,,,,43.21,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,
178,"""21341""","McDONALD'S, BIG BREAKFAST",269.0,1.0 item 9.5 oz,17.229,8.595,,2.5,0.616,,,,,,,,,,,,,,0.0,,,0.000,,0.121,3.0,,,,,,,,,,,,,,,6.114,0.221,0.094,3.892,0.519,,0.0,,,,,,,,,3206,,0.718,,,,,,,,,,,,,0.947,,1.53,19.831,,188,1.243,0.468,0.046,6.19,,,,,,,,,,,,7.841,557.0,,,,,,,,629.0,767.0,,,,,,,,,,,,,,,,,,,,47.08,,,,,,,,,,,,,,,18.908,,,,,,,,,,,,,
179,"""21237""","McDONALD'S, BIG MAC",219.0,1.0 item 7.6 oz,8.329,0.670,3.70,8.69,0.385,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,7.411,0.215,,,,,,,,,,,,,,2356,,,,,,,,,,,,,,,0.458,,1.93,7.608,,,,,,4.1,,,,,,,,,0.00,,,,,,,,,,,,412.0,563.0,,,,,,,,,,,,,,,,,,,,43.98,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,
180,"""21350""","McDONALD'S, BIG MAC (without Big Mac Sauce)",200.0,1.0 item,8.324,0.668,3.48,7.4,0.380,,,,,,,,,,,,,,,,,,,,3.4,,,,,,,,,,,,,,,7.386,0.210,,,,,,,,,,,,,,1956,,,,,,,,,,,,,,,0.446,,1.88,7.604,,,,,,3.82,,,,,,,,,0.00,,,,,,,,,,,,372.0,468.0,,,,,,,,,,,,,,,,,,,,42.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,
181,"""21233""","McDONALD'S, Cheeseburger",119.0,1.0 item 4 oz,5.278,0.422,3.08,7.4,0.265,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,4.791,0.115,,,,,,,,,,,,,,1309,,,,,,,,,,,,,,,0.309,,1.02,4.321,,,,,,2.92,,,,,,,,,0.00,,,,,,,,,,,,289.0,313.0,,,,,,,,,,,,,,,,,,,,33.09,,,,,,,,,,,,,,,,,,,,,,,,,,,0.64,
182,"""21309""","McDONALD'S, Chicken McNUGGETS",64.0,4.0 pieces,2.087,3.590,0.00,0.05,0.102,,0.0,0.010,,0.189,,,,,,,,,0.0,,,0.006,,0.009,,,,,,,,,,,,,,,,4.736,0.031,0.010,0.634,0.205,0.00,0.006,,0.010,,,,,,,808,0.034,0.022,,,,0.039,30.16,,,,,0.001,,0.004,0.07,0.001,0.21,5.206,,,0.003,0.255,0.025,1.4,,0.003,,,,0.179,362.0,0.0,0.00,0.003,,3.319,161.0,,,,,0.039,,0.05,,,,,,,,,,,,,,,,,,,,,,9.66,0.000,,,,,3.267,,0.563,,,,,,,4.912,,,0.010,0.031,0.073,,,,,,,0.0,0.013
183,"""21363""","McDONALD'S, Deluxe Breakfast, with syrup and margarine",420.0,1.0 item 14.8 oz,19.496,11.806,,41.5,0.869,,,,,,,,,,,,,,,,,,,,4.2,,,,,,,,,,,,,,,7.892,0.307,,,,,,,,,,,,,,5011,,,,,,,,,,,,,,,1.155,,1.47,21.911,,,,,,7.64,,,,,,,,,,,,,,,,,,,,,1084.0,1197.0,,,,,,,,,,,,,,,,,,,,123.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"""21344""","McDONALD'S, Double Cheeseburger",155.0,1.0 sandwich,10.847,2.094,2.99,6.56,0.251,,0.124,0.011,,0.184,,,,,,,,,0.0,,,0.133,,0.008,1.2,0.003,,,,,,,,,,,,,,5.983,0.119,0.223,2.934,0.191,2.06,0.197,,0.033,,,,,,,1829,0.890,1.166,,,,0.157,72.85,,,,,0.077,,0.149,0.383,0.008,,8.765,,,0.245,,0.017,4.08,,0.008,,,,0.529,1035.0,0.144,0.00,0.017,,1.778,335.0,,,,,0.157,,0.00,,,,,,,,,,,,,,,,,,,,,,29.12,0.000,,,,,1.497,,,,,,,,,7.748,,,0.028,0.048,1.046,,,,,,,0.93,0.124
185,"""21345""","McDONALD'S, DOUBLE QUARTER POUNDER with Cheese",280.0,1.0 item,18.124,1.344,3.78,9.77,0.356,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,11.796,0.255,,,,,,,,,,,,,,3069,,,,,,,,,,,,,,,0.848,,4.70,16.394,,,,,,5.74,,,,,,,,,0.00,,,,,,,,,,,,560.0,734.0,,,,,,,,,,,,,,,,,,,,40.4,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,
186,"""21357""","McDONALD'S, Egg McMUFFIN",126.0,1.0 sandwich,4.526,2.186,0.54,2.68,0.330,,0.068,0.010,,0.144,0.74,,,,,,,,0.0,,,0.015,,0.013,1.4,0.003,,,,,,,,,,,,,,3.909,0.106,0.039,0.958,0.145,0.50,0.042,,0.019,,,,,,,1203,0.096,0.415,,,,0.042,66.25,,,,,0.016,,0.047,0.464,0.003,,3.428,,,0.123,0.183,0.010,3.09,,0.001,,,,0.176,777.0,0.079,0.00,0.008,,1.853,218.0,,,,,0.042,,0.50,,,,,,,,,,,,,,,,,,,,,,27.3,0.000,,,,,1.784,,1.053,,,,,,,3.137,,,0.015,0.111,0.137,,,,,,,0.42,0.028
187,"""21232""","McDONALD'S, FILET-O-FISH",134.0,1.0 sandwich,3.796,7.976,2.59,4.92,0.283,,0.032,0.007,,0.823,1.57,,,,,0.0,0.082,0.094,0.0,,,0.012,,0.009,1.9,0.000,,,,,,,,,,,,,,2.975,0.088,0.028,1.005,0.856,1.34,0.02,,0.008,,,,,,,1584,0.090,0.220,,,,0.082,61.32,,8.79,,161.0,0.008,,0.025,0.174,0.040,1.45,5.367,6.6,,0.064,,0.051,2.61,2.88,0.009,,,,0.059,582.0,0.034,0.00,0.007,,6.951,295.0,,,,,0.082,,0.13,,,,,,,,,,,,,,,,,,,,,,35.36,0.000,,,,,6.842,,,,,,,,,5.158,,0.0,0.008,0.015,0.172,,,,0.0,,0.027,0.27,0.027
188,"""21382""","McDONALD'S, FILET-O-FISH (without tartar sauce)",124.0,1.0 item,2.199,2.881,,5.29,0.351,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,3.408,0.081,,,,,,,,,,,,,,1260,,,,,,,,,,,,,,,0.249,,1.00,3.432,,,,,,2.39,,,,,,,,,,,,,,,,,,,,,115.0,301.0,,,,,,,,,,,,,,,,,,,,38.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"""21238""","McDONALD'S, french fries",71.0,1.0 small serving,1.612,3.356,0.00,0.15,0.128,,0.0,,,0.271,0.98,,,,,0.09,0.022,0.102,0.0,,,0.006,,0.006,2.8,0.000,19,,,,,,,,,,,,,2.286,0.081,0.008,0.721,0.293,0.00,0.001,,0.000,,,,,,,960,0.023,0.009,,,,0.021,26.01,0,1.68,,13.0,,0,0.004,0.026,0.000,,5.239,11.4,0,0.004,0.270,0.033,1.36,0.44,0.004,,,,0.018,134.0,0.06,0.00,,,3.052,423.0,0.3,,,,0.021,,0.15,0.0,229.0,0.002,,,,,,,,,,,,,,,,,,,30.23,0.001,,0.0,,5.084,3.018,,0.419,,,,,,,5.106,,34.5,0.000,0.003,0.045,,,,0.01,,,0.0,0.012
190,"""21380""","McDONALD'S, Fruit 'n Yogurt Parfait",149.0,1.0 item 5.2 oz,0.061,0.142,2.62,19.12,0.069,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,0.353,0.076,,,,,,,,,,,,,,654,,,,,,,,,,,,,,,0.171,,0.28,0.158,,,,,,0.95,,,,,,,,,0.25,,,,,,,,,,,,88.0,156.0,,,,,,,,,,,,,,,,,,,,30.87,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14,
191,"""21381""","McDONALD'S, Fruit 'n Yogurt Parfait (without granola)",142.0,1.0 item,0.006,0.047,2.53,16.9,0.047,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,0.267,0.058,,,,,,,,,,,,,,535,,,,,,,,,,,,,,,0.166,,0.28,0.014,,,,,,0.8,,,,,,,,,0.26,,,,,,,,,,,,88.0,128.0,,,,,,,,,,,,,,,,,,,,25.09,,,,,,,,,,,,,,,,,,,,,,,,,,,3.15,
192,"""21228""","McDONALD'S, Hamburger",95.0,1.0 sandwich,3.329,1.349,3.13,5.73,0.235,,0.0,0.007,,0.127,,,,,,,,,0.0,,,0.061,,0.004,1.2,0.001,,,,,,,,,,,,,,4.317,0.091,0.090,1.12,0.131,2.00,0.063,,0.012,,,,,,,1048,0.354,0.207,,,,0.052,42.3,,,,,0.026,,0.036,0.227,0.002,0.79,3.58,,,0.008,,0.010,2.07,,0.006,,,,0.22,469.0,0.0,0.00,0.006,,1.172,182.0,,,,,0.052,,0.00,52.0,251.0,0.003,,,,,,,,,,,,,,,,,,,28.77,0.000,,,,,1.078,,,,,,,,,3.168,,,0.010,0.016,0.407,,,,,,,0.0,0.042
193,"""21319""","McDONALD'S, Hash Brown",53.0,1.0 serving 1 patty,1.233,2.684,0.13,0.29,0.067,,0.0,,,0.218,1.13,,,,,0.01,0.012,0.082,0.0,,,,,0.004,1.5,0.000,9,,,,,,,,,,,,,0.918,0.049,0.006,0.55,0.233,0.16,0.0,,,,,,,,,600,0.012,0.006,,,,0.014,26.72,0,2.24,,10.0,0.000,1,0.003,0.017,0.000,,4.269,,0,0.002,0.095,0.026,1.19,0.31,0.002,,,,0.015,307.0,0.0,0.00,,,2.445,181.0,,,,,0.014,,0.00,1.0,144.0,0.008,,,,,,,,,,,,,,,,,,,15.14,0.000,,0.0,,4.147,2.424,,0.183,,,,,,,4.159,,,0.000,0.003,0.026,,,,0.01,,0.004,0.0,0.007
194,"""21335""","McDONALD'S, Hot Caramel Sundae",182.0,1.0 item (6.4 oz),4.492,0.422,1.42,42.84,0.067,,,,,,,,,,,,,,0.0,,,0.013,,0.000,0.0,,,,,,,,,167,,,,,,0.207,0.027,0.045,1.067,0.033,5.46,0.049,,0.000,,,,,,,1432,,0.701,,,,,,,,,,,,,0.406,,0.93,2.202,,167,0.197,0.089,0.000,1.64,,,,,,,,,0.00,,,0.379,339.0,,,,,,,,559.0,342.0,,,,,,,,,,,,,,,,,,,,60.72,,,,,,,,,,,,,,,2.057,,,,,,,,,,,,9.94,
195,"""21336""","McDONALD'S, Hot Fudge Sundae",179.0,1.0 item (6.3 oz),6.43,,0.39,48.13,0.075,,,,,,,,,,,,,,0.0,,,0.013,,0.000,0.7,,,,,,,,,145,,,,,,0.27,0.091,0.036,1.496,0.032,1.41,0.038,,0.000,,,,,,,1393,,0.985,,,,,,,,,,,,,0.405,,0.98,1.871,,145,1.43,0.093,0.000,1.95,,,,,,,,,0.00,,,0.354,440.0,,,,,,,,483.0,333.0,,,,,,,,,,,,,,,,,,,,53.79,,,,,,,,,,,,,,,1.756,,,,,,,,,,,,10.49,
196,"""21321""","McDONALD'S, Hotcakes (plain)",149.0,3.0 hotcakes 5.3 oz,1.725,4.437,0.36,13.17,0.446,,,,,0.478,1.04,,,,,,,,0.0,,,,,0.000,2.1,,,,,,,,,0,,,,,,3.233,0.136,0.000,0.66,0.478,1.56,0.0,,,,,,,,,1421,,0.000,,,,,,,,,,,,,0.398,,,1.842,,4,0.0,0.115,0.025,2.46,,,,,,,,,0.00,,,3.959,258.0,,,,,,,,85.0,340.0,,,,,,,,,,,,,,,,,,,,57.02,,0.027,,,,3.931,,1.059,,,,,,,1.803,,,,,,,,,,,,4.98,
197,"""21365""","McDONALD'S, Hotcakes (with 2 pats margarine  &  syrup)",221.0,1.0 item,1.808,4.612,0.40,45.48,0.446,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,3.235,0.146,,,,,,,,,,,,,,2515,,,,,,,,,,,,,,,0.398,,0.02,1.907,,,,,,2.67,,,,,,,,,0.00,,,,,,,,,,,,533.0,601.0,,,,,,,,,,,,,,,,,,,,101.84,,,,,,,,,,,,,,,,,,,,,,,,,,,5.26,
198,"""21364""","McDONALD'S, Hotcakes and Sausage",192.0,1.0 item,7.0,,,14.0,0.415,,,,,,,,,,,,,,,,,,,,3.1,,,,,,,,,,,,,,,3.8,0.127,,,,,,,,,,,,,,2362,,,,,,,,,,,,,,,0.342,,0.27,,,,,,,2.76,,,,,,,,,,,,,,,,,,,,,388.0,564.0,,,,,,,,,,,,,,,,,,,,72.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"""21355""","McDONALD'S, McCHICKEN Sandwich",131.0,1.0 sandwich,3.073,6.503,2.53,4.68,0.278,,0.0,0.014,,0.563,,,,,,,,,0.0,,,0.009,,0.012,1.7,0.001,,,,,,,,,,,,,,5.164,0.107,0.016,0.858,0.586,1.35,0.008,,0.014,,,,,,,1493,0.045,0.031,,,,0.059,60.4,,,,,0.001,,0.005,0.262,0.000,0.25,5.765,,,0.005,,0.041,2.99,,0.007,,,,0.234,817.0,0.0,0.00,0.003,,5.833,227.0,,,,,0.059,,0.22,,,,,,,,,,,,,,,,,,,,,,36.64,0.000,,,,,5.759,,,,,,,,,5.389,,,0.013,0.037,0.103,,,,,,,0.0,0.016
200,"""21356""","McDONALD'S, McCHICKEN Sandwich (without mayonnaise)",138.0,1.0 item,2.258,3.976,,5.74,0.323,,,,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,,,,,6.032,0.101,,,,,,,,,,,,,,1386,,,,,,,,,,,,,,,0.298,,0.23,4.699,,,,,,2.87,,,,,,,,,,,,,,,,,,,,,76.0,331.0,,,,,,,,,,,,,,,,,,,,42.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"""21338""","McDONALD'S, McFLURRY with M & M'S CANDIES",348.0,1.0 regular (12 fl oz),11.839,0.981,0.73,84.81,0.177,,,,,,,,,,,,,,0.0,,,0.028,,0.000,0.7,,,,,,,,,,,,,,,0.484,0.153,0.097,3.811,0.080,2.61,0.097,,0.000,,,,,,,2579,,1.364,,,,,,,,,,,,,0.846,,2.09,5.812,,,0.379,0.184,0.010,3.34,,,,,,,,,0.00,,,0.884,724.0,,,,,,,,1086.0,616.0,,,,,,,,,,,,,,,,,,,,93.33,,,,,,,,,,,,,,,5.519,,,,,,,,,,,,21.68,
202,"""21339""","McDONALD'S, McFLURRY with OREO cookies",337.0,1.0 regular (12 fl oz),8.684,1.227,0.61,71.41,0.162,,,,,,,,,,,,,,0.0,,,0.027,,0.000,0.3,,,,,,,,,,,,,,,0.89,0.101,0.084,2.201,0.067,3.00,0.084,,0.000,,,,,,,2325,,1.237,,,,,,,,,,,,,0.772,,1.95,5.783,,,0.344,0.195,0.010,3.1,,,,,,,,,0.00,,,1.142,667.0,,,,,,,,1089.0,556.0,,,,,,,,,,,,,,,,,,,,86.1,,,,,,,,,,,,,,,5.523,,,,,,,,,,,,18.94,
203,"""21234""","McDONALD'S, QUARTER POUNDER",171.0,1.0 item,6.854,0.484,3.76,8.77,0.313,,,,,,,,,,,,,,,,,,,,2.7,,,,,,,,,,,,,,,7.613,0.183,,,,,,,,,,,,,,1746,,,,,,,,,,,,,,,0.588,,2.19,7.185,,,,,,3.1,,,,,,,,,0.00,,,,,,,,,,,,96.0,417.0,,,,,,,,,,,,,,,,,,,,37.91,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,
204,"""21235""","McDONALD'S, QUARTER POUNDER with Cheese",199.0,1.0 item 7.1 oz,11.23,0.862,3.76,9.77,0.326,,,,,,,,,,,,,,,,,,,,2.8,,,,,,,,,,,,,,,7.662,0.193,,,,,,,,,,,,,,2147,,,,,,,,,,,,,,,0.704,,2.51,9.17,,,,,,4.68,,,,,,,,,0.00,,,,,,,,,,,,557.0,513.0,,,,,,,,,,,,,,,,,,,,39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,
205,"""21523""","McDONALD'S, RANCH SNACK WRAP, Crispy",133.0,1.0 wrap,5.103,6.552,0.33,3.3,0.226,,0.049,0.009,,0.609,1.61,,,,,0.28,0.126,0.104,0.0,,,0.015,,0.009,1.7,0.000,68,,,,,,,31,,,,,,4.686,0.092,0.032,1.826,0.645,0.44,0.031,,0.009,,,,,,,1528,0.138,0.321,,,,0.053,63.68,1,5.8,,117.0,0.009,20,0.035,0.315,0.005,,5.861,,32,0.098,0.221,0.044,3.09,1.50,0.007,,,,0.085,807.0,0.047,0.00,0.005,,5.825,230.0,19.4,,,,0.053,,1.96,134.0,366.0,0.005,,,,,,,,,,,,,,,,,,,30.88,0.003,,0.0,,5.480,5.747,,,,,,,,,5.606,,,0.009,0.037,0.192,,,,0.0,,0.040,0.17,0.025
206,"""21524""","McDONALD'S, RANCH SNACK WRAP, Grilled",123.0,1.0 wrap,4.136,4.200,0.27,1.88,0.209,,0.055,0.011,,0.448,,,,,,,,,0.0,,,0.010,,0.006,1.1,0.001,,,,,,,,32,,,,,,6.56,0.076,0.027,1.434,0.471,0.54,0.031,,0.011,,,,,,,1140,0.117,0.309,,,,0.043,67.86,,,,,0.009,,0.034,0.287,0.005,0.25,2.845,,32,0.102,0.239,0.028,2.84,,0.006,,,,0.087,710.0,0.07,0.00,0.005,,3.644,236.0,15.7,,,,0.043,,0.48,108.0,273.0,0.001,,,,,,,,,,,,,,,,,,,22.67,0.002,,,,,3.581,,0.726,,,,,,,2.653,,,0.011,0.042,0.160,,,,,,,0.2,0.021
207,"""21361""","McDONALD'S, Sausage Biscuit",117.0,1.0 item 4.1 oz,12.471,4.001,,2.3,0.472,,0.012,,,,,,,,,,,,0.0,,,0.000,,0.082,1.4,,,,,,,,,9,,,,,,5.012,0.087,0.063,2.339,0.226,,0.0,,,,,,,,,1840,,0.700,,,,,,,,,,,,,0.329,,0.46,10.333,,9,1.3,0.150,0.013,3.59,,,,,,,,,,,,3.654,207.0,,,,,,,,30.0,440.0,,,,,,,,,,,,,,,,,,,,31.82,,,,,,,,,,,,,,,9.795,,,,,,,,,,,,,
208,"""21362""","McDONALD'S, Sausage Biscuit with Egg",163.0,1.0 item 5.7 oz,14.064,5.165,,2.33,0.502,,0.011,,,,,,,,,,,,0.0,,,0.000,,0.098,1.3,,,,,,,,,104,,,,,,4.838,0.127,0.075,2.8,0.300,,0.0,,,,,,,,,2121,,0.693,,,,,,,,,,,,,0.621,,0.98,12.629,,104,1.245,0.235,0.016,4.19,,,,,,,,,,,,4.694,269.0,,,,,,,,349.0,507.0,,,,,,,,,,,,,,,,,,,,31.43,,,,,,,,,,,,,,,11.964,,,,,,,,,,,,,
209,"""21340""","McDONALD'S, Sausage Burrito",109.0,1.0 burrito,6.98,3.669,0.21,2.8,0.229,0.982,0.071,0.013,,0.251,1.02,0.628,0.856,0.004,,0.24,0.155,0.089,0.0,2.568,0.891,0.023,,0.044,1.3,0.007,222,,,,,,,72,,,0.044,12.1,85,2.325,0.082,0.049,2.213,0.267,0.36,0.041,,0.024,,,,0.445,0.015,0.43,1263,0.169,0.481,,,,0.05,51.83,5,1.78,0.445,144.0,0.014,162,0.049,0.455,0.004,0.81,5.53,,86,0.132,0.111,0.020,3.0,0.55,0.004,,,,0.258,811.0,0.09,0.00,0.008,,3.193,164.0,12.4,1.107,17.04,0.273,0.049,,0.89,517.0,302.0,0.001,0.137,19.51,149,0.434,0.032,28.8,,,,0.502,3.633,183.0,,,,,,,25.04,0.000,,3.0,,4.944,3.11,,0.725,0.639,,0.131,,,,5.099,0.296,,0.019,0.093,0.219,,,,0.0,0.286,0.072,0.92,0.034
210,"""21328""","McDONALD'S, Sausage McGRIDDLES",135.0,1.0 item,7.337,3.498,0.19,15.16,0.282,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,4.161,0.107,,,,,,,,,,,,,,1762,,,,,,,,,,,,,,,0.211,,0.36,10.168,,,,,,3.33,,,,,,,,,0.00,,,,,,,,,,,,0.0,421.0,,,,,,,,,,,,,,,,,,,,42.19,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,
211,"""21358""","McDONALD'S, Sausage McMUFFIN",115.0,1.0 item 4 oz,8.341,3.719,0.33,2.22,0.399,,,,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,4.812,0.105,,,,,,,,,,,,,,1604,,,,,,,,,,,,,,,0.331,,0.52,8.911,,,,,,3.23,,,,,,,,,0.00,,,,,,,,,,,,299.0,383.0,,,,,,,,,,,,,,,,,,,,28.2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,
212,"""21359""","McDONALD'S, Sausage McMUFFIN with Egg",165.0,1.0 item 5.8 oz,9.913,4.567,0.40,2.59,0.432,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,,,,,,,,4.835,0.155,,,,,,,,,,,,,,1891,,,,,,,,,,,,,,,0.568,,1.15,10.859,,,,,,3.86,,,,,,,,,0.05,,,,,,,,,,,,553.0,452.0,,,,,,,,,,,,,,,,,,,,28.51,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,
213,"""21329""","McDONALD'S, Sausage, Egg  &  Cheese McGRIDDLES",199.0,1.0 item 7 oz,11.242,4.497,0.18,15.72,0.338,,,,,,,,,,,,,,,,,,,,1.2,,,,,,,,,,,,,,,4.201,0.157,,,,,,,,,,,,,,2354,,,,,,,,,,,,,,,0.577,,1.05,13.369,,,,,,4.86,,,,,,,,,0.00,,,,,,,,,,,,525.0,563.0,,,,,,,,,,,,,,,,,,,,43.86,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,
214,"""21379""","McDONALD'S, Side Salad",87.0,1.0 item 3.1 oz,0.017,0.069,1.00,1.95,0.039,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,0.181,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,0.033,,0.00,0.005,,,,,,0.47,,,,,,,,,0.00,,,,,,,,,,,,2480.0,17.0,,,,,,,,,,,,,,,,,,,,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
215,"""21522""","McDONALD'S, Southern Style Chicken Biscuit",132.0,1.0 biscuit regular size biscuit,7.54,4.367,0.00,3.46,0.330,,0.003,0.009,,0.265,2.48,,,,,0.36,0.051,0.092,0.0,,,0.007,,0.009,1.8,0.000,,3.8,0.86,,,,,,,,,,,6.332,0.079,0.016,0.927,0.284,0.00,0.001,,0.007,,,,,,,1682,0.054,0.389,,,,0.038,52.01,,2.71,,58.0,0.001,,0.011,0.343,0.004,0.20,7.201,8.7,,0.869,0.273,0.033,4.18,0.41,0.007,,,,0.054,1146.0,0.007,0.00,0.004,,4.009,272.0,,,,,0.038,,2.43,,,,,,,,,,,,,,,,,,,,,,40.34,0.000,,,,,3.959,,,,,,,,,7.03,,0.0,0.007,0.036,0.092,,,,1.27,,0.074,0.87,0.012
