,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
62,"""03297""","Babyfood, dinner, apples and chicken, strained",28.35,1.0 oz,0.098,0.099,1.11,1.72,0.006,,0.000,,0.0,,,,,,,,,,,,,,,,0.5,,5,,,,,,,,,0,,,,0.164,0.011,,0.022,0.008,0.41,,,,,,,,,,77,,0.003,,,,,,,,,,,,,0.016,0.000,0.01,0.117,0.2,1,0.000,0.024,,0.05,,0.000,0.0,,,,,,,,,0.086,27.0,,,,,,,,9,18.0,,,,,,,,0,0.009,0.0,,,,0.00,2.6,,0.00,2.6,,3.08,,,0.0,0,,,,,,,,0.0,,2.0,0.099,,,,,,0.0,,0.1,,,,0.0,
63,"""03287""","Babyfood, dinner, beef noodle, junior",16.0,1.0 tbsp,0.123,0.015,,0.23,0.004,0.033,0.000,,1.0,,,,0.030,,,,,,,,,,,,0.2,,26,,,,,,,,,0,,,,0.093,0.005,,0.034,0.004,,,,,,,,0.016,,,38,,0.009,,,,,,,,,,,,,0.006,0.000,0.02,0.134,0.7,5,0.001,0.005,,0.08,,0.000,0.0,,,,,,,,,0.011,7.0,,0.03,0.3,0.013,,,,105,9.0,,0.004,,1,0.015,,0.9,1,,2.0,0.022,0.073,5.0,0.00,1.9,0.016,0.00,1.9,0.016,1.17,,,23.0,0,,,,,0.025,,0.001,0.0,0.021,1.0,0.115,0.012,,,,,0.0,,0.2,,,,,
64,"""03047""","Babyfood, dinner, beef noodle, strained",16.0,1.0 tbsp,0.15,0.023,0.03,0.23,0.006,,0.000,,1.0,,,,,,,,,,,,,,,,0.2,,4,,,,,,,,,0,,,,0.099,0.008,,0.048,0.003,0.04,,,,,,,,,,42,,0.011,,,,,,,,,,,,,0.006,0.000,0.03,0.151,0.3,6,0.001,0.006,,0.04,,0.000,0.0,,,,,,,,,0.018,14.0,,,,,,,,115,10.0,,,,,,,,1,0.019,1.0,,,,0.00,1.4,,0.00,1.4,,1.31,,,25.0,0,,,,,,,,0.0,,2.0,0.132,,,,,,0.0,,0.0,,,,0.0,
65,"""03055""","Babyfood, dinner, beef with vegetables",113.0,1.0 jar Beech-Nut Stage 2 (4 oz),3.209,1.017,0.55,2.44,0.034,,0.000,,12.0,,,,,,,,,,,,,,,,2.0,,66,,,,,,,,,0,,,,0.791,0.041,,1.257,0.168,0.36,,,,,,,,,,454,,0.242,,,,,,,,,,,,,0.068,0.000,0.1,3.526,13.1,251,0.058,0.094,,0.43,,0.000,,,,,,,,,,0.844,144.0,,,,,,,,5013,108.0,,,,,,,,0,0.007,12.0,,,,0.00,11.2,,0.00,11.2,,7.19,,,1122.0,1,,,,,,,,0.0,,17.0,3.139,,,,,,0.0,,,,,,0.0,
66,"""03298""","Babyfood, dinner, broccoli and chicken, junior",29.0,1.0 tbsp,0.148,0.125,0.18,0.41,0.006,,0.000,,17.0,,,,,,,0.0,,,0.0,,,,,0.0,0.4,,148,1.2,0.01,,,,,0,,0,,,,0.280,0.009,0.000,0.026,0.029,0.20,0.000,22.0,,0.000,22.0,,,,,75,,0.003,,,,,,,0.01,,11.0,,,,0.028,0.000,0.1,0.223,21.3,7,0.000,0.015,,0.19,0.00,,,,,,,,,,0.0,0.093,49.0,0.7,,,,,,,137,18.0,0.000,,,,,,,3,0.035,20.0,,,,0.00,9.0,,0.00,9.0,,1.84,,,3.0,0,,,,,,,,0.0,,3.0,0.189,,0.0,,,,0.0,,5.1,0.0,,,0.0,
67,"""43008""","Babyfood, dinner, chicken and rice",16.0,1.0 tbsp,0.034,0.030,,0.09,0.002,,0.000,,0.0,,,,,,,,,,,,,,,,0.2,,17,,,,,,,,,0,,,,0.048,0.004,,0.007,0.001,,,,,,,,,,,34,,0.001,,,,,,,,,,,,,0.003,0.000,0.02,0.063,0.3,9,0.000,0.005,,0.05,,0.000,0.0,,,,,,,,,0.026,10.0,,,,,,,,187,8.0,,,,,,,,0,,0.0,,,,0.00,1.1,,0.00,1.1,,1.47,,,42.0,0,,,,,,,,0.0,,1.0,0.055,,,,,,0.0,,0.2,,,,,
68,"""03069""","Babyfood, dinner, chicken noodle, junior",16.0,1.0 tbsp,0.055,0.171,0.07,0.43,0.009,,0.000,,2.0,,,,,,,,,,,,,,,,0.3,,5,,,,,,,0,,0,,,,0.242,0.008,,0.011,0.003,0.09,,,,,,,,,,50,,0.001,,,,,,,,,,,,,0.017,0.000,0.0,0.290,0.3,14,0.000,0.011,,0.06,,0.000,0.0,,,,,,,,,0.090,23.0,,,,,,,,277,12.0,,,,,,,,0,0.032,2.0,,,,0.00,1.2,,0.00,1.2,,1.25,,,63.0,0,,,,,,,,0.0,,2.0,0.187,,,,,,0.0,,0.0,,,,0.0,
69,"""03068""","Babyfood, dinner, chicken noodle, strained",16.0,1.0 tbsp,0.055,0.171,0.07,0.43,0.009,,0.000,,2.0,,,,,,,,,,,,,,,,0.3,,6,,,,,,,0,,0,,,,0.242,0.008,,0.011,0.024,0.09,,,,,,,,,,50,,0.001,,,,,,,,,,,,,0.017,0.000,0.0,0.290,0.3,18,0.000,0.011,,0.06,,0.000,0.0,,,,,,,,,0.090,23.0,,,,,,,,349,12.0,,,,,,,,0,0.032,2.0,,,,0.00,1.7,,0.00,1.7,,1.25,,,79.0,0,,,,,,,,0.0,,2.0,0.187,,,,,,0.0,,0.0,,,,0.0,
70,"""03070""","Babyfood, dinner, chicken soup, strained",113.0,1.0 jar Beech-Nut Stage 2 (4 oz),0.314,1.017,,1.94,0.019,,0.000,,6.0,,,,,,,,,,,,,,,,1.2,,45,,,,,,,,,0,,,,0.331,0.315,,0.077,0.116,,,,,,,,,,,236,,0.005,,,,,,,,,,,,,0.036,0.000,0.14,0.480,7.8,78,0.001,0.042,,0.45,,0.000,0.1,,,,,,,,,0.895,75.0,,,,,,,,1564,56.0,,,,,,,,0,,6.0,,,,0.00,7.2,,0.00,7.2,,8.14,,,354.0,3,,,,,,,,0.1,,6.0,0.457,,,,,,0.0,,1.1,,,,,
71,"""03072""","Babyfood, dinner, chicken stew, toddler",16.0,1.0 tbsp,0.176,0.123,,0.27,0.005,0.065,0.000,,0.0,,,,0.066,,,,,,,,,,,,0.1,,28,,,,,,,0,,0,,,,0.184,0.003,,0.035,0.005,,,,,,,,0.035,,,52,,0.008,,,,,,,,,,,,,0.012,0.000,0.02,0.272,0.6,8,0.002,0.007,,0.22,,0.000,0.0,,,,,,,,,0.117,15.0,,0.057,0.59,0.022,,,,162,12.0,,0.009,,5,0.028,,0.9,2,,3.0,0.041,0.118,8.0,0.00,3.3,0.033,0.00,3.3,0.033,1.02,,,34.0,1,,,,,0.053,,0.002,0.0,0.047,2.0,0.246,0.020,,,,,0.0,,0.3,,,,,
