,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g)_x,"Tocopherol, delta (mg)_x",22:1 undifferentiated (g)_x,Ash (g)_y,"Tocopherol, delta (mg)_y",22:1 undifferentiated (g)_y,16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
104,"""16279""",HOUSE FOODS Premium Soft Tofu,56.0,2.0 oz,0.269,0.902,,0.3,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137,,,,,,,,,,,,,,,,,,0.353,,,,,,0.36,,,0.36,,,,,,,,,,,,,,,,,,19.0,33.0,,,,,,,,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,"""16158""","Hummus, commercial",15.0,1.0 tbsp,0.384,1.322,0.04,0.09,0.024,,0.000,,7,0.107,0.23,,,,,0.0,0.001,0.008,0.0,,,0.001,,0.001,0.8,0.000,39,0.0,,,,,,,,0,,,,0.154,0.057,0.002,0.109,0.109,0.00,0.0,7,,0.0,7,,,,,149,0.001,0.001,,,,0.002,8.61,0,1.65,,7.0,0.000,2,0.0,0.019,,0.00,0.801,3.4,0,0.000,0.022,0.007,0.3,0.31,0.000,0.3,0.31,0.000,0.003,64.0,0.0,,,0.0,1.212,47.0,,,,,0.002,,0.05,3.0,36.0,0.000,,,,,,,0,0.173,7.0,,,,0.0,,,0.0,,,2.25,0.000,,0.0,,0.788,1.209,,0.052,,,,0.0,,11,0.789,,0.0,0.000,0.001,0.003,0.0,,,0.0,,,0.0,0.000
106,"""16137""","Hummus, home prepared",15.0,1.0 tablespoon,0.171,0.316,,0.04,0.013,0.052,0.000,,9,,,,0.044,,,,,,,,,0.001,,,0.6,,0,,,,,,,,,0,,,,0.06,0.034,0.000,0.033,0.011,,0.0,9,,0.0,9,,0.027,,,111,,0.001,2.0,0.23,0.011,,,,0.01,0.033,7.0,,,,0.008,,0.00,0.73,0.5,0,0.000,0.060,0.001,0.23,0.00,,0.23,0.00,,,,,,,,0.305,26.0,,0.03,1.29,0.011,,,,1.0,27.0,,0.009,,0,0.02,0.003,0.4,0,0.085,9.0,0.031,0.132,16.0,0.0,4.2,0.037,0.0,4.2,0.037,3.02,,,0.0,,,,,,0.075,,0.000,0.0,0.032,4,0.715,0.020,0.0,,,,0.0,,1.2,,,,,
107,"""16368""","Hyacinth beans, mature seeds, cooked, boiled, with salt",194.0,1.0 cup,0.192,0.475,,,,,,,,,,,1.079,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.797,0.662,,,,,,,,,,,0.611,,,951,,,,,,,,,,,,,,,0.072,,0.00,0.05,,0,,,,2.83,,,2.83,,,,,,,,,0.475,654.0,,0.768,1.13,,,,,0.0,227.0,,0.132,,0,0.565,,5.4,0,0.935,8.0,0.757,,233.0,,,,,,,40.16,,,,,,,,,1.16,,,0.0,0.819,159,0.05,0.452,,,,,,,,,,,,
108,"""16068""","Hyacinth beans, mature seeds, cooked, boiled, without salt",194.0,1.0 cup,0.192,0.475,,,,,,,,,,,1.079,,,,,,,,,,,,,,,,,,,,,0,,,,,,0.797,0.662,,,,,,,,,,,0.611,,,953,,,,,,,,,,,,,,,0.072,,0.00,0.05,,0,,,,2.83,,,2.83,,,,,,,,,0.475,654.0,,0.768,1.13,,,,,0.0,227.0,,0.132,,0,0.565,,5.4,0,0.935,8.0,0.757,,233.0,,,,,,,40.14,,,,,,,,,1.16,,,0.0,0.819,159,0.05,0.452,,,,,,,,,,,,
109,"""16067""","Hyacinth beans, mature seeds, raw",210.0,1.0 cup,0.605,1.502,,,,,,,,,,,3.427,,,,,,,,,,,,53.8,,0,,,,,,,,,0,,,,3.381,2.803,,,,,,,,,,,1.942,,,3026,,,,,,,,,,,,,,,0.286,,0.00,0.16,,0,,,,9.01,,,9.01,,,,,,,,,1.502,2594.0,,2.44,3.55,,,,,0.0,722.0,,0.418,,0,1.791,,17.2,0,3.303,48.0,2.4,,781.0,,,,,,,127.55,,,0.0,,,,,,3.685,,,0.0,2.602,594,0.16,1.436,,,,,0.0,,,,,,,
110,"""16370""","Lentils, mature seeds, cooked, boiled, with salt",198.0,1.0 cup,0.105,0.346,,3.56,0.335,1.295,,,,,,,1.247,,,,,,,,,,,,15.6,,0,,,,,,,0,,,,,,2.099,0.497,,0.01,0.073,,,,,,,,0.64,,,944,,0.002,,,,,,,,,,,,,0.145,,0.00,0.127,3.4,0,,,,2.81,,,2.81,,,,,,,,,0.271,731.0,,0.746,0.75,0.002,,,,16.0,226.0,,0.160,,0,0.477,,5.5,0,0.978,358.0,0.772,0.089,356.0,0.0,64.7,0.824,0.0,64.7,0.824,38.69,,,0.0,,,,,,1.38,,,0.0,0.887,71,0.121,0.503,,,,,,,,,,,,
111,"""16070""","Lentils, mature seeds, cooked, boiled, without salt",198.0,1.0 cup,0.105,0.346,,3.56,0.335,1.295,0.000,,358,,,,1.247,,,,,,,,,,,,15.6,,0,,,,,,,,,0,,,,2.099,0.497,,0.01,0.073,,,,,,,,0.64,,,964,,0.002,,,,,,,,,,,,,0.145,,0.00,0.127,3.4,0,0.000,0.352,,1.64,,0.000,1.64,,0.000,,,,,,,0.271,731.0,,0.746,0.75,0.002,,,,16.0,230.0,,0.160,,0,0.477,,5.5,0,0.978,358.0,0.772,0.089,356.0,0.0,64.7,0.824,0.0,64.7,0.824,39.86,,,0.0,,,,,,1.38,,0.000,0.0,0.887,71,0.121,0.503,,,,,0.0,,3.0,,,,,
112,"""16144""","Lentils, pink or red, raw",192.0,1.0 cup,0.728,2.183,,,,,,,,,,,3.341,,,,,,,,,,,,20.7,,,,,,,,,0,,,,,,2.87,2.502,0.008,0.081,0.48,,,,,,,,1.718,,,2876,,0.006,109.0,14.19,0.628,,,,,,,,,,0.204,,0.00,0.96,,6,0.004,0.774,0.027,5.76,,,5.76,,,,,,,,,1.701,1283.0,,2.001,4.17,,,,,111.0,687.0,,0.428,91.43,0,1.281,0.027,0.0,0,3.295,392.0,2.07,0.545,564.0,,,,,,,121.15,,,0.0,,,,,,3.702,,0.002,0.0,2.377,113,0.941,1.348,,,,,,,,,,,,
113,"""16069""","Lentils, raw",192.0,1.0 cup,0.296,1.010,0.52,3.9,1.676,3.429,0.000,,920,,,,3.302,,,0.0,,0.012,,,,,,,20.5,,0,,,,,,,,,0,,,,5.002,1.448,,0.029,0.215,0.00,,,,,,,1.693,,0.58,2828,,0.006,,,,,,,8.12,1.924,67.0,,,,0.405,,0.00,0.371,9.6,4,0.000,1.037,,5.2,0.00,,5.2,0.00,,,,,,,0.0,0.795,1300.0,,1.976,2.04,0.006,,,,75.0,676.0,,0.424,95.81,0,1.263,,0.2,0,2.675,920.0,2.045,0.261,540.0,0.0,185.1,2.181,0.0,185.1,2.181,121.63,,,0.0,,,,,,3.654,,0.000,0.0,2.348,90,0.353,1.331,,,,,0.0,,8.6,0.0,0.403,,0.0,
114,"""16073""","Lima beans, large, mature seeds, canned",241.0,1.0 cup,0.094,0.178,,,,,,,,,,,0.795,,,,,,,,,,,,11.6,,,,,,,,,0,,,,,,0.629,0.434,,0.019,0.055,,,,,,,,0.513,,,798,,0.000,,,,,,,,,,,,,0.082,,0.00,0.036,,0,0.000,0.219,,7.04,,0.002,7.04,,0.002,,,,,,,0.125,530.0,,0.54,0.41,0.002,,,,0.0,190.0,,0.140,,0,0.419,,10.8,0,0.875,120.0,0.624,0.067,178.0,,,,,,,35.93,,,,,,,,,0.728,,,0.0,0.713,94,0.029,0.364,,,,,,,,,,,,
115,"""16372""","Lima beans, large, mature seeds, cooked, boiled, with salt",188.0,1.0 cup,0.167,0.321,,5.45,0.303,1.265,,,,,,,0.983,,,,,,,,,,,,13.2,,0,,,,,,,0,,,,,,0.791,0.442,,0.034,0.098,,,,,,,,0.634,,,906,,0.002,,,,,,,,,,,,,0.103,,0.00,0.064,3.8,0,0.000,0.303,,2.16,,0.004,2.16,,0.004,,,,,,,0.222,955.0,,0.666,0.71,0.004,,,,0.0,216.0,,0.173,,0,0.519,,8.5,0,0.970,156.0,0.773,0.122,209.0,0.0,61.1,0.976,0.0,61.1,0.976,39.25,,,0.0,,,,,,0.899,,,0.0,0.882,81,0.055,0.447,,,,,,,,,,,,
