,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg),"Tocotrienol, alpha (mg)",Alanine (g),13:0 (g),Beta-sitosterol (mg),18:4 (g),Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g)_x,"Tocopherol, delta (mg)_x",22:1 undifferentiated (g)_x,Ash (g)_y,"Tocopherol, delta (mg)_y",22:1 undifferentiated (g)_y,16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
20,"""20314""","Corn grain, white",166.0,1.0 cup,1.107,3.591,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,0,,,,,,6.021,0.521,,0.124,0.108,,,,,,,,0.588,,,2535,,,,,,,,,,,,,,,0.334,,0.00,2.077,,0,,,,1.99,,,1.99,,,,,,,,,3.481,476.0,,1.365,7.87,0.007,,,,0.0,606.0,,0.111,,0,0.636,,25.7,,,,0.559,0.945,349.0,0.0,,0.742,0.0,,0.742,123.27,,,,,,,,,0.78,,,0.0,0.792,211.0,2.070,0.476,,,,,,,,,,,,
21,"""20014""","Corn grain, yellow",166.0,1.0 cup,1.107,3.591,,1.06,0.639,1.917,,,,,,,0.44,,,,,,,,,,,,12.1,,2249,,,,,,,,,0,,,,6.021,0.521,,0.124,0.108,,,,,,,,0.588,,,2535,,,,,,,,,,,,,,,0.334,,0.00,2.077,0.5,18,,,,1.99,,,1.99,,,,,,,,,3.481,476.0,,1.365,7.87,0.007,,,,355.0,606.0,,0.111,,0,0.636,,25.7,0,0.805,32,0.559,0.945,349.0,0.0,,0.742,0.0,,0.742,123.27,,,105.0,0,,,,,0.78,,,0.0,0.792,211.0,2.070,0.476,,,,,0.0,,,,,,,
22,"""20322""","Cornmeal, degermed, enriched, white",157.0,1.0 cup,0.345,1.300,0.27,2.53,0.865,1.579,0.000,,47.0,,,,0.165,,,0.0,,,0.0,2.284,0.730,,,0.0,6.1,,8,,,,,,0.0,,,0,,11.16,0,7.8,0.119,0.002,0.060,0.031,0.88,0.0,526,,0.0,526,,0.27,0.000,0.30,2429,0.000,0.002,,,,,,,0.71,0.341,5.0,,,,0.600,,0.00,0.612,,0,0.002,0.286,0.000,0.8,0.06,0.003,0.8,0.06,0.003,,,,,,0.0,1.269,223.0,1.6,1.171,2.75,0.005,,,,5.0,581.0,0.000,0.06,115.08,0,0.294,0.006,16.5,283,0.273,328,0.38,0.275,155.0,0.0,13.5,0.535,0.0,13.5,0.535,124.74,,,0.0,,,,,,0.375,,0.000,0.0,0.529,50.0,0.606,0.270,0.0,,,,0.0,,,0.91,0.254,0.000,0.0,
23,"""20022""","Cornmeal, degermed, enriched, yellow",157.0,1.0 cup,0.345,1.300,0.27,2.53,0.865,1.579,0.000,,47.0,,,,0.165,,,0.0,,,0.0,2.284,0.730,,,0.0,6.1,,2556,,,,,,0.0,,,0,,11.16,0,7.8,0.119,0.002,0.060,0.031,0.88,0.0,526,,0.0,526,,0.27,0.000,0.30,2429,0.000,0.002,,,,,,,0.71,0.341,5.0,,,,0.600,,0.00,0.612,0.0,17,0.002,0.286,0.000,0.8,0.06,0.003,0.8,0.06,0.003,,,,,,0.0,1.269,223.0,1.6,1.171,2.75,0.005,,,,336.0,581.0,0.000,0.06,115.08,0,0.294,0.006,16.5,283,0.273,328,0.38,0.275,155.0,0.0,13.5,0.535,0.0,13.5,0.535,124.74,,,99.0,0,,,,,0.375,,0.000,0.0,0.529,50.0,0.606,0.270,0.0,,,,0.0,,,0.91,0.254,0.000,0.0,
24,"""20522""","Cornmeal, degermed, unenriched, white",157.0,1.0 cup,0.345,1.300,0.27,2.53,0.220,1.579,0.000,,47.0,,,,0.165,,,0.0,,,0.0,2.284,0.730,,,0.0,6.1,,8,,,,,,0.0,0,,,,11.16,0,1.57,0.119,0.002,0.060,0.031,0.88,0.0,47,,0.0,47,,0.27,0.000,0.30,2429,0.000,0.002,,,,,,,0.71,0.341,5.0,,,,0.079,,0.00,0.612,,0,0.002,0.286,0.000,0.8,0.06,0.003,0.8,0.06,0.003,,,,,,0.0,1.269,223.0,1.6,1.171,2.75,0.005,,,,5.0,581.0,0.000,0.06,115.08,0,0.294,0.006,16.5,0,0.273,47,0.38,0.275,155.0,0.0,13.5,0.535,0.0,13.5,0.535,124.74,,,0.0,,,,,,0.375,,0.000,0.0,0.529,50.0,0.606,0.270,0.0,,,,,,,0.91,0.254,0.000,0.0,
25,"""20422""","Cornmeal, degermed, unenriched, yellow",157.0,1.0 cup,0.345,1.300,0.27,2.53,0.220,1.579,0.000,,47.0,,,,0.165,,,0.0,,,0.0,2.284,0.730,,,0.0,6.1,,2556,,,,,,0.0,,,0,,11.16,0,1.57,0.119,0.002,0.060,0.031,0.88,0.0,47,,0.0,47,,0.27,0.000,0.30,2429,0.000,0.002,,,,,,,0.71,0.341,5.0,,,,0.079,,0.00,0.612,0.0,17,0.002,0.286,0.000,0.8,0.06,0.003,0.8,0.06,0.003,,,,,,0.0,1.269,223.0,1.6,1.171,2.75,0.005,,,,336.0,581.0,0.000,0.06,115.08,0,0.294,0.006,16.5,0,0.273,47,0.38,0.275,155.0,0.0,13.5,0.535,0.0,13.5,0.535,124.74,,,99.0,0,,,,,0.375,,0.000,0.0,0.529,50.0,0.606,0.270,0.0,,,,0.0,,,0.91,0.254,0.000,0.0,
26,"""20323""","Cornmeal, white, self-rising, bolted, plain, enriched",122.0,1.0 cup,0.583,1.891,,,,,,,,,,,0.284,,,,,,,,,,,,8.2,,,,,,,,,0,,,,,,6.455,0.183,,0.066,0.057,,,,,,,,0.379,,,1704,,,,,,,,,,,,,,,0.488,,0.00,1.094,,0,,,,6.65,,,6.65,,,,,,,,,1.834,311.0,,0.882,4.15,0.004,,,,0.0,407.0,,0.071,,0,0.411,,,215,,284,0.361,0.498,981.0,,,,,,,85.74,,,,,,,,,0.504,,,0.0,0.511,105.0,1.091,0.309,,,,,,,,,,,,
27,"""20324""","Cornmeal, white, self-rising, bolted, with wheat flour added, enriched",170.0,1.0 cup,0.68,2.205,,,,,,,,,,,0.391,,,,,,,,,,,,10.7,,,,,,,,,0,,,,,,8.843,0.236,,0.076,0.066,,,,,,,,0.518,,,2475,,,,,,,,,,,,,,,0.736,,0.00,1.277,,0,,,,8.47,,,8.47,,,,,,,,,2.139,352.0,,1.301,4.84,0.003,,,,0.0,592.0,,0.111,,0,0.564,,,337,,449,0.51,0.580,1107.0,,,,,,,124.83,,,,,,,,,0.697,,,0.0,0.706,92.0,1.272,0.423,,,,,,,,,,,,
28,"""20325""","Cornmeal, white, self-rising, degermed, enriched",138.0,1.0 cup,0.323,1.020,,,,,,,,,,,,,,,,,,,,,,,9.8,,,,,,,,,0,,,,,,6.301,0.179,,0.036,0.028,,,,,,,,,,,2048,,0.001,,,,,,,,,,,,,0.534,,0.00,0.592,,0,0.001,0.538,,6.78,,,6.78,,,,,,,,,0.992,235.0,,,,,,,,0.0,490.0,,,,,,,,279,,322,,,,,,,,,,103.21,,,,,,,,,,,,0.0,,68.0,0.585,,,,,,,,,,,,,
29,"""20320""","Cornmeal, whole-grain, white",122.0,1.0 cup,0.616,1.998,,0.78,0.470,1.215,0.000,,30.0,,,,0.278,,,,,,,,,,,,8.9,,6,,,,,,,,,0,,,,4.431,0.235,,0.070,0.060,,,,,,,,0.372,,,1848,,0.000,,,,,,,,,,,,,0.245,,0.00,1.157,0.4,0,0.000,0.371,,1.38,,0.000,1.38,,0.000,,,,,,,1.939,350.0,14.2,0.865,4.38,0.004,,,,4.0,442.0,,0.07,,0,0.403,,18.9,0,0.608,30,0.355,0.526,294.0,0.0,26.4,0.471,0.0,26.4,0.471,93.81,,,0.0,,,,,,0.494,,0.000,0.0,0.501,155.0,1.153,0.303,,,,,0.0,,,,,,,
