,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg)_x,"Tocotrienol, alpha (mg)_x",Alanine (g)_x,Menaquinone-4 (µg)_y,"Tocotrienol, alpha (mg)_y",Alanine (g)_y,Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
78,"""10183""","Pork, cured, ham, boneless, extra lean and regular, roasted",140.0,1.0 cup,3.654,1.498,,0.0,1.035,2.250,0.000,,4,,,,2.405,,,,,,,,,,,,,,0,,,,,,,,,0,,,,7.454,0.167,,1.204,0.238,,,,,,,,1.261,,,966,,0.182,0.0,1.96,0.426,,,,,,,,,,0.392,0.000,0.95,5.236,,0,0.028,0.490,,5.75,,0.000,1.1,,,,,,,,,1.26,507.0,8.1,1.211,10.72,0.518,,,,0.0,231.0,,0.34,,80,0.93,,27.3,0,0.064,4,1.243,2.198,347.0,0.0,120.3,1.162,0.0,120.3,1.162,0.7,,,0.0,45,,,,,1.842,,0.042,1.1,1.229,27.0,4.718,1.016,0.0,,,,0.0,,,,,,,
79,"""10182""","Pork, cured, ham, boneless, extra lean and regular, unheated",85.0,3.0 oz,2.295,0.79,,0.0,0.756,1.231,0.000,,3,,,,1.315,,,,,,,,,,,,,,0,,,,,,,,,0,,,,4.326,0.076,,0.731,0.102,,,,,,,,0.689,,,576,,0.102,0.0,0.77,0.233,,,,,,,,,,0.204,0.000,0.68,3.349,,0,0.017,0.323,,3.53,,0.000,0.5,,,,,,,,,0.689,252.0,3.9,0.662,7.13,0.289,,,,0.0,138.0,,0.186,,45,0.508,,13.9,0,0.027,3,0.68,1.445,201.0,0.0,59.4,0.635,0.0,59.4,0.635,1.94,,,0.0,22,,,,,1.008,,0.017,0.5,0.672,15.0,3.06,0.555,,,,,0.0,,,,,,,
80,"""43327""","Pork, cured, ham, boneless, low sodium, extra lean (approximately 5% fat), roasted",85.0,3.0 oz,1.531,0.456,,0.0,0.637,,0.000,,3,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,3.417,0.067,,0.482,0.051,,,,,,,,,,,516,,0.076,,,,,,,,,,,,,0.17,0.000,0.55,2.216,,0,0.017,0.340,,3.74,,0.000,0.7,,,,,,,,,0.406,244.0,4.8,,,,,,,0.0,123.0,,,,,,,,0,,3,,,,0.0,72.2,,0.0,72.2,,1.27,,,0.0,27,,,,,,,,0.7,,12.0,2.013,,0.0,,,,0.0,,,,,,,
81,"""43325""","Pork, cured, ham, boneless, low sodium, extra lean and regular, roasted",85.0,"3.0 oz, boneless",2.23,0.915,,0.0,0.629,,0.000,,3,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,4.522,0.101,,0.735,0.145,,,,,,,,,,,586,,0.111,,,,,,,,,,,,,0.238,0.000,0.58,3.196,,0,0.017,0.297,,3.4,,0.000,0.7,,,,,,,,,0.769,308.0,4.9,,,,,,,0.0,140.0,,,,,,,,0,,3,,,,0.0,73.1,,0.0,73.1,,0.42,,,0.0,27,,,,,,,,0.7,,16.0,2.88,,0.0,,,,0.0,,,,,,,
82,"""10136""","Pork, cured, ham, boneless, regular (approximately 11% fat), roasted",140.0,1.0 cup,4.368,1.974,,0.0,1.022,2.204,0.000,,4,,,,2.355,,,,,,,,,,,,,,0,,,,,,,,,0,,,,8.61,0.203,,1.47,0.336,,,,,,,,1.235,,,1043,,0.210,0.0,1.88,0.417,,,,,,,,,,0.462,0.000,0.98,6.216,,0,0.028,0.434,,5.54,,0.000,1.1,,,,,,,,,1.638,573.0,8.3,1.186,12.63,0.630,,,,0.0,249.0,,0.333,,83,0.911,,27.7,0,0.057,4,1.218,2.604,393.0,0.0,123.8,1.138,0.0,123.8,1.138,0.0,,,0.0,45,,,,,1.805,,0.042,1.1,1.204,31.0,5.6,0.995,0.0,,,,0.0,,,,,,,
83,"""10141""","Pork, cured, ham, center slice, country-style, separable lean only, raw",28.35,1.0 oz,0.788,0.275,,0.0,0.161,0.625,0.000,,1,,,,0.668,,,,,,,,,,,,,,0,,,,,,,,,0,,,,1.1,0.031,,0.244,0.026,,,,,,,,0.351,,,231,,0.031,,,,,,,,,,,,,0.069,0.000,0.25,1.083,,0,0.006,0.119,,2.17,,0.000,0.3,,,,,,,,,0.218,145.0,2.0,0.337,2.36,0.091,,,,0.0,55.0,,0.095,,20,0.259,,7.3,0,0.014,1,0.346,0.499,90.0,0.0,29.9,0.323,0.0,29.9,0.323,0.09,,,0.0,10,,,,,0.512,,0.009,0.3,0.342,7.0,0.993,0.282,,,,,0.0,,,,,,,
84,"""10142""","Pork, cured, ham, center slice, separable lean and fat, unheated",28.35,1.0 oz,1.296,0.4,,,,,,,,,,,0.485,,,,,,,,,,,,0.0,,,,,,,,,0,,,,,,1.363,0.021,,0.417,0.040,,,,,,,,0.254,,,241,,0.048,,,,,,,,,,,,,0.058,,0.23,1.727,,0,0.009,0.133,,0.97,,,,,,,,,,,,0.221,96.0,,0.244,3.66,0.119,,,,0.0,58.0,,0.069,,15,0.188,,6.4,0,0.009,1,0.251,0.811,61.0,,,,,,,0.01,,,,,,,,,0.371,,0.006,,,,1.591,0.205,,,,,,,,,,,,
85,"""10138""","Pork, cured, ham, extra lean (approximately 4% fat), canned, roasted",140.0,1.0 cup,2.24,0.616,,,,,0.000,,7,,,,2.545,,,,,,,,,,,,0.0,,,,,,,,,0,,,,,,6.849,0.07,,0.672,0.070,,,,,,,,1.322,,,797,,0.070,0.0,1.29,0.350,,,,,,,,,,0.346,0.000,0.99,3.486,,0,0.000,0.630,,5.6,,0.000,,,,,,,,,,0.546,487.0,,1.26,6.83,0.266,,,,0.0,190.0,,0.336,,42,0.972,,24.4,0,0.034,7,1.275,1.498,293.0,,,,,,,0.73,,,,,,,,,1.834,,0.000,,,,3.22,1.170,,,,,,,,,,,,
86,"""10137""","Pork, cured, ham, extra lean (approximately 4% fat), canned, unheated",85.0,3.0 oz,1.283,0.331,,0.0,0.711,1.222,0.000,,5,,,,1.351,,,,,,,,,,,,,,0,,,,,,,,,0,,,,4.507,0.071,,0.399,0.025,,,,,,,,0.702,,,427,,0.051,0.0,0.8,0.186,,,,,,,,,,0.196,0.000,0.7,1.878,,0,0.009,0.383,,3.09,,0.000,2.0,,,,,,,,,0.306,309.0,4.0,0.669,3.88,0.145,,,,0.0,102.0,,0.178,,32,0.516,,12.3,0,0.021,5,0.677,0.816,190.0,0.0,59.7,0.611,0.0,59.7,0.611,0.0,,,0.0,79,,,,,0.973,,0.009,2.0,0.705,14.0,1.734,0.621,0.0,,,,0.0,,,,,,,
87,"""10185""","Pork, cured, ham, extra lean and regular, canned, roasted",140.0,1.0 cup,3.934,1.26,,0.0,1.345,2.279,0.000,,7,,,,2.519,,,,,,,,,,,,,,0,,,,,,,,,0,,,,7.045,0.109,,1.232,0.126,,,,,,,,1.308,,,979,,0.126,0.0,1.5,0.346,,,,,,,,,,0.351,0.000,1.16,5.684,,0,0.028,0.560,,5.08,,0.000,1.0,,,,,,,,,1.134,491.0,7.7,1.247,11.8,0.392,,,,0.0,234.0,,0.332,,57,0.96,,37.2,0,0.036,7,1.261,2.520,309.0,0.0,114.5,1.140,0.0,114.5,1.140,0.69,,,0.0,42,,,,,1.814,,0.042,1.0,1.313,28.0,5.292,1.158,,,,,0.0,,,,,,,
88,"""10184""","Pork, cured, ham, extra lean and regular, canned, unheated",85.0,3.0 oz,2.083,0.646,,0.0,0.747,1.187,0.000,,5,,,,1.312,,,,,,,,,,,,,,0,,,,,,,,,0,,,,3.897,0.066,,0.646,0.068,,,,,,,,0.682,,,512,,0.043,0.0,0.77,0.180,,,,,,,,,,0.196,0.000,0.68,3.034,,0,0.009,0.391,,3.03,,0.000,0.5,,,,,,,,,0.578,284.0,3.8,0.649,6.34,0.246,,,,0.0,122.0,,0.173,,32,0.501,,18.8,0,0.020,5,0.657,1.360,176.0,0.0,58.4,0.593,0.0,58.4,0.593,0.0,,,0.0,19,,,,,0.945,,0.017,0.5,0.684,14.0,2.788,0.603,0.0,,,,0.0,,,,,,,
89,"""43326""","Pork, cured, ham, low sodium, lean and fat, cooked",85.0,"3.0 oz, boneless",2.364,0.861,,0.0,0.620,,0.000,,3,,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,,,4.879,0.112,,0.765,0.123,,,,,,,,,,,612,,0.117,,,,,,,,,,,,,0.264,0.000,0.59,3.402,,0,0.021,0.281,,3.4,,0.000,0.7,,,,,,,,,0.738,328.0,5.0,,,,,,,0.0,146.0,,,,,,,,0,,3,,,,0.0,74.1,,0.0,74.1,,0.26,,,0.0,28,,,,,,,,0.7,,18.0,3.075,,0.0,,,,0.0,,,,,,,
90,"""10146""","Pork, cured, ham, patties, unheated",28.35,1.0 oz,2.872,0.862,,,,,0.000,,1,,,,0.308,,,,,,,,,,,,0.0,,,,,,,,,0,,,,,,0.854,0.02,,0.938,0.082,,,,,,,,0.161,,,374,,0.105,0.0,0.3,0.049,,,,,,,,,,0.044,0.000,0.31,3.759,,0,0.017,0.045,,0.83,,0.000,,,,,,,,,,0.743,68.0,,0.155,7.99,0.252,,,,0.0,89.0,,0.042,,20,0.119,,4.5,0,0.007,1,0.158,1.792,42.0,,,,,,,0.48,,,,,,,,,0.234,,0.006,,,,3.507,0.132,,,,,,,,,,,,
91,"""10140""","Pork, cured, ham, regular (approximately 13% fat), canned, roasted",140.0,1.0 cup,7.056,2.492,,,,,0.000,,7,,,,2.47,,,,,,,,,,,,0.0,,,,,,,,,0,,,,,,7.42,0.182,,2.31,0.224,,,,,,,,1.282,,,1324,,0.224,0.0,1.92,0.340,,,,,,,,,,0.364,0.000,1.48,9.898,,0,0.028,0.420,,4.1,,0.000,,,,,,,,,,2.268,500.0,,1.224,21.28,0.658,,,,0.0,316.0,,0.326,,87,0.942,,50.3,0,0.041,7,1.236,4.466,340.0,,,,,,,0.59,,,,,,,,,1.779,,0.042,,,,9.254,1.135,,,,,,,,,,,,
92,"""10929""","Pork, cured, ham, rump, bone-in, separable lean and fat, heated, roasted",85.0,3.0 oz (3 oz),2.422,1.08,0.00,0.54,0.451,1.623,,,0,0.047,0.28,0.812,1.708,,,0.0,0.033,0.052,0.0,2.904,1.774,0.0,,0.037,,,0,1.3,0.01,1.202,1.3,0.01,1.202,1,,0,0.132,20.36,0.0,5.84,0.929,0.020,0.757,0.047,0.09,,0,0.002,,0,0.002,0.905,,0.00,630,0.033,0.087,,,,0.020,54.25,0.0,0.03,1.085,6.0,,,,0.241,0.000,0.52,3.222,0.0,1,0.005,0.379,,2.53,0.00,,0.7,,,,,,,,0.0,0.924,314.0,5.4,0.88,7.55,0.179,,,,4.0,150.0,,0.189,,60,0.655,0.011,20.0,,0.024,0,0.915,1.532,224.0,0.0,78.7,0.796,0.0,78.7,0.796,0.54,,0.020,0.0,28,2.958,0.888,,0.599,1.3,,0.006,0.7,1.028,20.0,2.991,0.887,0.0,,,,0.0,,,0.03,0.484,0.000,0.0,0.015
93,"""10955""","Pork, cured, ham, rump, bone-in, separable lean and fat, unheated",85.0,3.0 oz,2.557,1.153,0.00,0.05,0.410,1.510,0.000,,1,,,,1.589,,,0.0,,0.052,0.0,2.700,1.650,0.0,,0.039,,,0,1.0,0.02,1.118,1.0,0.02,1.118,2,,0,0.134,18.93,0.0,5.454,0.654,0.023,0.815,0.050,0.05,0.000,1,0.002,0.000,1,0.002,0.842,,0.00,625,,0.091,,,,,,,0.04,1.009,6.0,,,,0.169,0.000,0.45,3.371,0.0,2,0.000,0.401,0.006,2.25,0.00,,,,,,,,,,0.0,0.994,304.0,4.8,0.818,7.97,0.174,,,,5.0,150.0,,0.176,,53,0.609,0.012,17.5,0,0.019,1,0.851,1.609,213.0,0.0,71.4,0.740,0.0,71.4,0.740,0.44,,,0.0,,,,,,1.209,,0.001,,,,3.146,0.825,0.0,,,,0.0,,,0.03,0.450,0.000,0.0,
94,"""10931""","Pork, cured, ham, rump, bone-in, separable lean only, heated, roasted",85.0,3.0 oz (3 oz),0.779,0.478,0.00,0.58,0.481,1.771,,,0,0.022,0.28,0.885,1.868,,,0.0,0.011,0.012,0.0,3.165,1.929,0.0,,0.011,,,0,1.4,0.0,1.302,1.4,0.0,1.302,,,0,0.144,22.12,0.0,6.279,1.017,0.008,0.269,0.022,0.06,,0,0.003,,0,0.003,0.989,,0.00,470,0.011,0.025,,,,0.007,57.53,0.0,0.03,1.155,7.0,,,,0.264,0.000,0.55,0.907,,0,0.000,0.407,,2.63,0.00,,,,,,,,,,0.0,0.377,335.0,6.2,0.949,2.61,0.055,,,,0.0,112.0,,0.207,,60,0.717,0.003,20.8,,0.025,0,0.998,0.474,234.0,0.0,89.4,0.865,0.0,89.4,0.865,0.58,,0.007,0.0,,0.829,0.37,,0.633,1.415,,0.001,,,,0.839,0.963,0.0,,,,0.0,,,0.03,0.529,0.000,0.0,
95,"""10932""","Pork, cured, ham, rump, bone-in, separable lean only, unheated",85.0,3.0 oz,0.743,0.455,0.00,0.0,0.441,1.665,0.000,,1,0.02,0.22,0.831,1.756,,,0.0,0.010,0.012,0.0,2.975,1.813,0.0,,0.011,,,0,1.2,0.0,1.224,1.2,0.0,1.224,,,0,0.134,20.79,0.0,5.939,0.738,0.007,0.256,0.020,0.00,0.000,1,0.003,0.000,1,0.003,0.93,,0.00,446,0.010,0.025,,,,0.007,59.13,0.0,0.03,1.085,6.0,,,,0.191,0.000,0.48,0.864,,0,0.000,0.437,,2.33,0.00,,,,,,,,,,0.0,0.359,327.0,5.4,0.892,2.48,0.053,,,,0.0,106.0,,0.195,,54,0.675,0.003,18.2,0,0.019,1,0.938,0.451,227.0,0.0,78.1,0.813,0.0,78.1,0.813,0.27,,0.007,0.0,,0.790,0.352,,0.537,1.33,,0.001,,,,0.8,0.905,0.0,,,,0.0,,,0.02,0.497,0.000,0.0,
96,"""10894""","Pork, cured, ham, separable fat, boneless, heated",85.0,3.0 oz,14.491,5.499,0.00,0.24,0.236,0.536,0.000,,1,0.229,0.3,0.275,0.531,,,0.0,0.199,0.342,0.0,0.990,0.634,0.0,,0.22,,,0,,,,,,,10,,0,0.048,7.45,0.0,2.618,0.281,0.117,4.342,0.229,0.24,0.000,1,,0.000,1,,0.29,,0.00,1804,0.199,0.535,,,,0.116,30.15,0.0,0.1,0.571,5.0,,,,0.082,0.000,0.26,20.228,,10,0.043,0.171,0.042,1.86,0.02,0.000,1.6,,,,,,,,0.0,4.946,166.0,,0.366,43.83,1.089,,,,36.0,431.0,,0.054,,61,0.201,0.075,13.6,0,0.019,1,0.301,9.298,144.0,0.0,,0.278,0.0,,0.278,1.7,,0.116,0.0,64,18.599,4.701,,0.351,0.452,,0.040,1.6,0.354,14.0,18.798,0.326,,,,,0.0,,,0.06,0.150,0.000,0.0,0.128
97,"""10895""","Pork, cured, ham, separable fat, boneless, unheated",85.0,3.0 oz,14.818,5.866,0.00,0.37,0.198,0.459,,,0,0.246,0.65,0.235,0.455,,,0.0,0.212,0.324,0.0,0.847,0.542,0.0,,0.231,,,0,0.0,0.15,0.394,0.0,0.15,0.394,11,,0,0.133,6.38,0.0,2.184,0.082,0.128,4.597,0.246,0.37,,0,,,0,,0.248,,0.00,1830,0.212,0.541,,,,0.139,30.3,0.0,0.15,0.489,3.0,,,,0.018,0.000,0.26,20.317,0.0,11,0.000,0.159,0.043,1.68,0.00,,1.0,,,,,,,,0.0,5.285,148.0,1.6,0.314,45.05,0.992,,,,37.0,438.0,,0.046,,52,0.173,0.073,13.4,,0.019,0,0.258,9.435,122.0,0.0,26.1,0.238,0.0,26.1,0.238,1.59,,0.139,0.0,41,18.789,5.147,,0.293,0.387,,0.000,1.0,0.303,9.0,19.001,0.279,0.0,,,,0.0,,,0.09,0.128,0.000,0.0,
98,"""10935""","Pork, cured, ham, shank, bone-in, separable lean and fat, heated, roasted",85.0,3.0 oz (3 oz),2.565,1.095,0.00,0.54,0.391,1.653,0.000,,1,,,,1.74,,,0.0,,0.055,0.0,2.958,1.806,0.0,,0.037,,,0,1.2,0.01,1.223,1.2,0.01,1.223,1,,0,0.134,20.73,0.0,5.852,0.134,0.020,0.803,0.048,0.09,0.000,1,0.003,0.000,1,0.003,0.922,,0.00,679,,0.093,,,,,,,0.03,1.104,6.0,,,,0.253,0.000,0.49,3.47,0.0,1,0.005,0.374,,2.38,0.00,,0.8,,,,,,,,0.0,0.937,303.0,5.4,0.895,7.95,0.193,,,,4.0,162.0,,0.193,,60,0.668,0.012,19.9,0,0.022,1,0.932,1.621,218.0,0.0,79.5,0.810,0.0,79.5,0.810,0.54,,,0.0,33,,,,,1.323,,0.006,0.8,1.046,19.0,3.221,0.903,0.0,,,,0.0,,,0.03,0.492,0.000,0.0,
99,"""10936""","Pork, cured, ham, shank, bone-in, separable lean and fat, unheated",85.0,3.0 oz,2.703,1.161,0.00,0.05,0.377,1.465,,,0,,,,1.541,,,0.0,,0.055,0.0,2.621,1.601,0.0,,0.04,,,0,1.0,0.02,1.085,1.0,0.02,1.085,2,,0,0.131,18.37,0.0,5.425,0.295,0.023,0.86,,0.05,,0,0.002,,0,0.002,0.817,,0.00,628,,0.097,,,,,,,0.04,0.980,5.0,,,,0.185,0.000,0.46,3.629,0.0,2,0.000,0.365,0.006,2.47,0.00,,,,,,,,,,0.0,1.005,288.0,4.7,0.794,8.37,0.187,,,,5.0,150.0,,0.171,,52,0.592,0.012,17.4,,0.019,0,0.825,1.703,207.0,0.0,70.1,0.717,0.0,70.1,0.717,0.35,,,0.0,,,,,,1.173,,0.001,,,,3.386,0.800,0.0,,,,0.0,,,0.02,0.436,0.000,0.0,
100,"""10933""","Pork, cured, ham, shank, bone-in, separable lean only, heated, roasted",85.0,3.0 oz (3 oz),0.964,0.503,0.00,0.58,0.411,1.804,0.000,,1,0.025,0.28,0.901,1.902,,,0.0,0.012,0.016,0.0,3.222,1.964,0.0,,0.012,,,0,1.4,0.0,1.326,1.4,0.0,1.326,,,0,0.146,22.52,0.0,6.287,0.115,0.008,0.328,0.025,0.07,0.000,1,0.003,0.000,1,0.003,1.007,,0.00,495,0.012,0.033,,,,0.009,57.34,0.0,0.03,1.176,6.0,,,,0.277,0.000,0.52,1.218,,0,0.000,0.401,,2.45,0.00,,0.8,,,,,,,,0.0,0.398,321.0,6.1,0.966,3.13,0.072,,,,0.0,118.0,,0.212,,60,0.73,0.003,20.7,0,0.023,1,1.017,0.590,229.0,0.0,90.1,0.881,0.0,90.1,0.881,0.58,,0.009,0.0,29,1.118,0.388,,0.578,1.441,,0.002,0.8,1.139,20.0,1.13,0.981,0.0,,,,0.0,,,0.02,0.539,0.000,0.0,
101,"""10934""","Pork, cured, ham, shank, bone-in, separable lean only, unheated",85.0,3.0 oz,0.834,0.435,0.00,0.0,0.405,1.620,,,0,0.021,0.2,0.809,1.708,,,0.0,0.010,0.014,0.0,2.894,1.764,0.0,,0.01,,,0,1.1,0.0,1.191,1.1,0.0,1.191,,,0,0.131,20.22,0.0,5.924,0.328,0.007,0.284,0.021,0.00,,0,0.003,,0,0.003,0.904,,0.00,443,0.010,0.029,,,,0.008,59.32,0.0,0.03,1.056,5.0,,,,0.212,0.000,0.49,1.054,,0,0.000,0.397,,2.59,0.00,,,,,,,,,,0.0,0.344,309.0,5.1,0.868,2.71,0.063,,,,0.0,106.0,,0.19,,52,0.656,0.003,18.0,,0.019,0,0.913,0.510,219.0,0.0,76.9,0.791,0.0,76.9,0.791,0.15,,0.008,0.0,,0.966,0.336,,0.563,1.294,,0.001,,,,0.977,0.881,0.0,,,,0.0,,,0.01,0.484,0.000,0.0,
102,"""10937""","Pork, cured, ham, slice, bone-in, separable lean and fat, heated, pan-broil",85.0,3.0 oz (3 oz),2.337,0.887,0.00,0.59,0.465,1.729,0.000,,2,0.04,0.26,0.864,1.821,,,0.0,0.030,0.045,0.0,3.092,1.888,0.0,,0.03,,,0,1.5,0.0,1.278,1.5,0.0,1.278,1,,0,0.14,21.66,0.0,6.233,0.354,0.011,0.419,0.020,0.11,0.000,2,0.002,0.000,2,0.002,0.965,,0.00,643,0.032,0.048,,,,0.019,53.18,0.0,0.03,1.148,12.0,,,,0.252,0.000,0.54,3.262,0.0,1,0.003,0.433,,2.62,0.00,,0.8,,,,,,,,0.0,0.419,344.0,5.7,0.934,7.21,0.169,,,,3.0,154.0,,0.201,,62,0.699,0.007,20.7,0,0.019,2,0.974,0.848,242.0,0.0,87.0,0.847,0.0,87.0,0.847,0.59,,0.020,0.0,34,2.723,0.751,,0.617,1.383,,0.003,0.8,1.094,21.0,1.657,0.944,0.0,,,,0.0,,,0.02,0.515,0.000,0.0,0.011
103,"""10939""","Pork, cured, ham, slice, bone-in, separable lean and fat, unheated",85.0,3.0 oz (3 oz),2.503,1.089,0.00,0.04,0.393,1.523,0.000,,1,,,,1.603,,,0.0,,0.051,0.0,2.724,1.663,0.0,,0.037,,,0,1.2,0.02,1.126,1.2,0.02,1.126,1,,0,0.015,19.08,0.0,5.143,0.121,0.022,0.794,0.048,0.04,0.000,1,0.002,0.000,1,0.002,0.85,,0.00,616,,0.091,,,,,,,0.04,1.014,10.0,,,,0.191,0.000,0.48,3.362,0.3,1,0.000,0.381,0.005,2.3,0.00,,,,,,,,,,0.0,0.936,296.0,4.8,0.824,7.79,0.178,,,,4.0,147.0,,0.178,,55,0.615,0.012,18.3,0,0.019,1,0.858,1.580,212.0,0.0,73.1,0.745,0.0,73.1,0.745,0.18,,,0.0,,,,,,1.219,,0.000,,,,3.134,0.831,0.0,,,,0.0,,,0.03,0.454,0.000,0.0,
104,"""10899""","Pork, cured, ham, slice, bone-in, separable lean only, heated, pan-broil",85.0,3.0 oz (3 oz),1.065,0.547,0.00,0.63,0.489,1.850,0.000,,2,0.025,0.26,0.924,1.952,,,0.0,0.014,0.018,0.0,3.307,2.015,0.0,,0.014,,,0,1.7,0.0,1.361,1.7,0.0,1.361,,,0,0.15,23.1,0.0,6.602,0.362,0.009,0.353,0.025,0.09,0.000,2,0.003,0.000,2,0.003,1.034,,0.00,528,0.014,0.038,,,,0.011,55.53,0.0,0.03,1.206,13.0,,,,0.269,0.000,0.56,1.371,,0,0.000,0.459,,2.69,0.00,,0.9,,,,,,,,0.0,0.435,363.0,6.2,0.992,3.48,0.084,,,,0.0,126.0,,0.217,,62,0.75,0.004,21.5,0,0.019,2,1.043,0.661,252.0,0.0,96.0,0.904,0.0,96.0,0.904,0.63,,0.011,0.0,37,1.254,0.424,,0.644,1.478,,0.000,0.9,1.169,21.0,1.268,1.006,0.0,,,,0.0,,,0.02,0.552,0.000,0.0,
105,"""10938""","Pork, cured, ham, slice, bone-in, separable lean only, unheated",85.0,3.0 oz (3 oz),0.934,0.48,0.00,0.0,0.418,1.658,0.000,,1,0.022,0.25,0.828,1.749,,,0.0,0.013,0.016,0.0,2.963,1.806,0.0,,0.012,,,0,1.4,0.0,1.22,1.4,0.0,1.22,,,0,,,,5.519,0.126,0.009,0.309,0.022,0.00,0.000,1,0.003,0.000,1,0.003,0.927,,0.00,462,0.013,0.033,,,,0.010,59.47,0.0,0.03,1.081,11.0,,,,0.213,0.000,0.51,1.202,0.3,0,0.000,0.410,,2.37,0.00,,,,,,,,,,0.0,0.382,314.0,5.2,0.889,3.05,0.074,,,,0.0,110.0,,0.195,,55,0.672,0.004,19.0,0,0.019,1,0.935,0.580,224.0,0.0,79.1,0.810,0.0,79.1,0.810,0.0,,0.010,0.0,,1.100,0.372,,0.581,1.325,,0.000,,,,1.113,0.902,0.0,,,,0.0,,,0.02,0.496,0.000,0.0,
106,"""10149""","Pork, cured, ham, steak, boneless, extra lean, unheated",28.35,1.0 oz,0.408,0.133,,,,,0.000,,1,,,,0.47,,,,,,,,,,,,0.0,,,,,,,,,0,,,,,,1.44,0.023,,0.133,0.011,,,,,,,,0.247,,,145,,0.023,0.0,0.28,0.084,,,,,,,,,,0.057,0.000,0.22,0.556,,0,0.006,0.105,,1.12,,0.000,,,,,,,,,,0.122,92.0,,0.237,1.2,0.054,,,,0.0,35.0,,0.067,,13,0.182,,4.4,0,0.010,1,0.243,0.238,74.0,,,,,,,0.0,,,,,,,,,0.36,,0.006,,,,0.502,0.199,,,,,,,,,,,,
