,NDB_NO,Description,Weight(g),Measure,"Fatty acids, total saturated (g)","Fatty acids, total polyunsaturated (g)",Fructose (g),"Sugars, total (g)",Thiamin (mg),Leucine (g),6:0 (g),22:4 (g),"Folate, food (µg)","18:3 n-3 c,c,c (ALA) (g)",Vitamin E (alpha-tocopherol) (mg),Phenylalanine (g),Lysine (g),22:1 c (g),"Fluoride, F (µg)","Tocotrienol, beta (mg)",18:1 t (g),20:1 (g),15:1 (g),Glutamic acid (g),Aspartic acid (g),17:1 (g),21:5 (g),"20:2 n-6 c,c (g)","Fiber, total dietary (g)",20:3 n-3 (g),Lutein + zeaxanthin (µg),Menaquinone-4 (µg)_x,"Tocotrienol, alpha (mg)_x",Alanine (g)_x,Menaquinone-4 (µg)_y,"Tocotrienol, alpha (mg)_y",Alanine (g)_y,Retinol (µg),18:1-11 t (18:1t n-7) (g),Caffeine (mg),Hydroxyproline (g),Protein (g),Lycopene (µg),Niacin (mg),"Copper, Cu (mg)",17:0 (g),18:0 (g),18:3 undifferentiated (g),Glucose (dextrose) (g),14:1 (g)_x,"Folate, DFE (µg)_x",20:3 undifferentiated (g)_x,14:1 (g)_y,"Folate, DFE (µg)_y",20:3 undifferentiated (g)_y,Threonine (g),"18:3 n-6 c,c,c (g)",Maltose (g),Energy (kJ),"Fatty acids, total trans-monoenoic (g)",14:0 (g),Phytosterols (mg),"Iron, Fe (mg)",Cystine (g),"Fatty acids, total trans-polyenoic (g)",Water (g),"Cryptoxanthin, beta (µg)","Tocopherol, gamma (mg)",Glycine (g),"Calcium, Ca (mg)",16:1 t (g),"Carotene, beta (µg)",15:0 (g),Riboflavin (mg),20:5 n-3 (EPA) (g),Vitamin B-12 (µg),"Fatty acids, total monounsaturated (g)",Vitamin K (phylloquinone) (µg),"Vitamin A, RAE (µg)",12:0 (g),Vitamin B-6 (mg),22:0 (g),Ash (g),"Tocopherol, delta (mg)",22:1 undifferentiated (g),Vitamin D3 (cholecalciferol) (µg),24:0 (g),Campesterol (mg),16:1 c (g),"Sodium, Na (mg)",4:0 (g),Galactose (g),22:5 n-3 (DPA) (g),"Alcohol, ethyl (g)",18:2 undifferentiated (g),"Potassium, K (mg)",Betaine (mg),Proline (g),Total lipid (fat) (g),16:1 undifferentiated (g),18:2 t not further defined (g),18:2 i (g),Sucrose (g),"Vitamin A, IU (IU)",Energy (kcal),24:1 c (g),Tryptophan (g),Starch (g),Cholesterol (mg),Tyrosine (g),20:0 (g),"Selenium, Se (µg)",Folic acid (µg),"Manganese, Mn (mg)","Folate, total (µg)",Isoleucine (g),16:0 (g),"Phosphorus, P (mg)","Vitamin B-12, added (µg)_x","Choline, total (mg)_x",Serine (g)_x,"Vitamin B-12, added (µg)_y","Choline, total (mg)_y",Serine (g)_y,"Carbohydrate, by difference (g)",22:1 t (g),"18:2 t,t (g)","Carotene, alpha (µg)",Vitamin D (IU),18:1 c (g),"18:2 n-6 c,c (g)",Stigmasterol (mg),Pantothenic acid (mg),Arginine (g),Vitamin D2 (ergocalciferol) (µg),10:0 (g),Vitamin D (D2 + D3) (µg),Valine (g),"Magnesium, Mg (mg)",18:1 undifferentiated (g),Histidine (g),Dihydrophylloquinone (µg),20:3 n-6 (g),20:4 undifferentiated (g),"Fatty acids, total trans (g)",Theobromine (mg),"Tocotrienol, delta (mg)","Vitamin C, total ascorbic acid (mg)","Tocotrienol, gamma (mg)",Methionine (g),8:0 (g),Lactose (g),18:2 CLAs (g)
39,"""10877""","Pork, cured, ham and water product, rump, bone-in, separable lean only, heated, roasted",85.0,3.0 oz (3 oz),1.306,0.539,0.18,0.98,0.281,1.449,0.000,,2,0.019,0.18,0.723,1.527,,,0.0,0.020,0.030,0.0,2.588,1.578,0.0,,0.02,,,0,5.2,0.02,1.065,5.2,0.02,1.065,9,,0,0.117,18.09,0.0,3.434,0.076,0.008,0.419,0.019,0.54,0.000,2,,0.000,2,,0.809,,0.00,468,0.020,0.048,,,,0.014,59.1,0.0,0.04,0.944,8.0,,,,0.16,0.000,0.42,1.808,0.1,9,0.000,0.285,0.009,2.97,0.01,0.000,,,,,,,,,0.0,0.457,224.0,3.1,0.776,4.0,0.087,,,,32.0,111.0,,0.17,,56,0.587,0.005,36.9,0,0.019,2,0.816,0.817,188.0,0.0,79.9,0.708,0.0,79.9,0.708,0.98,,0.014,0.0,,1.671,0.429,,0.525,1.157,,0.000,,,,1.691,0.788,0.0,,,,0.0,,,0.03,0.433,0.000,0.0,0.014
40,"""10887""","Pork, cured, ham and water product, rump, bone-in, separable lean only, unheated",85.0,3.0 oz,0.939,0.388,0.15,0.82,0.240,1.221,0.000,,2,0.014,0.15,0.609,1.287,,,,,,0.0,2.180,1.329,0.0,,0.014,,,0,,,,,,,8,,0,0.099,15.24,0.0,3.476,0.099,0.006,0.302,0.014,0.45,0.000,2,,0.000,2,,0.682,,0.00,381,0.014,0.034,,,,0.009,63.17,0.0,0.03,0.796,8.0,,,,0.189,0.000,0.49,1.301,0.0,8,0.000,0.210,0.006,2.67,0.01,0.000,,,,,,,,,0.0,0.329,188.0,2.6,0.654,2.87,0.063,,,,27.0,91.0,,0.143,,49,0.495,0.003,34.3,0,0.019,2,0.688,0.587,185.0,0.0,69.1,0.597,0.0,69.1,0.597,1.05,,0.009,0.0,,1.202,0.309,,0.393,0.975,,0.000,,,,1.216,0.664,,,,,0.0,,,,,,0.0,0.010
41,"""10919""","Pork, cured, ham and water product, shank, bone-in, separable lean and fat, heated, roasted",85.0,3.0 oz (3 oz),4.858,1.939,0.08,0.84,0.308,1.221,0.000,,1,,,,1.278,,,0.0,,0.111,0.0,2.190,1.343,0.0,,0.073,,,0,3.0,0.03,0.915,3.0,0.03,0.915,10,,0,0.1,15.44,0.0,3.535,0.138,0.037,1.481,0.073,0.36,0.000,1,,0.000,1,,0.679,,0.00,832,,0.173,,,,,,,0.07,0.856,7.0,,,,0.145,0.000,0.36,6.727,0.0,10,0.012,0.294,0.019,2.63,0.01,0.000,,,,,,,,,0.0,1.716,184.0,3.3,0.676,14.7,0.358,,,,32.0,199.0,,0.14,,61,0.49,0.025,31.7,0,0.019,1,0.688,3.100,164.0,0.0,63.9,0.601,0.0,63.9,0.601,1.21,,,0.0,,,,,,0.982,,0.011,,,,6.258,0.673,0.0,,,,0.0,,,0.05,0.361,0.000,0.0,
42,"""10907""","Pork, cured, ham and water product, shank, bone-in, separable lean and fat, unheated",85.0,3.0 oz shank,5.596,2.286,0.06,0.73,0.464,0.955,0.000,,1,,,,0.999,,,0.0,,0.121,0.0,1.716,1.055,0.0,,0.087,,,0,0.0,0.05,0.721,0.0,0.05,0.721,9,,0,0.108,12.14,0.0,2.765,0.104,0.047,1.749,0.089,0.35,0.000,1,,0.000,1,,0.531,,0.00,864,,0.200,,,,,,,0.09,0.684,5.0,,,,0.135,0.000,0.4,7.644,0.0,9,0.000,0.205,0.020,2.33,0.00,,,,,,,,,,0.0,2.034,183.0,3.1,0.534,17.0,0.375,,,,31.0,207.0,,0.11,,47,0.383,0.027,20.5,0,0.019,1,0.538,3.552,160.0,0.0,57.7,0.472,0.0,57.7,0.472,1.21,,,0.0,,,,,,0.77,,0.000,,,,7.149,0.529,0.0,,,,0.0,,,0.03,0.282,0.000,0.0,
43,"""10881""","Pork, cured, ham and water product, shank, bone-in, separable lean only, heated, roasted",85.0,3.0 oz (3 oz),1.25,0.606,0.11,1.07,0.335,1.476,0.000,,2,0.015,0.25,0.738,1.557,,,0.0,0.023,0.025,0.0,2.638,1.608,0.0,,0.018,,,0,4.1,0.03,1.085,4.1,0.03,1.085,9,,0,0.119,18.44,0.0,3.879,0.084,0.008,0.409,0.015,0.41,0.000,2,,0.000,2,,0.825,,0.00,468,0.023,0.039,,,,0.014,58.85,0.0,0.06,0.963,8.0,,,,0.169,0.000,0.39,1.671,0.0,9,0.000,0.340,0.009,2.92,0.00,,,,,,,,,,0.0,0.507,190.0,4.5,0.791,3.78,0.083,,,,31.0,112.0,,0.173,,61,0.598,0.006,38.5,0,0.019,2,0.832,0.779,172.0,0.0,87.8,0.722,0.0,87.8,0.722,1.07,,0.014,0.0,,1.540,0.483,,0.493,1.18,,0.000,,,,1.563,0.803,0.0,,,,0.0,,,0.04,0.441,0.000,0.0,0.009
44,"""10889""","Pork, cured, ham and water product, shank, bone-in, unheated, separable lean only",85.0,3.0 oz,1.176,0.57,0.09,0.9,0.592,1.194,0.000,,1,0.014,0.21,0.596,1.259,,,,,,0.0,2.133,1.300,0.0,,0.017,,,0,,,,,,,8,,0,0.097,14.9,0.0,3.043,0.114,0.007,0.385,0.014,0.34,0.000,1,,0.000,1,,0.666,,0.00,400,0.021,0.037,,,,0.014,62.87,0.0,0.05,0.779,7.0,,,,0.191,0.000,0.47,1.572,0.0,8,0.000,0.227,0.009,2.64,0.00,,,,,,,,,,0.0,0.477,199.0,3.7,0.639,3.55,0.079,,,,27.0,96.0,,0.14,,44,0.484,0.006,23.9,0,0.019,1,0.672,0.733,178.0,0.0,72.8,0.583,0.0,72.8,0.583,1.02,,0.014,0.0,,1.448,0.455,,0.537,0.954,,0.000,,,,1.47,0.649,,,,,0.0,,,,,,0.0,0.009
45,"""10920""","Pork, cured, ham and water product, slice, bone-in, separable lean and fat, heated, pan-broil",85.0,3.0 oz (3 oz),2.198,0.877,0.00,0.88,0.318,1.346,0.000,,2,,,,1.417,,,0.0,,0.048,0.0,2.408,1.471,0.0,,0.032,,,0,2.5,0.01,0.995,2.5,0.01,0.995,9,,0,0.11,16.87,0.0,4.127,0.111,0.016,0.675,0.031,0.88,0.000,2,,0.000,2,,0.751,,0.00,552,,0.077,,,,,,,0.04,0.897,9.0,,,,0.15,0.000,0.37,3.04,0.0,9,0.003,0.363,0.011,3.19,0.00,,,,,,,,,,0.0,0.76,239.0,3.1,0.728,6.61,0.163,,,,32.0,132.0,,0.157,,54,0.544,0.010,20.2,0,0.019,2,0.758,1.402,212.0,0.0,71.5,0.660,0.0,71.5,0.660,1.2,,,0.0,,,,,,1.078,,0.003,,,,2.829,0.735,0.0,,,,0.0,,,0.03,0.401,0.000,0.0,
46,"""10906""","Pork, cured, ham and water product, slice, bone-in, separable lean and fat, unheated",85.0,3.0 oz,2.615,1.062,0.00,0.72,0.342,0.927,0.000,,1,,,,0.974,,,0.0,,0.055,0.0,1.658,1.014,0.0,,0.039,,,0,0.0,0.02,0.688,0.0,0.02,0.688,8,,0,0.086,11.64,0.0,3.55,0.112,0.020,0.818,0.038,0.72,0.000,1,,0.000,1,,0.517,,0.00,530,,0.092,,,,,,,0.04,0.626,7.0,,,,0.136,0.000,0.39,3.58,0.0,8,0.000,0.291,0.012,2.75,0.00,,,,,,,,,,0.0,0.927,174.0,2.5,0.504,7.9,0.181,,,,28.0,127.0,,0.108,,42,0.374,0.012,11.3,0,0.019,1,0.522,1.660,181.0,0.0,57.9,0.455,0.0,57.9,0.455,2.31,,,0.0,,,,,,0.742,,0.000,,,,3.344,0.507,0.0,,,,0.0,,,0.01,0.275,0.000,0.0,
47,"""10869""","Pork, cured, ham and water product, slice, bone-in, separable lean only, heated, pan-broil",85.0,3.0 oz (3 oz),1.034,0.439,0.00,0.94,0.326,1.423,0.000,,2,0.012,0.11,0.711,1.501,,,0.0,0.014,0.020,0.0,2.542,1.550,0.0,,0.014,,,0,2.7,0.01,1.046,2.7,0.01,1.046,9,,0,0.115,17.76,0.0,4.27,0.096,0.007,0.327,0.012,0.94,0.000,2,,0.000,2,,0.795,,0.00,433,0.014,0.034,,,,0.011,59.68,0.0,0.03,0.928,10.0,,,,0.156,0.000,0.39,1.413,0.0,9,0.000,0.382,0.008,3.31,0.00,,,,,,,,,,0.0,0.363,246.0,3.3,0.762,3.09,0.076,,,,32.0,104.0,,0.167,,54,0.576,0.004,20.8,0,0.019,2,0.802,0.654,219.0,0.0,78.3,0.695,0.0,78.3,0.695,1.15,,0.011,0.0,,1.303,0.352,,0.507,1.136,,0.000,,,,1.317,0.774,0.0,,,,0.0,,,0.02,0.425,0.000,0.0,
48,"""10888""","Pork, cured, ham and water product, slice, bone-in, separable lean only, unheated",85.0,3.0 oz,1.076,0.457,0.00,0.77,0.360,0.986,0.000,,1,0.013,0.09,0.492,1.04,,,,,,0.0,1.761,1.074,0.0,,0.015,,,0,,,,,,,8,,0,0.08,12.3,0.0,3.723,0.116,0.007,0.341,0.013,0.77,0.000,1,,0.000,1,,0.551,,0.00,367,0.014,0.036,,,,0.012,64.21,0.0,0.03,0.643,8.0,,,,0.151,0.000,0.41,1.471,0.0,8,0.000,0.308,0.009,2.88,0.00,,,,,,,,,,0.0,0.378,178.0,2.6,0.528,3.21,0.079,,,,26.0,88.0,,0.116,,42,0.399,0.004,11.1,0,0.019,1,0.555,0.680,189.0,0.0,61.9,0.482,0.0,61.9,0.482,2.4,,0.012,0.0,,1.357,0.366,,0.329,0.787,,0.000,,,,1.37,0.535,,,,,0.0,,,,,,0.0,
